name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,height,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,dispossessed,totalContest,totalClearance,interceptionWon,fouls,keyPass,outfielderBlock,wasFouled,shotOffTarget,totalTackle,totalOffside,wonContest,challengeLost,blockedScoringAttempt,onTargetScoringAttempt,captain,team,teamType,fieldTranslations,punches,totalKeeperSweeper,accurateKeeperSweeper
Brayan Montaño,,,brayan-montano,B. Montaño,D,24,25,1003376,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1020297600,"{'value': 340000, 'currency': 'EUR'}",176.0,24,False,13.0,5.0,8.0,1.0,0.0,2.0,3.0,,,90.0,28.0,7.0,9.0,"{'original': 7, 'alternative': None}",,,,2.0,1.0,,8.0,1.0,1.0,,1.0,,,1.0,,,,,,,Deportivo La Equidad,away,,,,
Andres Correa,,,andres-correa,A. Correa,D,3,10,329607,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,759801600,"{'value': 380000, 'currency': 'EUR'}",174.0,3,False,15.0,9.0,1.0,,0.0,,2.0,,,90.0,38.0,6.9,13.0,"{'original': 6.9, 'alternative': None}",1.0,1.0,,1.0,1.0,,7.0,1.0,,,,,,2.0,,,,,,True,Deportivo La Equidad,away,,,,
Samir Mayo,,,mayo-samir,S. Mayo,M,16,19,1476921,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1043884800,"{'value': 335000, 'currency': 'EUR'}",,16,False,21.0,15.0,4.0,4.0,0.0,3.0,7.0,,,90.0,36.0,6.7,11.0,"{'original': 6.7, 'alternative': None}",,,2.0,7.0,2.0,1.0,3.0,2.0,2.0,,,1.0,,3.0,,,,,,,Deportivo La Equidad,away,,,,
Felipe Acosta,,,felipe-acosta,F. Acosta,M,14,15,924302,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,769824000,"{'value': 580000, 'currency': 'EUR'}",190.0,14,False,25.0,17.0,4.0,3.0,0.0,2.0,5.0,,,90.0,36.0,6.7,12.0,"{'original': 6.7, 'alternative': None}",1.0,,3.0,8.0,,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,2.0,,,2.0,,,,Deportivo La Equidad,away,,,,
Deyson Copete,Deyson David,Copete Cuesta,deyson-david-copete-cuesta,D. Copete,M,33,7,1901819,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,998438400,"{'value': 145000, 'currency': 'EUR'}",187.0,5,False,3.0,3.0,,,0.0,,1.0,,,16.0,6.0,3.0,1.0,"{'original': 3, 'alternative': None}",,,1.0,2.0,,,1.0,,1.0,,,1.0,,,,,,,,,Deportivo La Equidad,away,,,,
Beckham Castro,Beckham Castro,,beckham-castro,B. Castro,F,11,129,1173560,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1063324800,"{'value': 760000, 'currency': 'EUR'}",176.0,11,False,10.0,7.0,2.0,1.0,0.0,,7.0,,,83.0,32.0,7.6,10.0,"{'original': 7.6, 'alternative': None}",3.0,3.0,1.0,6.0,2.0,4.0,,,1.0,3.0,,5.0,,,,2.0,,1.0,3.0,,Deportivo La Equidad,away,,,,
Renan Oliveira,,,renan-oliveira,R. Oliveira,F,9,263,888598,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,863049600,"{'value': 575000, 'currency': 'EUR'}",186.0,9,False,19.0,10.0,,,0.0,3.0,3.0,,,65.0,28.0,6.9,11.0,"{'original': 6.9, 'alternative': None}",1.0,1.0,4.0,4.0,,,2.0,,,1.0,,,2.0,,,,,1.0,,,Deportivo La Equidad,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ر. أوليفيرا', 'hi': 'आर. ओलिवेरा', 'bn': 'আর. অলিভেইরা'}}",,,
Yair Joao Abonia Vasquez,Yair Joao,Abonia Vásquez,yair-abonia,J. Abonia,D,13,9,1175080,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949968000,"{'value': 310000, 'currency': 'EUR'}",170.0,13,False,21.0,17.0,,,0.0,,8.0,,,89.0,39.0,7.2,7.0,"{'original': 7.2, 'alternative': None}",1.0,,3.0,7.0,1.0,1.0,2.0,1.0,,,,3.0,,5.0,1.0,,2.0,,1.0,,Deportivo La Equidad,away,,,,
Wilmar Cruz,,,wilmar-cruz,W. Cruz,F,10,31,925131,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,743731200,"{'value': 260000, 'currency': 'EUR'}",171.0,10,True,4.0,1.0,,,0.0,4.0,5.0,,,25.0,8.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,,,1.0,,,,,1.0,,,,,1.0,,,,,,,Deportivo La Equidad,away,,,,
Santiago Lopez,Santiago López,,lopez-santiago,S. López,M,8,10,1512397,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013212800,,,25,True,3.0,2.0,1.0,,0.0,1.0,1.0,,,15.0,3.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,,,,
Ayron Del Valle,,,ayron-del-valle,A. D. Valle,F,7,97,47735,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,601862400,"{'value': 160000, 'currency': 'EUR'}",178.0,7,True,,,,,0.0,,2.0,,,1.0,3.0,,1.0,,,,1.0,3.0,,1.0,,,1.0,,,1.0,,1.0,,,,,,,Deportivo La Equidad,away,,,,
Andres Perez,,,andres-perez,A. Perez,G,12,5,1177555,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,926035200,"{'value': 49000, 'currency': 'EUR'}",180.0,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,,,,
Daniel Polanco,Daniel Polanco,,daniel-polanco,D. Polanco,D,2,5,1170892,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400,,,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,,,,
Sebastián Tamara,,,sebastian-tamara,S. Tamara,M,8,15,825757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,831686400,"{'value': 365000, 'currency': 'EUR'}",173.0,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,,,,
Amaury Torralvo,,,torralvo-amaury,A. Torralvo,F,36,11,821915,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758332800,"{'value': 260000, 'currency': 'EUR'}",169.0,26,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,,,,
