name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,minutesPlayed,touches,rating,ratingVersions,totalCross,aerialLost,duelLost,challengeLost,dispossessed,shotOffTarget,onTargetScoringAttempt,goals,totalClearance,interceptionWon,totalTackle,fouls,possessionLostCtrl,outfielderBlock,wasFouled,accurateCross,keyPass,totalOffside,captain,team,teamType,fieldTranslations,goodHighClaim,saves,punches,bigChanceCreated,totalContest,wonContest,blockedScoringAttempt
Danovis Banguero,danovis-banguero,D. Banguero,D,20,185.0,94,34090,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,625449600.0,"{'value': 320000, 'currency': 'EUR'}",,,20,False,35.0,32.0,3.0,2.0,0.0,2.0,5.0,90.0,49.0,6.9,"{'original': 6.9, 'alternative': None}",2.0,,1.0,,,,,,3.0,,3.0,1.0,5.0,,,1.0,,,,Millonarios,away,,,,,,,,
Jhon Córdoba,jhon-cordoba,J. Córdoba,M,15,181.0,246,961647,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200.0,"{'value': 1200000, 'currency': 'EUR'}",,,15,False,10.0,8.0,1.0,1.0,1.0,1.0,5.0,78.0,19.0,7.0,"{'original': 7, 'alternative': None}",1.0,,2.0,,1.0,,,,,,1.0,1.0,6.0,,3.0,,1.0,,,Millonarios,away,,,,,,,,
Juan Pereira,juan-pereira,J. Pereira,M,21,182.0,102,974041,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729129600.0,"{'value': 470000, 'currency': 'EUR'}",,,21,False,35.0,31.0,2.0,1.0,0.0,,4.0,90.0,47.0,7.3,"{'original': 7.3, 'alternative': None}",,1.0,2.0,,1.0,,1.0,1.0,1.0,1.0,2.0,,7.0,,1.0,,1.0,,,Millonarios,away,,,,,,1.0,1.0,
Stiven Vega,stiven-vega,S. Vega,M,28,175.0,125,590354,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895795200.0,"{'value': 630000, 'currency': 'EUR'}",,,28,False,51.0,41.0,3.0,1.0,0.0,1.0,4.0,90.0,60.0,6.8,"{'original': 6.8, 'alternative': None}",,,,,,,,,1.0,2.0,,,11.0,,3.0,,1.0,,,Millonarios,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. فيغا', 'hi': 'एस. वेगा', 'bn': 'এস. ভেগা'}}",,,,,,,
Daniel Mantilla,daniel-mantilla,D. Mantilla,M,11,173.0,119,924552,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,851472000.0,"{'value': 550000, 'currency': 'EUR'}",,,11,False,13.0,9.0,2.0,,0.0,,,55.0,16.0,6.3,"{'original': 6.3, 'alternative': None}",,,1.0,,,,,,,1.0,,1.0,5.0,,,,,,,Millonarios,away,,,,,,,,
David Macalister Silva,david-macalister-silva,D. M. Silva,M,14,175.0,371,822108,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,534816000.0,"{'value': 215000, 'currency': 'EUR'}",,,14,False,7.0,7.0,,,0.0,,,24.0,9.0,7.2,"{'original': 7.2, 'alternative': None}",,,,,,,1.0,1.0,,,,,1.0,,,,,,True,Millonarios,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. م. سيلفا', 'hi': 'डी.एम. सिल्वा', 'bn': 'ডি. এম. সিলভা'}}",,,,,,,
Leonardo Castro,leonardo-castro,L. Castro,F,23,174.0,1091,827806,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,708480000.0,"{'value': 975000, 'currency': 'EUR'}",,,23,False,9.0,6.0,,,0.0,,,78.0,15.0,6.4,"{'original': 6.4, 'alternative': None}",,2.0,4.0,,,1.0,,,,,,1.0,8.0,,,,,,,Millonarios,away,,,,,,1.0,,
Daniel Cataño,daniel-catano,D. Cataño,M,10,174.0,259,829884,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,695606400.0,"{'value': 415000, 'currency': 'EUR'}",,,10,True,36.0,31.0,2.0,2.0,0.0,,5.0,66.0,57.0,6.9,"{'original': 6.9, 'alternative': None}",2.0,,4.0,,3.0,,,,1.0,1.0,2.0,1.0,13.0,,3.0,1.0,,,,Millonarios,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. كاتانيو', 'hi': 'डी. कैटानो', 'bn': 'ডি. কাটানো'}}",,,,,,,
Sergio Mosquera,sergio-mosquera,S. Mosquera,D,6,185.0,73,351426,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,760752000.0,"{'value': 405000, 'currency': 'EUR'}",,,6,True,7.0,6.0,3.0,2.0,0.0,,1.0,35.0,12.0,6.5,"{'original': 6.5, 'alternative': None}",,,,,,,,,2.0,1.0,,,1.0,,1.0,,,,,Millonarios,away,,,,,,,,
Nicolás Giraldo,nicolas-giraldo,N. Giraldo,D,27,174.0,30,924581,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,733363200.0,"{'value': 310000, 'currency': 'EUR'}",,,27,True,3.0,2.0,,,0.0,1.0,1.0,12.0,6.0,6.1,"{'original': 6.1, 'alternative': None}",,,1.0,,,,,,,,,,3.0,,,,,,,Millonarios,away,,,,,,1.0,,1.0
Santiago Giordana,santiago-giordana,S. Giordana,F,32,181.0,249,789880,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,799459200.0,"{'value': 550000, 'currency': 'EUR'}",,,32,True,10.0,7.0,,,0.0,,,12.0,12.0,6.5,"{'original': 6.5, 'alternative': None}",,1.0,1.0,,,,,,,,,,4.0,,,,,1.0,,Millonarios,away,,,,,,,,
Diego Novoa,diego-novoa,D. Novoa,G,12,186.0,65,248983,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,612576000.0,"{'value': 185000, 'currency': 'EUR'}",,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. نوفوا', 'hi': 'डी. नोवोआ', 'bn': 'ডি. নোভোয়া'}}",,,,,,,
Nicolas Arevalo,arevalo-nicolas,N. Arévalo,M,5,176.0,99,1466638,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1047513600.0,"{'value': 340000, 'currency': 'EUR'}",,,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away,,,,,,,,
Radamel Falcao,radamel-falcao,R. Falcao,F,9,177.0,12659,25682,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,508377600.0,"{'value': 260000, 'currency': 'EUR'}",,,9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ر. فالكاو', 'hi': 'आर. फाल्काओ', 'bn': 'আর. ফ্যালকাও'}}",,,,,,,
