name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,savedShotsFromInsideTheBox,penaltySave,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,wonContest,totalClearance,outfielderBlock,interceptionWon,totalTackle,wasFouled,fouls,onTargetScoringAttempt,goals,keyPass,penaltyConceded,accurateCross,challengeLost,totalOffside,blockedScoringAttempt,dispossessed,shotOffTarget,bigChanceCreated,captain,team,teamType,penaltyWon,bigChanceMissed,penaltyMiss
Ivan Scarpeta,ivan-scarpetta,I. Scarpeta,D,15,180.0,32,1021384,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833932800,"{'value': 425000, 'currency': 'EUR'}",,,,15,False,38.0,30.0,7.0,2.0,0.0,,,,,90.0,45.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",,,1.0,,1.0,,,2.0,1.0,1.0,,,,,,1.0,,,,,,,,,True,Independiente Santa Fe,away,,,
Christian Mafla,christian-mafla,C. Mafla,D,32,175.0,31,340757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727056000,"{'value': 240000, 'currency': 'EUR'}",,,,32,False,16.0,11.0,3.0,2.0,0.0,,,,,90.0,31.0,7.3,9.0,"{'original': 7.3, 'alternative': None}",6.0,,2.0,,5.0,1.0,1.0,1.0,,1.0,,2.0,,1.0,,2.0,,3.0,,,,,,,,Independiente Santa Fe,away,,,
Tomas Molina,tomas-molina,T. Molina,M,31,,12,1602380,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1083110400,,Tomas Molina,,,31,False,8.0,7.0,2.0,1.0,0.0,,,,,45.0,11.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,1.0,,2.0,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,Independiente Santa Fe,away,,,
Johan Torres,johan-torres,J. Torres,M,14,178.0,106,1394757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1094515200,"{'value': 1100000, 'currency': 'EUR'}",Johan Torres,,,14,False,19.0,14.0,1.0,1.0,0.0,,,,,71.0,23.0,5.8,6.0,"{'original': 5.8, 'alternative': None}",,1.0,1.0,2.0,1.0,,,,,,,,1.0,,,,,,,,2.0,,,,,Independiente Santa Fe,away,,,
Yeicar Perlaza,yeicar-perlaza,Y. Perlaza,D,27,180.0,36,1106547,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1043366400,,Yaicar Perlaza,,,27,False,10.0,8.0,1.0,,0.0,,,,,61.0,26.0,6.7,11.0,"{'original': 6.7, 'alternative': None}",4.0,1.0,3.0,5.0,4.0,3.0,,1.0,,1.0,,1.0,,2.0,,,,,,,1.0,1.0,1.0,,,Independiente Santa Fe,away,,,
Edwar López,edwar-lopez,E. López,F,28,179.0,64,924950,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,794707200,"{'value': 390000, 'currency': 'EUR'}",,,,28,False,25.0,21.0,3.0,2.0,0.0,,,,,90.0,37.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",,4.0,3.0,6.0,5.0,,,3.0,,,2.0,,1.0,,,2.0,,,,1.0,1.0,1.0,2.0,,,Independiente Santa Fe,away,,,
Marlon Balanta,marlon-balanta,M. Balanta,F,34,,16,2050159,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1214956800,,Marlon Balanta,,,34,False,7.0,3.0,1.0,,0.0,,,,,45.0,15.0,6.8,5.0,"{'original': 6.8, 'alternative': None}",,,1.0,3.0,2.0,,,2.0,,1.0,1.0,,1.0,,,,,,2.0,,1.0,,2.0,,,Independiente Santa Fe,away,,,
Ángelo Rodríguez,angelo-rodriguez,Á. Rodríguez,F,9,182.0,122,819171,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,607651200,"{'value': 265000, 'currency': 'EUR'}",,,,9,False,11.0,9.0,,,0.0,,,,,61.0,18.0,6.4,7.0,"{'original': 6.4, 'alternative': None}",,1.0,,4.0,,1.0,,,,,,,,,,2.0,,,,1.0,,2.0,,,,Independiente Santa Fe,away,,,
Daniel Torres,daniel-torres,D. Torres,M,16,186.0,225,125813,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,627091200,"{'value': 260000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. توريس', 'hi': 'डी. टोरेस', 'bn': 'ডি. টরেস'}}",16,True,16.0,12.0,,,0.0,,,,,45.0,21.0,6.8,5.0,"{'original': 6.8, 'alternative': None}",,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,Independiente Santa Fe,away,1.0,,
Harold Santiago Mosquera,harold-mosquera,H. S. Mosquera,F,23,168.0,161,836164,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792115200,"{'value': 680000, 'currency': 'EUR'}",,,,23,True,16.0,9.0,,,0.0,,,,,45.0,27.0,6.2,13.0,"{'original': 6.2, 'alternative': None}",5.0,1.0,,2.0,,1.0,,,,,,,,2.0,,,,1.0,,1.0,1.0,,1.0,,,Independiente Santa Fe,away,,1.0,1.0
Jeison Angulo,jeison-angulo,J. Angulo,D,24,182.0,43,589390,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835833600,"{'value': 310000, 'currency': 'EUR'}",,,,24,True,9.0,7.0,,,0.0,,,,,29.0,17.0,6.3,7.0,"{'original': 6.3, 'alternative': None}",3.0,,,2.0,,1.0,,1.0,,,,,1.0,,,,,,,,1.0,,,,,Independiente Santa Fe,away,,,
Leandro Angulo,leandro-angulo,L. Angulo,M,25,181.0,12,1175146,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,999734400,"{'value': 54000, 'currency': 'EUR'}",Leandro Angulo,,,25,True,9.0,6.0,4.0,2.0,0.0,,,,,29.0,14.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,,,1.0,3.0,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,Independiente Santa Fe,away,,,
Jhon Meléndez,jhon-melendez,J. Meléndez,D,5,183.0,24,1174999,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010707200,"{'value': 330000, 'currency': 'EUR'}",Jhon Meléndez,,,5,True,5.0,2.0,1.0,,0.0,,,,,12.0,9.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",1.0,,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,Independiente Santa Fe,away,,,
Andrés Mosquera,andres-mosquera,A. Mosquera,G,1,186.0,77,829878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684460800,"{'value': 660000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موسكويرا', 'hi': 'ए. मोस्केरा', 'bn': 'এ. মস্কেরা'}}",1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away,,,
David Ramírez,david-ramirez,D. Ramírez,D,4,190.0,35,1117012,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010016000,"{'value': 315000, 'currency': 'EUR'}",David Ramírez,,,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away,,,
