name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,duelWon,challengeLost,dispossessed,totalClearance,outfielderBlock,totalTackle,wasFouled,fouls,keyPass,aerialLost,aerialWon,shotOffTarget,interceptionWon,totalContest,blockedScoringAttempt,wonContest,totalOffside,onTargetScoringAttempt,captain,team,teamType
Brayan Rovira,brayan-rovira,B. Rovira,M,80,177,90,818941,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,849484800,"{'value': 640000, 'currency': 'EUR'}",,,,80,False,63.0,58.0,11.0,10.0,0.0,,90.0,77.0,7.5,10.0,"{'original': 7.5, 'alternative': None}",4.0,,,3.0,,,1.0,1.0,,3.0,,1.0,,,,2.0,,,,,,,Deportes Tolima,away
Kevin Pérez,kevin-perez,K. Pérez,M,18,170,40,991859,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869184000,"{'value': 605000, 'currency': 'EUR'}",,,,18,False,18.0,14.0,2.0,1.0,0.0,,60.0,30.0,7.0,8.0,"{'original': 7, 'alternative': None}",1.0,,4.0,6.0,,2.0,,,1.0,2.0,2.0,1.0,,1.0,1.0,2.0,2.0,,2.0,,,,Deportes Tolima,away
Gustavo Ramírez,gustavo-ramirez,G. Ramírez,F,27,181,86,827792,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,642556800,"{'value': 145000, 'currency': 'EUR'}",,,,27,False,22.0,18.0,4.0,4.0,0.0,,69.0,26.0,7.1,5.0,"{'original': 7.1, 'alternative': None}",,,,4.0,,,,,,1.0,,,,3.0,,,,,,,2.0,,Deportes Tolima,away
Gonzalo Lencina,gonzalo-lencina,G. Lencina,F,11,178,503,974691,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,877132800,"{'value': 825000, 'currency': 'EUR'}",,,,11,False,16.0,9.0,1.0,1.0,0.0,,90.0,31.0,7.0,12.0,"{'original': 7, 'alternative': None}",,,5.0,6.0,,,4.0,,,3.0,1.0,,3.0,3.0,,1.0,1.0,,,1.0,1.0,,Deportes Tolima,away
Alex Castro,alex-castro,A. Castro,M,23,170,75,818930,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,763084800,"{'value': 535000, 'currency': 'EUR'}",,,,23,True,10.0,9.0,2.0,2.0,0.0,,30.0,19.0,6.9,4.0,"{'original': 6.9, 'alternative': None}",1.0,,,3.0,,,4.0,,1.0,1.0,,,,1.0,,,,,,,,,Deportes Tolima,away
Ever Valencia,ever-valencia,E. Valencia,M,8,175,55,819152,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853977600,"{'value': 410000, 'currency': 'EUR'}",,,,8,True,7.0,4.0,2.0,1.0,0.0,,21.0,12.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,,,2.0,,,2.0,,1.0,1.0,,,,,,,,,,,,,Deportes Tolima,away
Adrián Parra,adrian-parra,A. Parra,F,24,178,85,830255,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853372800,"{'value': 535000, 'currency': 'EUR'}",,,,24,True,2.0,2.0,,,0.0,,21.0,5.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,1.0,,,,,,,,1.0,,,,,,,,,,,,Deportes Tolima,away
Cristian Trujillo,cristian-trujillo,C. Trujillo,M,6,174,23,931707,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,902620800,"{'value': 580000, 'currency': 'EUR'}",,,,6,True,,,,,0.0,,13.0,1.0,6.6,,"{'original': 6.6, 'alternative': None}",,,,,,,,1.0,,,,,,,,,,,,,,,Deportes Tolima,away
William Cuesta,william-cuesta,W. Cuesta,G,1,195,24,339369,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730080000,"{'value': 270000, 'currency': 'EUR'}",,,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away
Jhon Quiñónes,jhon-quinones,J. Quiñónes,D,4,188,13,1494091,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1082073600,,,Jhon Quiñónes,,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away
Cristian Arrieta,cristian-arrieta,C. Arrieta,M,71,170,27,819133,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,820627200,"{'value': 605000, 'currency': 'EUR'}",,,,71,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away
