name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,wonContest,onTargetScoringAttempt,goals,interceptionWon,totalTackle,fouls,totalClearance,challengeLost,blockedScoringAttempt,keyPass,wasFouled,totalOffside,dispossessed,captain,team,teamType,fieldTranslations,totalKeeperSweeper,accurateKeeperSweeper,outfielderBlock,shotOffTarget,hitWoodwork
Ronald Valencia,ronald-valencia,R. Valencia,F,77,180.0,9,1154914,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,983577600,"{'value': 135000, 'currency': 'EUR'}",Ronald Valencia,,16,False,11.0,7.0,3.0,1.0,0.0,,,45.0,19.0,6.4,7.0,"{'original': 6.4, 'alternative': None}",,,1.0,1.0,2.0,3.0,1.0,,1.0,,1.0,,,1.0,,,,2.0,,,,Boyacá Chicó FC,away,,,,,,
Sebastian Salazar,sebastian-salazar,S. Salazar,M,8,180.0,8,789908,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812419200,"{'value': 215000, 'currency': 'EUR'}",,,8,False,12.0,12.0,1.0,1.0,0.0,,,36.0,16.0,6.4,1.0,"{'original': 6.4, 'alternative': None}",,,,,2.0,,,,,,,,1.0,1.0,,,,,,1.0,,Boyacá Chicó FC,away,,,,1.0,,
Frank Lozano,frank-lozano,F. Lozano,M,19,175.0,19,1015686,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745977600,"{'value': 340000, 'currency': 'EUR'}",,,19,False,39.0,33.0,8.0,5.0,0.0,,,90.0,47.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",,,,,1.0,2.0,,,,,3.0,,,1.0,,,,2.0,,1.0,True,Boyacá Chicó FC,away,,,,,,
Delio Ramírez,delio-ramirez,D. Ramírez,M,10,160.0,11,1015661,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,975110400,"{'value': 53000, 'currency': 'EUR'}",,,10,False,30.0,24.0,4.0,1.0,0.0,,,81.0,56.0,6.3,21.0,"{'original': 6.3, 'alternative': None}",5.0,,,,8.0,6.0,8.0,2.0,,,1.0,2.0,,,,,,2.0,,2.0,,Boyacá Chicó FC,away,,,,,1.0,
Kevin Londoño,kevin-londono,K. Londoño,M,27,180.0,14,1100037,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963100800,"{'value': 440000, 'currency': 'EUR'}",Kevin Londoño,,27,False,65.0,64.0,8.0,8.0,0.0,,,90.0,68.0,7.0,1.0,"{'original': 7, 'alternative': None}",,,,,2.0,1.0,1.0,1.0,,,1.0,,2.0,,,,2.0,,,,,Boyacá Chicó FC,away,,,,,,
Jairo Molina,jairo-molina,J. Molina,F,9,183.0,66,247931,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,735955200,"{'value': 49000, 'currency': 'EUR'}",,,9,False,15.0,14.0,,,0.0,,,90.0,26.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",,,7.0,1.0,9.0,2.0,1.0,1.0,1.0,,,,2.0,,,,1.0,,2.0,1.0,,Boyacá Chicó FC,away,,,,,1.0,
John Sánchez,john-sanchez,J. Sánchez,M,77,168.0,6,829865,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,800496000,"{'value': 48000, 'currency': 'EUR'}",,,11,True,14.0,10.0,3.0,2.0,0.0,,,45.0,25.0,6.3,10.0,"{'original': 6.3, 'alternative': None}",1.0,,1.0,,6.0,2.0,5.0,2.0,,,,,,,,,,,,2.0,,Boyacá Chicó FC,away,,,,,,
Andres Aedo,aedo-andres,A. Aedo,M,6,183.0,8,1427849,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1077494400,"{'value': 145000, 'currency': 'EUR'}",Andres Aedo,,6,True,20.0,19.0,1.0,1.0,0.0,,,45.0,26.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",1.0,,1.0,,6.0,,1.0,,,,,,3.0,,,,,,,1.0,,Boyacá Chicó FC,away,,,,1.0,1.0,
Sebastián Colón,sebastian-colon,S. Colón,F,29,177.0,28,1465840,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895881600,,Sebastián Colón,,29,True,9.0,7.0,,,0.0,,,45.0,13.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,,,,1.0,1.0,,,,,,,,,,,,1.0,,1.0,,Boyacá Chicó FC,away,,,,,,
Jonathan Herrera,jonathan-herrera,J. Herrera,D,18,177.0,9,819185,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825120000,"{'value': 220000, 'currency': 'EUR'}",,,18,True,2.0,2.0,,,0.0,,,9.0,6.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",2.0,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,Boyacá Chicó FC,away,,,,,1.0,1.0
Jacobo Pimentel,jacobo-pimentel,J. Pimentel,F,21,176.0,12,1017237,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010880000,"{'value': 140000, 'currency': 'EUR'}",,,21,True,3.0,3.0,,,0.0,,,9.0,8.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,,,1.0,2.0,,,,,,2.0,,,,,,,,1.0,,Boyacá Chicó FC,away,,,,,,
Cristian Baldovino,cristian-baldovino,C. Baldovino,G,,192.0,2,926634,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,856310400,"{'value': 69000, 'currency': 'EUR'}",,,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,away,,,,,,
Arlen Banguero,arlen-banguero,A. Banguero,D,26,,3,2035889,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,953856000,,Arlen Banguero,,26,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,away,,,,,,
