name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,goalAssist,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,accurateLongBalls,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalContest,totalClearance,interceptionWon,totalTackle,fouls,bigChanceCreated,shotOffTarget,blockedScoringAttempt,wasFouled,keyPass,totalCross,onTargetScoringAttempt,goals,accurateCross,challengeLost,bigChanceMissed,hitWoodwork,totalOffside,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,wonContest,outfielderBlock
Jan Ángulo,Jan Ángulo,,jan-angulo,J. Ángulo,D,20,,14,1478219,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,988675200.0,"{'value': 260000, 'currency': 'EUR'}",,20,False,19.0,12.0,5.0,0.0,90.0,38.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",,1.0,,1.0,2.0,,,8.0,1.0,2.0,,,,,,,,,,,,,,,,Llaneros FC,away,,,,,,5.0
Cristian Valencia,,,cristian-valencia,C. Valencia,D,15,186.0,25,842690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,691804800.0,"{'value': 48000, 'currency': 'EUR'}",,15,False,23.0,19.0,2.0,0.0,90.0,42.0,7.1,4.0,"{'original': 7.1, 'alternative': None}",1.0,1.0,2.0,1.0,3.0,,,14.0,,,,,,,1.0,,,,,,,,,,,Llaneros FC,away,,,,,,4.0
Juan José Vásquez,Juan José Vásquez,,juan-jose-vasquez,J. J. Vásquez,F,99,180.0,4,1133380,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,928368000.0,,,99,False,19.0,10.0,5.0,0.0,90.0,41.0,6.4,13.0,"{'original': 6.4, 'alternative': None}",,,,2.0,3.0,,2.0,6.0,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,Llaneros FC,away,,,,,1.0,1.0
Duván Mosquera,Duván Mosquera,,duvan-mosquera,D. Mosquera,M,27,175.0,3,1174806,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890870400.0,"{'value': 330000, 'currency': 'EUR'}",,27,False,15.0,14.0,,0.0,45.0,25.0,6.9,2.0,"{'original': 6.9, 'alternative': None}",,,,,1.0,,,1.0,4.0,,,,,,1.0,1.0,1.0,,,,,,,,,Llaneros FC,away,,,,,,
Maicol Medina,,,maicol-medina,M. Medina,M,18,178.0,11,1100059,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,865382400.0,"{'value': 240000, 'currency': 'EUR'}",,18,False,10.0,7.0,1.0,0.0,67.0,13.0,6.4,4.0,"{'original': 6.4, 'alternative': None}",1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,Llaneros FC,away,,,,,,1.0
Carlos Sierra,,,carlos-sierra,C. Sierra,M,14,183.0,60,895805,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,656812800.0,"{'value': 280000, 'currency': 'EUR'}",,14,False,17.0,12.0,5.0,0.0,90.0,26.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",3.0,,1.0,2.0,2.0,,,3.0,,1.0,2.0,,1.0,,,,,,,,,,,,,Llaneros FC,away,,,,,,2.0
Bryan Urueña,,,bryan-uruena,B. Urueña,M,10,175.0,20,830014,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,720489600.0,"{'value': 240000, 'currency': 'EUR'}",,10,False,27.0,22.0,6.0,0.0,90.0,39.0,6.7,14.0,"{'original': 6.7, 'alternative': None}",3.0,,1.0,,3.0,,1.0,,,,,,,,1.0,,3.0,,,,,,,,True,Llaneros FC,away,,,,,1.0,
Michael Rangel,,,michael-rangel,M. Rangel,F,9,186.0,141,1103938,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,668390400.0,"{'value': 190000, 'currency': 'EUR'}",,28,False,25.0,19.0,2.0,0.0,90.0,30.0,6.5,10.0,"{'original': 6.5, 'alternative': None}",1.0,4.0,2.0,5.0,2.0,,,,1.0,,1.0,,,,,,,,,,,,,,,Llaneros FC,away,,,,,,
Jose Bernal,José Bernal,,bernal-jose,J. Bernal,M,52,180.0,50,1499044,"{'alpha2': 'PA', 'alpha3': 'PAN', 'name': 'Panama', 'slug': 'panama'}",EUR,1029801600.0,"{'value': 52000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. برنال', 'hi': 'J. Bernal', 'bn': 'জে বার্নাল'}}",52,False,3.0,2.0,,0.0,67.0,17.0,6.2,11.0,"{'original': 6.2, 'alternative': None}",,2.0,,5.0,2.0,,3.0,,,,,,1.0,,2.0,,,,,,,,,,,Llaneros FC,away,,,,,,
Brandon Churi,Brandon Churi,,brandon-churi,B. Churi,M,19,175.0,8,2022043,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1109808000.0,,,19,True,5.0,4.0,,0.0,45.0,12.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,Llaneros FC,away,,,,,,
Eyder Restrepo,,,eyder-restrepo,E. Restrepo,M,5,169.0,6,1014821,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922665600.0,"{'value': 265000, 'currency': 'EUR'}",,5,True,10.0,9.0,1.0,0.0,23.0,13.0,6.8,1.0,"{'original': 6.8, 'alternative': None}",,,,,1.0,,,,2.0,,,,,,1.0,,,,,,,,,,,Llaneros FC,away,,,,,,
Roberto Hinojosa,,,roberto-hinojosa,R. Hinojosa,M,80,170.0,64,989392,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,930873600.0,"{'value': 530000, 'currency': 'EUR'}",,80,True,6.0,6.0,,0.0,23.0,7.0,6.7,,"{'original': 6.7, 'alternative': None}",,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,Llaneros FC,away,,,,,,
Humberto Acevedo,,,humberto-acevedo,H. Acevedo,G,77,185.0,17,873463,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,864345600.0,"{'value': 53000, 'currency': 'EUR'}",,77,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,away,,,,,,
Jaison Mina,Jaison Mina,,jaison-mina,J. Mina,D,28,188.0,9,1174007,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949104000.0,"{'value': 145000, 'currency': 'EUR'}",,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,away,,,,,,
Óscar Vega,Oscar Vega,,oscar-vega,Ó. Vega,D,30,,8,2030749,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,away,,,,,,
Marlon Sierra,,,marlon-sierra,M. Sierra,M,6,174.0,6,890057,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,780105600.0,"{'value': 97000, 'currency': 'EUR'}",,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,away,,,,,,
