name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalTackle,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,interceptionWon,fouls,aerialLost,aerialWon,duelLost,onTargetScoringAttempt,totalClearance,wasFouled,outfielderBlock,dispossessed,totalContest,wonContest,challengeLost,keyPass,accurateCross,shotOffTarget,captain,team,teamType,blockedScoringAttempt,totalOffside
Jefferson Mena,,,jefferson-mena,J. Mena,D,2,183.0,66,355850,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,613872000.0,"{'value': 97000, 'currency': 'EUR'}",,2,False,20.0,14.0,5.0,1.0,0.0,,,,,90.0,29.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",,2.0,1.0,,,1.0,,4.0,,,,,,,,,,True,Atlético Bucaramanga,away,,
Carlos Henao,,,carlos-henao,C. Henao,D,29,187.0,65,822085,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,597110400.0,"{'value': 105000, 'currency': 'EUR'}",,29,False,20.0,13.0,4.0,1.0,0.0,2.0,1.0,,,90.0,28.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",,1.0,3.0,,,3.0,,2.0,1.0,,,,,,,,,,Atlético Bucaramanga,away,1.0,
Fredy Hinestroza,,,fredy-hinestroza,F. Hinestroza,D,8,178.0,94,249075,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,639273600.0,"{'value': 360000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ف. هينستروزا', 'hi': 'एफ. हिनेस्ट्रोज़ा', 'bn': 'এফ. হিনেস্ট্রোজা'}}",8,False,39.0,32.0,2.0,,0.0,1.0,,,,90.0,48.0,6.9,11.0,"{'original': 6.9, 'alternative': None}",1.0,2.0,1.0,,,1.0,,,1.0,,1.0,,,,1.0,,1.0,,Atlético Bucaramanga,away,,
Aldair Zárate,Aldair Zárate,,zarate-aldair,A. Zárate,M,20,177.0,30,1174928,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919641600.0,"{'value': 465000, 'currency': 'EUR'}",,20,False,35.0,28.0,,,0.0,5.0,4.0,,,89.0,48.0,6.9,10.0,"{'original': 6.9, 'alternative': None}",1.0,3.0,1.0,2.0,,6.0,1.0,,1.0,,1.0,1.0,,1.0,,,,,Atlético Bucaramanga,away,,
Edwin Castro,,,edwin-castro,E. Castro,M,22,183.0,86,339719,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,698630400.0,"{'value': 210000, 'currency': 'EUR'}",,22,False,38.0,34.0,7.0,5.0,0.0,6.0,3.0,,,90.0,49.0,7.2,5.0,"{'original': 7.2, 'alternative': None}",,2.0,3.0,,,4.0,,,2.0,,,1.0,1.0,1.0,,,,,Atlético Bucaramanga,away,1.0,
Frank Castañeda,,,frank-castaneda,F. Castañeda,M,70,171.0,241,923112,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,774403200.0,"{'value': 465000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ف. كاستانيدا', 'hi': 'एफ. कास्टेनेडा', 'bn': 'এফ. কাস্টেনেডা'}}",70,False,23.0,21.0,1.0,1.0,0.0,3.0,2.0,,,71.0,31.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",,,,,,2.0,,,,,1.0,2.0,1.0,,1.0,,1.0,,Atlético Bucaramanga,away,,1.0
Luciano Pons,,,luciano-pons,L. Pons,F,27,180.0,1312,940264,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,640396800.0,"{'value': 315000, 'currency': 'EUR'}",,27,False,12.0,12.0,2.0,2.0,0.0,1.0,,,,79.0,18.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",,,2.0,5.0,,7.0,,1.0,1.0,,1.0,,,,,,2.0,,Atlético Bucaramanga,away,,
Fabián Sambueza,,,fabian-sambueza,F. Sambueza,M,10,173.0,211,789379,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,586396800.0,"{'value': 230000, 'currency': 'EUR'}",,10,False,29.0,18.0,,,0.0,3.0,,,,90.0,47.0,6.6,19.0,"{'original': 6.6, 'alternative': None}",5.0,,4.0,,,6.0,,1.0,3.0,,1.0,1.0,,,2.0,1.0,,,Atlético Bucaramanga,away,2.0,1.0
Diego Chávez,Diego Chavez,,diego-chavez,D. Chávez,M,15,180.0,55,1169585,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,875059200.0,"{'value': 585000, 'currency': 'EUR'}",,15,True,8.0,7.0,,,0.0,1.0,,,,19.0,11.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,2.0,,,2.0,,1.0,1.0,,,,,,,,,,Atlético Bucaramanga,away,,
Jean Carlos Blanco,,,jean-carlos-blanco,J. C. Blanco,F,18,185.0,94,1199361,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,702518400.0,"{'value': 370000, 'currency': 'EUR'}",,18,True,5.0,5.0,,,0.0,1.0,,,,11.0,8.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,,,,1.0,1.0,,,,,1.0,,,,,,,,Atlético Bucaramanga,away,,
Kevin Londoño,,,kevin-londono,K. Londoño,F,7,180.0,142,1104827,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,754012800.0,"{'value': 420000, 'currency': 'EUR'}",,7,True,1.0,1.0,1.0,1.0,0.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,
Luis Vásquez,,,luis-vasquez,L. Vásquez,G,12,187.0,37,796510,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825638400.0,"{'value': 215000, 'currency': 'EUR'}",,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,
Santiago Jiménez,,,santiago-jimenez,S. Jiménez,D,6,180.0,37,830070,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,888710400.0,"{'value': 440000, 'currency': 'EUR'}",,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,
Jhon Vásquez,,,jhon-vasquez,Jhon Vásquez,F,11,176.0,98,805288,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792547200.0,"{'value': 580000, 'currency': 'EUR'}",,11,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,
Adalberto Peñaranda,,,adalberto-penaranda,A. Peñaranda,F,97,183.0,880,825775,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,865036800.0,"{'value': 210000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. بيناراندا', 'hi': 'ए. पेनारांडा', 'bn': 'এ. পেনারান্ডা'}}",97,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,
