name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,minutesPlayed,touches,rating,ratingVersions,totalCross,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,wasFouled,fouls,possessionLostCtrl,keyPass,outfielderBlock,shotOffTarget,onTargetScoringAttempt,bigChanceMissed,totalOffside,accurateCross,blockedScoringAttempt,bigChanceCreated,goals,aerialLost,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,saves,punches
Didier Palacios,didier-palacios,D. Palacios,D,2,185.0,29,1647753,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1086220800.0,"{'value': 390000, 'currency': 'EUR'}",,Didier Palacios,,2,False,23.0,14.0,8.0,,0.0,90.0,35.0,6.5,"{'original': 6.5, 'alternative': None}",,,2.0,2.0,,,1.0,,7.0,,2.0,,1.0,10.0,,1.0,,,,,,,,,,,Envigado FC,away,,,,
Carlos Ramirez,carlos-ramirez,C. Ramirez,D,29,182.0,68,1130277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,578448000.0,"{'value': 54000, 'currency': 'EUR'}",,,,29,False,31.0,26.0,6.0,2.0,0.0,90.0,41.0,6.6,"{'original': 6.6, 'alternative': None}",,,1.0,1.0,,,1.0,1.0,5.0,,,,,6.0,,1.0,,,,,,1.0,,,1.0,True,Envigado FC,away,,,,
Brayan Murillo,brayan-murillo,B. Murillo,D,36,,6,1929964,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,,Brayan Murillo,,36,False,20.0,12.0,2.0,,0.0,90.0,43.0,7.0,"{'original': 7, 'alternative': None}",,,5.0,6.0,2.0,1.0,3.0,2.0,,1.0,3.0,1.0,1.0,13.0,1.0,1.0,1.0,,,,,,1.0,,,,Envigado FC,away,,,,
Julián Palacios,julian-palacios,J. Palacios,D,6,179.0,39,1113527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1060214400.0,"{'value': 760000, 'currency': 'EUR'}",,Julián Palacio,,6,False,43.0,36.0,2.0,1.0,0.0,90.0,55.0,7.0,"{'original': 7, 'alternative': None}",,,2.0,6.0,,1.0,1.0,1.0,2.0,2.0,5.0,,1.0,8.0,,,,,,,,,,,,,Envigado FC,away,,,,
Johan Hinestroza,johan-hinestroza,J. Hinestroza,M,14,176.0,11,1106571,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1016064000.0,"{'value': 205000, 'currency': 'EUR'}",,Johan Hinestroza,,14,False,32.0,26.0,2.0,,0.0,90.0,35.0,6.2,"{'original': 6.2, 'alternative': None}",,,3.0,1.0,2.0,,,,1.0,,1.0,,1.0,6.0,,,,,,,,,,,,,Envigado FC,away,,,,
Geindry Cuervo,geindry-cuervo,G. Cuervo,D,15,,19,1465455,{},EUR,998352000.0,,,Geindry Cuervo,,15,False,16.0,10.0,3.0,2.0,0.0,89.0,36.0,7.6,"{'original': 7.6, 'alternative': None}",,,8.0,7.0,2.0,1.0,2.0,,3.0,,6.0,1.0,2.0,10.0,,1.0,1.0,1.0,,,,,,1.0,1.0,,Envigado FC,away,,,,
Edison López,edison-lopez,E. López,M,21,178.0,8,941672,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940377600.0,"{'value': 185000, 'currency': 'EUR'}",,,,21,False,27.0,24.0,3.0,2.0,1.0,77.0,38.0,6.9,"{'original': 6.9, 'alternative': None}",1.0,,6.0,3.0,1.0,,1.0,,,1.0,2.0,1.0,3.0,7.0,3.0,,,,,,,,,,1.0,,Envigado FC,away,,,,
Didier Dawson,didier-dawson,D. Dawson,M,7,173.0,46,2048967,"{'alpha2': 'PA', 'alpha3': 'PAN', 'name': 'Panama', 'slug': 'panama'}",EUR,1128902400.0,"{'value': 81000, 'currency': 'EUR'}",,Didier Dawson,,7,False,13.0,12.0,2.0,1.0,0.0,69.0,32.0,7.0,"{'original': 7, 'alternative': None}",,,6.0,7.0,1.0,2.0,3.0,1.0,,3.0,4.0,2.0,,7.0,,,1.0,,,,,1.0,,,1.0,,Envigado FC,away,,,,
Bayron Garcés,bayron-garces,B. Garcés,F,11,175.0,148,1017019,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,738720000.0,"{'value': 320000, 'currency': 'EUR'}",,,,11,False,14.0,12.0,2.0,2.0,0.0,89.0,21.0,7.1,"{'original': 7.1, 'alternative': None}",,,,2.0,,,1.0,1.0,,,,1.0,,3.0,,,1.0,1.0,1.0,1.0,,,,1.0,,,Envigado FC,away,,,,
John Araujo,john-araujo,J. Araujo,F,70,172.0,12,1157709,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026950400.0,,,Jhon Araujo,,70,True,4.0,4.0,,,0.0,21.0,9.0,6.6,"{'original': 6.6, 'alternative': None}",,,3.0,2.0,,,1.0,1.0,,,,1.0,2.0,1.0,,,,,,,,,,,1.0,,Envigado FC,away,,,,
Tomás Soto,tomas-soto,T. Soto,M,13,,6,1388637,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1097539200.0,,,Tomás Soto,,13,True,,,,,0.0,13.0,3.0,6.2,"{'original': 6.2, 'alternative': None}",,,4.0,1.0,1.0,,1.0,,,,,1.0,1.0,2.0,,,,,,,,,,,1.0,,Envigado FC,away,,,,
Santiago Londono,londono-santiago,S. Londoño,F,9,184.0,191,1508614,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1204243200.0,,,Santiago Londoño,,19,True,1.0,1.0,,,0.0,1.0,2.0,,,,,2.0,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,Envigado FC,away,,,,
Andrés Vargas,andres-vargas,A. Vargas,,17,,3,1948603,{},EUR,,,,Andrés Vargas,,17,True,3.0,,1.0,,0.0,1.0,3.0,,,,1.0,,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,Envigado FC,away,,,,
Andrés Tovar,andres-tovar,A. Tovar,G,88,188.0,64,1388644,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1143244800.0,"{'value': 320000, 'currency': 'EUR'}",,Andrés Tovar,,88,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,away,,,,
Jhon Gamboa,jhon-gamboa,J. Gamboa,D,28,194.0,4,1414723,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985046400.0,"{'value': 230000, 'currency': 'EUR'}",,,,28,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,away,,,,
Nilzo Ramírez,nilzo-ramirez,N. Ramírez,M,16,170.0,20,1831399,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1115078400.0,,,,,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,away,,,,
