name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,errorLeadToAGoal,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keyPass,ratingVersions,aerialWon,duelLost,dispossessed,totalContest,wonContest,outfielderBlock,totalTackle,fouls,onTargetScoringAttempt,goals,totalCross,challengeLost,shotOffTarget,accurateCross,blockedScoringAttempt,interceptionWon,aerialLost,totalOffside,captain,team,teamType
Jherson Mosquera,jherson-mosquera,J. Mosquera,M,6,173.0,66,1015662,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,937612800.0,"{'value': 410000, 'currency': 'EUR'}",,,,6,False,27.0,23.0,3.0,2.0,0.0,3.0,3.0,,2.0,,,,90.0,46.0,7.2,9.0,,"{'original': 7.2, 'alternative': None}",,4.0,1.0,1.0,1.0,,,2.0,,,2.0,1.0,1.0,,,1.0,,,,Independiente Medellín,away
Homer Martinez,homer-martinez,H. Martinez,M,18,186.0,58,846432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,876096000.0,"{'value': 670000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ه. مارتينيز', 'hi': 'एच. मार्टिनेज', 'bn': 'এইচ. মার্টিনেজ'}}",,,18,False,29.0,19.0,2.0,,0.0,3.0,,,2.0,,,,87.0,35.0,6.6,12.0,1.0,"{'original': 6.6, 'alternative': None}",,4.0,1.0,,,,1.0,2.0,,,2.0,1.0,,1.0,,,,,,Independiente Medellín,away
Jaime Alvarado,alvarado-jaime,J. Alvarado,M,15,181.0,92,914202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,932947200.0,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. الفارادو'}}",,,15,False,52.0,45.0,9.0,7.0,0.0,4.0,,,1.0,,,,90.0,58.0,7.0,8.0,1.0,"{'original': 7, 'alternative': None}",3.0,3.0,,,,,,1.0,,,,1.0,,,,,1.0,,True,Independiente Medellín,away
Francisco Chaverra,francisco-chaverra,F. Chaverra,M,13,172.0,246,977812,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,952905600.0,"{'value': 1500000, 'currency': 'EUR'}",,,,13,False,25.0,16.0,6.0,2.0,0.0,4.0,1.0,,1.0,,,,90.0,40.0,6.8,15.0,,"{'original': 6.8, 'alternative': None}",,1.0,1.0,2.0,2.0,,1.0,,,,4.0,,,,1.0,,,,,Independiente Medellín,away
Léider Berrío,leider-berrio,L. Berrío,M,7,175.0,196,1170682,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,897177600.0,"{'value': 595000, 'currency': 'EUR'}",,Léider Berrío,,7,False,18.0,11.0,1.0,,0.0,,,,,,,,69.0,26.0,7.1,11.0,,"{'original': 7.1, 'alternative': None}",,5.0,,,,,,4.0,1.0,1.0,4.0,,,1.0,,,1.0,1.0,,Independiente Medellín,away
Brayan Léon Muñiz,brayan-leon-muniz,B. L. Muñiz,F,27,175.0,358,1102252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,971913600.0,"{'value': 1300000, 'currency': 'EUR'}",,Brayan Léon Muñiz,,27,False,11.0,8.0,,,0.0,1.0,,,1.0,,,,87.0,22.0,7.2,7.0,1.0,"{'original': 7.2, 'alternative': None}",,6.0,,2.0,,,,2.0,2.0,1.0,,1.0,1.0,,,,1.0,2.0,,Independiente Medellín,away
Francisco Fydriszewski,francisco-fydriszewski,F. Fydriszewski,F,19,186.0,567,594430,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,729561600.0,"{'value': 540000, 'currency': 'EUR'}",,,,19,False,24.0,21.0,,,0.0,2.0,,,,,,,90.0,32.0,7.9,6.0,2.0,"{'original': 7.9, 'alternative': None}",1.0,5.0,,,,,1.0,,3.0,1.0,1.0,1.0,,,,,4.0,,,Independiente Medellín,away
Baldomero Perlaza,baldomero-perlaza,B. Perlaza,M,14,188.0,82,285611,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,707702400.0,"{'value': 420000, 'currency': 'EUR'}",,,,14,True,6.0,5.0,,,0.0,3.0,,,1.0,,,,21.0,11.0,6.6,2.0,,"{'original': 6.6, 'alternative': None}",,2.0,,1.0,,1.0,2.0,1.0,,,,,,,,,,,,Independiente Medellín,away
Yeferson Rodallega,yeferson-rodallega,Y. Rodallega,D,17,178.0,51,1017363,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,974937600.0,"{'value': 670000, 'currency': 'EUR'}",,,,17,True,,,,,0.0,,,,,,,,11.0,1.0,6.4,,,"{'original': 6.4, 'alternative': None}",,1.0,,,,,,1.0,,,,,,,,,,,,Independiente Medellín,away
Luis Sandoval,luis-sandoval,L. Sandoval,F,9,183.0,288,848048,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,928195200.0,"{'value': 765000, 'currency': 'EUR'}",,,,9,True,1.0,,,,0.0,1.0,,,1.0,,,,11.0,2.0,6.6,1.0,,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,Independiente Medellín,away
Eder Chaux,eder-chaux,E. Chaux,G,25,189.0,33,312338,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693187200.0,"{'value': 335000, 'currency': 'EUR'}",,,,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away
Fainer Torijano,fainer-torijano,F. Torijano,D,23,182.0,17,351382,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,588988800.0,"{'value': 160000, 'currency': 'EUR'}",,,,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away
Diego Moreno,diego-moreno,D. Moreno,M,31,181.0,78,819139,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825379200.0,"{'value': 930000, 'currency': 'EUR'}",,,,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away
Marcus Vinicius,marcus-vinicius,M. Vinicius,F,10,188.0,193,1143795,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,856310400.0,"{'value': 540000, 'currency': 'EUR'}",,Marcus Vinicius,,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away
