goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
0.18,0.12,0.0,3.26,42.52,0.18,17.65,0.97,0.24,81.14,3.44,39.58,90,1.09,1.33,1.33,1.21,0,0,0,0.72,0.12,0,0,0,0,16.3,0.24,40.5,1.69,0.18,15.0,2.11,66.04,0.36,0.24,1.27,0.06,1.93,0.54,0.42,9.38,0.12,0.12,,0.0,0.0,0.0,David Macalister Silva,Millonarios
0.0,0.0,0.0,6.37,66.67,0.8,20.0,2.39,0.0,76.92,7.17,52.94,90,2.39,1.59,0.8,2.39,0,0,0,0.8,0.0,0,0,0,0,8.76,0.0,15.93,4.78,0.0,0.0,0.8,100.0,0.0,0.8,0.8,0.0,3.98,0.8,0.8,0.0,0.8,0.0,,0.0,0.0,0.0,Jhonathan Caicedo,Deportivo La Equidad
0.06,0.25,0.0,6.83,57.22,0.62,58.82,2.65,0.06,71.69,7.44,57.35,90,2.21,1.48,1.35,1.23,0,0,0,0.43,0.12,0,0,0,0,7.63,0.18,21.65,1.41,0.31,16.13,1.6,47.27,1.05,1.17,0.62,0.06,2.21,0.62,0.68,2.78,0.06,0.0,,0.0,0.0,0.0,Nelson Deossa,Atlético Nacional
0.0,0.28,0.0,4.26,51.69,0.56,34.78,0.7,0.07,86.44,4.82,48.94,90,1.26,1.33,0.91,1.12,0,0,0,0.49,0.07,0,0,0,0,9.15,0.14,35.64,1.54,0.42,33.33,3.07,68.75,1.19,0.84,1.26,0.07,0.91,0.07,0.35,0.0,0.0,0.0,,0.07,0.0,0.0,Sebastian Gomez,Atlético Nacional
0.14,0.0,0.0,5.33,52.0,0.82,42.86,1.64,0.27,73.22,6.16,50.56,90,2.19,1.5,1.78,1.91,0,0,0,0.82,0.0,0,0,0,0,7.25,0.27,18.33,2.46,2.74,39.22,0.68,41.67,0.96,0.14,0.14,0.0,2.19,0.55,0.41,6.25,0.0,0.41,,0.14,0.0,0.0,Yuber Quiñones,Millonarios
0.33,0.33,0.0,7.06,47.16,0.13,14.29,3.53,0.2,70.38,7.19,45.27,90,2.22,1.57,3.14,1.31,0,0,0,1.18,0.13,0,0,0,0,6.74,0.2,14.45,2.09,1.5,27.38,0.52,40.0,0.46,0.07,1.11,0.0,2.68,1.18,0.78,12.2,0.07,0.26,,0.0,0.0,0.0,José Enamorado,Independiente Santa Fe
0.0,0.54,0.0,5.23,53.54,0.85,37.93,1.0,0.0,89.32,6.08,50.64,90,1.54,2.23,0.92,1.0,0,0,0,0.92,0.15,0,0,0,0,9.46,0.08,49.54,0.85,0.0,0.0,4.85,75.0,1.23,1.15,1.15,0.0,0.38,0.08,0.15,0.0,0.0,0.08,,0.0,0.0,0.0,Juan David Ríos,Deportes Tolima
0.07,0.0,0.0,6.82,65.1,0.56,47.06,1.34,0.0,84.03,7.38,63.25,90,4.08,0.63,1.62,1.2,0,0,0,0.84,0.21,0,0,0,0,12.3,0.0,35.51,1.05,0.49,25.93,2.25,66.67,0.56,0.42,0.49,0.0,1.76,0.56,0.28,4.0,0.0,0.28,,0.0,0.0,0.0,Jhonier Viveros,Jaguares de Córdoba
0.05,0.21,0.0,2.02,53.52,1.22,65.71,0.32,0.05,84.06,3.24,57.55,90,0.42,0.8,0.32,1.06,0,0,0,0.96,0.21,0,0,0,0,9.02,0.11,43.09,0.85,0.0,0.0,4.14,56.93,1.06,1.59,0.58,0.0,1.33,0.21,0.74,4.0,0.0,0.05,,0.0,0.0,0.0,Julián Guevara Muñoz,Jaguares de Córdoba
0.0,0.28,0.0,5.61,48.78,1.12,66.67,1.54,0.28,80.71,6.73,51.06,90,2.66,2.24,1.96,1.12,0,0,0,1.26,0.28,0,0,0,0,10.37,0.28,28.74,3.08,1.12,57.14,1.54,68.75,0.56,0.28,0.56,0.14,1.68,0.42,0.84,0.0,0.0,0.0,,0.0,0.0,0.0,Jeison Lucumí,Deportes Tolima
0.05,0.36,0.0,3.59,54.33,0.78,53.57,0.73,0.16,87.21,4.38,54.19,90,1.61,1.2,1.09,1.2,0,0,0,0.83,0.31,0,0,0,0,11.04,0.1,51.51,0.94,0.16,37.5,3.59,60.53,1.46,0.99,0.83,0.0,0.63,0.16,0.31,8.33,0.0,0.05,,0.0,0.05,0.0,Daniel Torres,Independiente Medellín
0.0,0.18,0.0,3.08,51.52,1.75,74.36,0.42,0.0,81.47,4.84,57.97,90,0.79,1.45,0.3,1.09,0,0,0,1.03,0.12,0,0,0,0,7.68,0.0,34.29,1.21,0.18,33.33,2.84,57.32,1.33,1.03,0.97,0.0,0.79,0.36,0.24,0.0,0.0,0.0,,0.0,0.0,0.0,Luis Pérez,Once Caldas
