goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
0.31,0.21,0.0,1.78,36.96,0.94,40.91,0.21,0.1,68.35,2.72,38.24,90,1.57,1.47,0.94,1.78,0,0,0,0.63,0.21,0,0,0,0,4.51,0.21,11.32,1.26,0.1,11.11,0.52,50.0,0.1,0.1,0.31,0.0,2.31,0.73,0.31,13.64,0.0,1.68,,0,0,0,Ayron Del Valle,Once Caldas
0.0,0.0,0.0,2.0,33.33,0.0,0.0,2.0,0.0,85.71,2.0,33.33,90,0.0,0.0,0.0,2.0,0,0,0,0.0,0.0,0,0,0,0,18.0,0.0,36.0,2.0,2.0,25.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,Jorge Rengifo,Millonarios
0.0,0.0,0.0,2.54,66.67,0.0,0.0,1.27,0.0,57.14,2.54,40.0,90,0.0,0.0,0.0,1.27,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,5.07,0.0,1.27,100.0,0.0,0.0,1.27,0.0,0.0,0.0,2.54,0.0,0.0,0.0,0.0,0.0,,0,0,0,Juan Carabalí,Deportes Tolima
0.31,0.0,0.0,2.78,46.15,2.32,60.0,1.24,0.31,69.57,5.1,51.56,90,1.39,1.24,0.62,2.01,0,0,0,0.93,0.15,0,0,0,0,5.1,0.31,9.9,1.08,0.15,12.5,0.46,60.0,0.31,0.62,0.31,0.0,2.16,0.46,0.62,14.29,0.0,0.31,,0,0,0,Kener Valencia,Internacional de Palmira
0.28,0.09,0.0,1.87,40.0,3.09,44.59,0.56,0.09,69.54,4.96,42.74,90,0.94,0.94,0.94,1.78,0,0,0,0.56,0.09,0,0,0,0,3.84,0.19,11.32,1.31,0.0,0.0,0.47,83.33,0.94,0.65,0.37,0.28,2.62,0.94,0.37,10.71,0.09,0.47,,0,0,0,Brayan Gil,Alianza Petrolera
0.44,0.07,0.0,1.25,38.64,1.1,41.67,0.29,0.0,70.29,2.35,40.0,90,0.59,0.51,0.66,1.47,0,0,0,0.51,0.0,0,0,0,0,3.52,0.07,7.12,0.81,0.0,0.0,0.22,50.0,0.15,0.37,0.29,0.44,3.16,1.17,0.88,13.95,0.0,0.73,,0,0,0,Diego Herazo,Millonarios
0.29,0.0,0.0,3.44,47.06,2.58,41.86,0.29,0.0,71.72,6.02,44.68,90,2.44,0.86,1.58,1.29,0,0,0,1.29,0.14,0,0,0,0,4.87,0.0,14.9,1.15,0.14,20.0,0.14,25.0,0.0,0.29,0.57,0.0,1.86,0.72,0.29,15.38,0.0,0.43,,0,0,0,José Lloreda,Unión Magdalena
0.32,0.0,0.0,5.05,44.44,1.58,41.67,0.95,0.0,74.29,6.63,43.75,90,2.53,1.58,2.53,2.53,0,0,0,1.58,0.63,0,0,0,0,6.32,0.32,16.42,1.58,0.32,33.33,0.32,33.33,0.32,0.32,1.58,0.0,2.53,1.26,0.63,12.5,0.0,0.32,,0,0,0,Daniel Mosquera,América de Cali
0.0,0.88,0.0,3.97,52.94,2.21,55.56,0.0,0.0,64.29,6.18,53.85,90,3.09,2.65,0.0,1.76,0,0,0,0.44,0.0,0,0,0,0,5.74,0.0,11.91,0.44,0.0,0.0,0.44,33.33,0.0,0.0,0.44,0.0,2.21,0.44,0.44,0.0,0.44,0.0,,0,0,0,Michel Ramos,Deportivo Cali
0.37,0.18,0.0,3.68,54.05,1.1,25.0,0.74,0.37,80.56,4.79,42.62,90,2.02,1.1,1.66,2.94,0,0,0,0.55,0.37,0,0,0,0,4.42,0.37,10.67,0.74,0.18,25.0,0.0,0.0,0.18,0.55,0.55,0.18,3.31,1.1,0.92,11.11,0.0,1.29,,0,0,0,Ruyery Blanco,Atlético Nacional
