name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,fieldTranslations,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelLost,dispossessed,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelWon,interceptionWon,totalTackle,fouls,keyPass,aerialLost,aerialWon,challengeLost,onTargetScoringAttempt,outfielderBlock,totalContest,wasFouled,wonContest,blockedScoringAttempt,shotOffTarget,goals,totalOffside,bigChanceCreated,bigChanceMissed,captain,team,teamType,penaltyConceded
Dayro Moreno,dayro-moreno,D. Moreno,F,17,178.0,1671,31715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,495676800,"{'value': 95000, 'currency': 'EUR'}",,,,17,False,11.0,8.0,2.0,2.0,0.0,1.0,,,,,,,,79.0,16.0,7.4,5.0,"{'original': 7.4, 'alternative': None}",,,,,,1.0,2.0,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,True,Once Caldas,home,
Johan Esteban Beltran Montaño,johan-esteban-beltran-montano,J. E. B. Montaño,M,8,178.0,21,1099609,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800,,,,,8,True,29.0,22.0,5.0,2.0,1.0,4.0,,,,,,,,50.0,41.0,7.4,12.0,"{'original': 7.4, 'alternative': None}",4.0,3.0,1.0,,1.0,1.0,3.0,,,1.0,,,2.0,,,,1.0,,1.0,1.0,,,Once Caldas,home,
Mateo Zuleta,mateo-zuleta,M. Zuleta,M,28,170.0,80,1651712,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1023408000,"{'value': 405000, 'currency': 'EUR'}",Mateo,,Zuleta,28,True,8.0,3.0,1.0,,0.0,4.0,1.0,1.0,,,,,,28.0,13.0,6.5,7.0,"{'original': 6.5, 'alternative': None}",1.0,,1.0,,1.0,,,2.0,,1.0,,,,,,1.0,,,,,,,Once Caldas,home,
Joel Contreras,contreras-joel,J. Contreras,F,16,165.0,24,994306,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,925516800,"{'value': 310000, 'currency': 'EUR'}",,,,16,True,9.0,7.0,,,0.0,1.0,,,,,,,,28.0,17.0,7.3,3.0,"{'original': 7.3, 'alternative': None}",,,4.0,,,1.0,1.0,,,,2.0,,,4.0,,,,1.0,2.0,,1.0,,Once Caldas,home,
Juan Diaz,juan-diaz,J. Diaz,M,6,180.0,24,1067475,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,990316800,"{'value': 195000, 'currency': 'EUR'}",,,,6,True,1.0,1.0,,,0.0,1.0,,,,,,,,11.0,2.0,6.6,,"{'original': 6.6, 'alternative': None}",,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,Once Caldas,home,
Gilbert Álvarez,gilbert-alvarez,G. Álvarez,F,9,187.0,185,805363,"{'alpha2': 'BO', 'alpha3': 'BOL', 'name': 'Bolivia', 'slug': 'bolivia'}",EUR,702604800,"{'value': 235000, 'currency': 'EUR'}",,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. ألفاريز', 'hi': 'जी. अल्वारेज़', 'bn': 'জি. আলভারেজ'}}",,9,True,1.0,1.0,,,0.0,1.0,,,,,,,,11.0,1.0,6.5,,"{'original': 6.5, 'alternative': None}",,,,,,,,1.0,,,,,,,,,,,,,,,Once Caldas,home,
Felipe Parra,felipe-parra,F. Parra,G,35,186.0,47,1017365,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960595200,"{'value': 410000, 'currency': 'EUR'}",,,,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,home,
Juan Castaño,castano-zuluaga-juan-felipe,J. Castaño,D,15,181.0,20,1653077,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904348800,"{'value': 235000, 'currency': 'EUR'}",,,,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,home,
Juan Castillo,juan-castillo,J. Castillo,G,1,191.0,69,1175004,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1042416000,"{'value': 830000, 'currency': 'EUR'}",Juan Castillo,,,1,False,18.0,16.0,4.0,2.0,0.0,,,,1.0,3.0,4.0,,,90.0,29.0,7.2,3.0,"{'original': 7.2, 'alternative': None}",,,2.0,,,,,,1.0,,,,,1.0,,,,,,,,,Fortaleza CEIF,away,
Cristián Mosquera,cristian-mosquera,C. Mosquera,D,27,172.0,5,1174901,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976060800,"{'value': 260000, 'currency': 'EUR'}",Cristián Mosquera,,,27,False,34.0,27.0,4.0,2.0,1.0,2.0,1.0,1.0,,,,,,90.0,55.0,6.8,13.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,1.0,,,Fortaleza CEIF,away,
Edilson Cabeza,edilson-cabeza,E. Cabeza,D,3,178.0,7,1066553,{},EUR,1026086400,,Edilson Cabeza,,,3,False,60.0,48.0,7.0,4.0,0.0,4.0,1.0,,,,,,,90.0,71.0,6.5,15.0,"{'original': 6.5, 'alternative': None}",1.0,,4.0,1.0,1.0,2.0,,,2.0,,,1.0,1.0,1.0,,,,,,,,,Fortaleza CEIF,away,
Yesid Díaz,yesid-diaz,Y. Díaz,D,6,191.0,15,974309,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869702400,"{'value': 410000, 'currency': 'EUR'}",,,,6,False,49.0,42.0,5.0,3.0,0.0,1.0,,2.0,,,,,,90.0,60.0,7.1,8.0,"{'original': 7.1, 'alternative': None}",,,5.0,,1.0,,,1.0,1.0,,,2.0,1.0,2.0,1.0,,,,,,,,Fortaleza CEIF,away,
Stalin Valencia,stalin-valencia,S. Valencia,D,4,180.0,55,1095708,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,1065744000,"{'value': 380000, 'currency': 'EUR'}",Stalin Valencia,,,4,False,36.0,32.0,1.0,1.0,0.0,4.0,1.0,2.0,,,,,,90.0,47.0,6.1,6.0,"{'original': 6.1, 'alternative': None}",,,2.0,,,3.0,,,1.0,1.0,,,,1.0,,,,,,,,,Fortaleza CEIF,away,
Luis Sánchez,luis-sanchez,L. Sánchez,M,10,171.0,96,963525,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,969235200,"{'value': 425000, 'currency': 'EUR'}",,,,10,False,41.0,38.0,2.0,2.0,0.0,,,,,,,,,66.0,54.0,7.3,6.0,"{'original': 7.3, 'alternative': None}",2.0,,3.0,,1.0,,1.0,,,,2.0,,2.0,,2.0,,2.0,,,,1.0,,Fortaleza CEIF,away,
Leonardo Pico,leonardo-pico,L. Pico,M,14,177.0,24,820043,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686534400,"{'value': 205000, 'currency': 'EUR'}",,,,14,False,39.0,34.0,3.0,1.0,0.0,1.0,1.0,,,,,,,90.0,46.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",,,4.0,1.0,2.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,Fortaleza CEIF,away,
Ronaldo Pájaro,ronaldo-pajaro,R. Pájaro,M,13,172.0,36,1175016,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013990400,"{'value': 855000, 'currency': 'EUR'}",Ronaldo Pájaro,,,13,False,56.0,49.0,2.0,,0.0,3.0,,1.0,,,,,,78.0,68.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",,,5.0,3.0,1.0,5.0,1.0,,1.0,,,,,3.0,,1.0,,,,,,True,Fortaleza CEIF,away,1.0
Kelvin Florez,kelvin-florez,K. Florez,M,16,177.0,25,1388938,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1076112000,"{'value': 195000, 'currency': 'EUR'}",Kelvin Florez,,,16,False,18.0,14.0,,,0.0,5.0,,,,,,,,66.0,38.0,7.1,11.0,"{'original': 7.1, 'alternative': None}",,,6.0,,1.0,,1.0,1.0,,,2.0,,5.0,4.0,1.0,,1.0,,1.0,,,,Fortaleza CEIF,away,
Andrés Ricaurte,andres-ricaurte,A. Ricaurte,M,8,182.0,115,285527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686448000,"{'value': 270000, 'currency': 'EUR'}",,,,8,False,42.0,37.0,1.0,,0.0,2.0,1.0,1.0,,,,,,78.0,59.0,7.6,12.0,"{'original': 7.6, 'alternative': None}",1.0,,4.0,,2.0,,1.0,,,,1.0,,1.0,2.0,,1.0,1.0,1.0,,,,,Fortaleza CEIF,away,
Santiago Córdoba,santiago-cordoba,S. Córdoba,F,9,186.0,105,1096223,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,863654400,"{'value': 340000, 'currency': 'EUR'}",,,,9,False,21.0,20.0,,,0.0,2.0,,,,,,,,86.0,28.0,7.0,7.0,"{'original': 7, 'alternative': None}",2.0,,2.0,,,,3.0,2.0,2.0,,,,,,,,,,,,,,Fortaleza CEIF,away,
David Camacho,david-camacho,D. Camacho,M,22,188.0,26,879886,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,866073600,"{'value': 390000, 'currency': 'EUR'}",,,,80,True,9.0,7.0,,,0.0,,,,,,,,,24.0,17.0,7.2,4.0,"{'original': 7.2, 'alternative': None}",2.0,,4.0,,1.0,,,,1.0,,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,,Fortaleza CEIF,away,
Jhon Martínez,jhon-martinez,J. Martínez,F,7,186.0,29,1628440,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1129766400,,Jhon Martínez,,,7,True,4.0,3.0,,,0.0,,,,,,,,,24.0,5.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",1.0,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,away,
Juan Pablo Díaz,juan-pablo-diaz,J. P. Díaz,M,20,,9,1019417,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,946684800,"{'value': 155000, 'currency': 'EUR'}",,,,20,True,7.0,6.0,1.0,,0.0,1.0,,,,,,,,12.0,10.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",2.0,1.0,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,Fortaleza CEIF,away,
Emilio Aristizábal,aristizabal-emilio,E. Aristizábal,F,19,187.0,205,1517148,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1123200000,"{'value': 385000, 'currency': 'EUR'}",Emilio Aristizábal,,,19,True,7.0,5.0,1.0,,0.0,1.0,1.0,,,,,,,12.0,11.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,2.0,,,,,,1.0,,,,,1.0,,1.0,,,,,,,Fortaleza CEIF,away,
Santiago Cuero,santiago-cuero,S. Cuero,D,15,179.0,36,1478347,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1091145600,"{'value': 340000, 'currency': 'EUR'}",Santiago Cuero,,,15,True,,,,,0.0,1.0,1.0,,,,,,,10.0,2.0,6.2,1.0,"{'original': 6.2, 'alternative': None}",,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,Fortaleza CEIF,away,
Nelson Suárez,nelson-suarez,N. Suárez,G,89,179.0,5,2038235,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1180396800,,Nelson Suárez,,,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,away,
Harold Balanta,harold-balanta,H. Balanta,D,18,180.0,7,1129436,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890006400,"{'value': 110000, 'currency': 'EUR'}",Harold Balanta,,,18,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,away,
