name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,onTargetScoringAttempt,goals,interceptionWon,fouls,aerialWon,duelWon,wasFouled,shotOffTarget,totalContest,keyPass,totalTackle,bigChanceCreated,wonContest,blockedScoringAttempt,bigChanceMissed,outfielderBlock,totalOffside,captain,team,teamType,savedShotsFromInsideTheBox,saves,dispossessed,challengeLost,penaltyConceded
Frank Lozano,frank-lozano,F. Lozano,M,19,175.0,19,1015686,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745977600.0,"{'value': 340000, 'currency': 'EUR'}",,,,19,False,21.0,14.0,5.0,2.0,0.0,3.0,,90.0,24.0,6.0,7.0,"{'original': 6, 'alternative': None}",,,1.0,1.0,,,,,,,,,,,,,,,,,,True,Boyacá Chicó FC,away,,,,,
Jonathan Herrera,jonathan-herrera,J. Herrera,D,18,177.0,9,819185,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825120000.0,"{'value': 220000, 'currency': 'EUR'}",,,,18,False,21.0,11.0,3.0,2.0,0.0,3.0,,90.0,43.0,5.9,18.0,"{'original': 5.9, 'alternative': None}",3.0,,3.0,6.0,,,1.0,3.0,1.0,5.0,2.0,,,,2.0,,,,,,,,Boyacá Chicó FC,away,,,,1.0,1.0
Kevin Londoño,kevin-londono,K. Londoño,M,27,180.0,14,1100037,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963100800.0,"{'value': 440000, 'currency': 'EUR'}",Kevin Londoño,,,27,False,19.0,14.0,2.0,1.0,0.0,2.0,,90.0,26.0,6.3,6.0,"{'original': 6.3, 'alternative': None}",,,1.0,2.0,,,,1.0,,2.0,2.0,1.0,,,,,,,,,,,Boyacá Chicó FC,away,,,,,
Sebastian Salazar,sebastian-salazar,S. Salazar,M,8,180.0,8,789908,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812419200.0,"{'value': 215000, 'currency': 'EUR'}",,,,8,False,17.0,13.0,1.0,,0.0,1.0,,90.0,23.0,6.2,6.0,"{'original': 6.2, 'alternative': None}",,,1.0,2.0,,,,,1.0,1.0,,,,,,,,,,,,,Boyacá Chicó FC,away,,,1.0,,
Ronald Valencia,ronald-valencia,R. Valencia,F,77,180.0,9,1154914,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,983577600.0,"{'value': 135000, 'currency': 'EUR'}",Ronald Valencia,,,16,False,3.0,2.0,,,0.0,,,62.0,5.0,6.3,3.0,"{'original': 6.3, 'alternative': None}",1.0,,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,Boyacá Chicó FC,away,,,,,
Jacobo Pimentel,jacobo-pimentel,J. Pimentel,F,21,176.0,12,1017237,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010880000.0,"{'value': 140000, 'currency': 'EUR'}",,,,21,False,4.0,3.0,,,0.0,,,54.0,11.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,,1.0,,,,1.0,,3.0,3.0,,,,,,,1.0,,,,,Boyacá Chicó FC,away,,,,,
Delio Ramírez,delio-ramirez,D. Ramírez,M,10,160.0,11,1015661,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,975110400.0,"{'value': 53000, 'currency': 'EUR'}",,,,10,False,8.0,7.0,,,0.0,1.0,,79.0,15.0,6.2,4.0,"{'original': 6.2, 'alternative': None}",,,,3.0,,,1.0,2.0,,1.0,1.0,,1.0,,,,,,,,,,Boyacá Chicó FC,away,,,,,
Jairo Molina,jairo-molina,J. Molina,F,9,183.0,66,247931,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,735955200.0,"{'value': 49000, 'currency': 'EUR'}",,,,9,False,8.0,5.0,,,0.0,,,79.0,16.0,6.3,9.0,"{'original': 6.3, 'alternative': None}",1.0,,3.0,7.0,,,,2.0,1.0,2.0,1.0,,,,,,,,,,,,Boyacá Chicó FC,away,,,2.0,,
Juan Marcelin,juan-marcelin,J. Marcelin,D,17,164.0,7,1139736,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960163200.0,"{'value': 185000, 'currency': 'EUR'}",Juan Marcelin,,,17,True,10.0,5.0,3.0,1.0,0.0,,,36.0,10.0,6.3,5.0,"{'original': 6.3, 'alternative': None}",,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,Boyacá Chicó FC,away,,,,,
Wilmar Arango,wilmar-arango,W. Arango,M,20,170.0,1,1174981,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,887328000.0,"{'value': 185000, 'currency': 'EUR'}",Wilmar Arango,,,20,True,12.0,8.0,,,0.0,,,28.0,12.0,6.3,4.0,"{'original': 6.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,away,,,,,
Andres Aedo,aedo-andres,A. Aedo,M,6,183.0,8,1427849,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1077494400.0,"{'value': 145000, 'currency': 'EUR'}",Andres Aedo,,,6,True,3.0,2.0,,,0.0,,,11.0,4.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,away,,,,,
Sebastián Colón,sebastian-colon,S. Colón,F,29,177.0,28,1465840,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895881600.0,,Sebastián Colón,,,29,True,3.0,3.0,,,0.0,,,11.0,4.0,6.7,,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,1.0,,1.0,,,,,,,,,Boyacá Chicó FC,away,,,,,
Cristian Baldovino,cristian-baldovino,C. Baldovino,G,,192.0,2,926634,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,856310400.0,"{'value': 69000, 'currency': 'EUR'}",,,,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,away,,,,,
Arlen Banguero,arlen-banguero,A. Banguero,D,26,,3,2035889,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,953856000.0,,Arlen Banguero,,,26,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,away,,,,,
Juan Quiceno,juan-quiceno,J. Quiceno,M,3,,2,1845285,{},EUR,,,Juan Quiceno,,,24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,away,,,,,
