name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,wasFouled,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,dispossessed,totalContest,wonContest,shotOffTarget,totalClearance,interceptionWon,totalTackle,fouls,onTargetScoringAttempt,outfielderBlock,keyPass,accurateCross,goals,totalOffside,challengeLost,captain,team,teamType,savedShotsFromInsideTheBox,blockedScoringAttempt,bigChanceMissed,bigChanceCreated
Guillermo Tegüe,guillermo-tegue,G. Tegüe,D,4,186.0,8,906007,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949795200,"{'value': 315000, 'currency': 'EUR'}",,,,4,False,40.0,31.0,9.0,3.0,0.0,4.0,,,90.0,53.0,6.8,11.0,"{'original': 6.8, 'alternative': None}",,,3.0,1.0,,,,,7.0,1.0,1.0,1.0,,,,,,,,,Deportivo La Equidad,away,,,,
Brayan Montaño,brayan-montano,B. Montaño,D,24,176.0,25,1003376,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1020297600,"{'value': 340000, 'currency': 'EUR'}",,,,24,False,44.0,33.0,13.0,4.0,0.0,2.0,,,90.0,54.0,6.5,15.0,"{'original': 6.5, 'alternative': None}",,1.0,,2.0,1.0,,,,3.0,,2.0,,,,,,,,,,Deportivo La Equidad,away,,,,
Andres Correa,andres-correa,A. Correa,D,3,174.0,10,329607,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,759801600,"{'value': 380000, 'currency': 'EUR'}",,,,3,False,31.0,24.0,9.0,4.0,0.0,2.0,,,90.0,55.0,7.0,16.0,"{'original': 7, 'alternative': None}",6.0,1.0,,3.0,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,2.0,,,,1.0,True,Deportivo La Equidad,away,,1.0,,
Wilmar Cruz,wilmar-cruz,W. Cruz,F,10,171.0,31,925131,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,743731200,"{'value': 260000, 'currency': 'EUR'}",,,,10,False,13.0,8.0,,,0.0,4.0,1.0,,90.0,25.0,6.2,12.0,"{'original': 6.2, 'alternative': None}",,3.0,3.0,7.0,3.0,,,2.0,,,,1.0,,,,,,,,,Deportivo La Equidad,away,,,1.0,
Felipe Acosta,felipe-acosta,F. Acosta,M,14,190.0,15,924302,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,769824000,"{'value': 580000, 'currency': 'EUR'}",,,,14,False,10.0,8.0,,,0.0,3.0,1.0,,60.0,19.0,6.9,4.0,"{'original': 6.9, 'alternative': None}",,1.0,,2.0,,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,Deportivo La Equidad,away,,,,
Santiago Orozco,santiago-orozco,S. Orozco,M,6,172.0,8,1016205,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,826934400,"{'value': 270000, 'currency': 'EUR'}",,,,6,False,24.0,19.0,7.0,5.0,0.0,8.0,3.0,,60.0,36.0,7.4,7.0,"{'original': 7.4, 'alternative': None}",,,,1.0,,1.0,,,,1.0,5.0,,,,2.0,,,,,,Deportivo La Equidad,away,,1.0,,
Santiago Lopez,lopez-santiago,S. López,M,8,,10,1512397,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013212800,,Santiago López,,,25,False,22.0,18.0,,,0.0,4.0,,,80.0,31.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",1.0,,1.0,2.0,,1.0,1.0,1.0,,,2.0,1.0,,,,,,,1.0,,Deportivo La Equidad,away,,,,
Ayron Del Valle,ayron-del-valle,A. D. Valle,F,7,178.0,98,47735,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,601862400,"{'value': 160000, 'currency': 'EUR'}",,,,7,False,6.0,5.0,,,0.0,1.0,1.0,,45.0,11.0,6.4,4.0,"{'original': 6.4, 'alternative': None}",,3.0,,5.0,1.0,1.0,,,,,,,,,1.0,,,1.0,,,Deportivo La Equidad,away,,1.0,,
Fabian Chaverra,fabian-chaverra,F. Chaverra,M,28,,10,1818123,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1084233600,,Fabian Chaverra,,,28,True,8.0,7.0,,,0.0,5.0,4.0,,45.0,19.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,1.0,,3.0,2.0,,,,,,1.0,1.0,,,,,,,,,Deportivo La Equidad,away,,,,
Elan Ricardo,ricardo-elan,E. Ricardo,M,77,184.0,1233,1388631,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1077235200,"{'value': 2000000, 'currency': 'EUR'}",Elan Ricardo,,,17,True,20.0,17.0,2.0,1.0,0.0,2.0,2.0,,45.0,28.0,7.3,5.0,"{'original': 7.3, 'alternative': None}",,,,1.0,1.0,,,,1.0,1.0,,,1.0,,,,1.0,,,,Deportivo La Equidad,away,,,,
Samir Mayo,mayo-samir,S. Mayo,M,16,,19,1476921,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1043884800,"{'value': 335000, 'currency': 'EUR'}",,,,16,True,13.0,8.0,2.0,,0.0,2.0,1.0,,30.0,18.0,6.4,7.0,"{'original': 6.4, 'alternative': None}",1.0,,1.0,2.0,1.0,,,,,,,1.0,,,,1.0,,,,,Deportivo La Equidad,away,,1.0,,
Sebastián Tamara,sebastian-tamara,S. Tamara,M,8,173.0,15,825757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,831686400,"{'value': 365000, 'currency': 'EUR'}",,,,8,True,15.0,12.0,3.0,2.0,1.0,1.0,1.0,,30.0,18.0,7.3,4.0,"{'original': 7.3, 'alternative': None}",2.0,,,,,,,,,,,,,,3.0,1.0,,,,,Deportivo La Equidad,away,,,,1.0
Yair Joao Abonia Vasquez,yair-abonia,J. Abonia,D,13,170.0,9,1175080,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949968000,"{'value': 310000, 'currency': 'EUR'}",Yair Joao,Abonia Vásquez,,13,True,4.0,2.0,3.0,1.0,0.0,2.0,,,10.0,10.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,2.0,,,,,,,,,,Deportivo La Equidad,away,,,,
Andres Perez,andres-perez,A. Perez,G,12,180.0,5,1177555,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,926035200,"{'value': 49000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,,,,
Amaury Torralvo,torralvo-amaury,A. Torralvo,F,36,169.0,11,821915,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758332800,"{'value': 260000, 'currency': 'EUR'}",,,,26,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,,,,
