name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,duelWon,dispossessed,blockedScoringAttempt,outfielderBlock,interceptionWon,totalTackle,aerialWon,totalContest,wonContest,shotOffTarget,wasFouled,fouls,totalOffside,keyPass,onTargetScoringAttempt,hitWoodwork,challengeLost,clearanceOffLine,bigChanceCreated,goals,bigChanceMissed,captain,team,teamType
Daniel Torres,daniel-torres,D. Torres,M,16,186.0,225,125813,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,627091200,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. توريس', 'hi': 'डी. टोरेस', 'bn': 'ডি. টরেস'}}",,,16,False,28.0,21.0,3.0,2.0,0.0,2.0,,,,,,90.0,37.0,7.0,9.0,"{'original': 7, 'alternative': None}",,,,1.0,2.0,,,1.0,,1.0,,,,1.0,1.0,1.0,,2.0,,,,,,,,,Independiente Santa Fe,away
Johan Torres,johan-torres,J. Torres,M,14,178.0,106,1394757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1094515200,"{'value': 1100000, 'currency': 'EUR'}",,Johan Torres,,14,False,11.0,9.0,2.0,1.0,0.0,,,,,,,62.0,17.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,,1.0,1.0,3.0,,,,,,,1.0,1.0,,2.0,1.0,,,,,,,,,,,Independiente Santa Fe,away
Omar Fernández,omar-fernandez,O. Fernández,M,8,166.0,128,805265,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729388800,"{'value': 945000, 'currency': 'EUR'}",,,,8,False,22.0,18.0,3.0,2.0,0.0,,,,,,,80.0,28.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",5.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,2.0,,,,,,,,,Independiente Santa Fe,away
Harold Santiago Mosquera,harold-mosquera,H. S. Mosquera,F,23,168.0,161,836164,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792115200,"{'value': 680000, 'currency': 'EUR'}",,,,23,False,13.0,11.0,1.0,1.0,0.0,1.0,,,,,,80.0,28.0,7.0,7.0,"{'original': 7, 'alternative': None}",5.0,2.0,,3.0,2.0,2.0,,,,,1.0,,,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,Independiente Santa Fe,away
Yilmar Velázquez,yilmar-velazquez,Y. Velázquez,M,20,185.0,66,975633,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,935193600,"{'value': 930000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. فيلازكويز', 'hi': 'वाए. वेलाज़क्वेज़', 'bn': 'ওয়াই. ভেলাজকুয়েজ'}}",,,20,False,17.0,11.0,3.0,1.0,0.0,,,,,,,90.0,34.0,7.4,10.0,"{'original': 7.4, 'alternative': None}",,,,3.0,3.0,,,,,3.0,,,,1.0,,4.0,,,1.0,,,,,1.0,,,Independiente Santa Fe,away
Hugo Rodallega,hugo-rodallega,H. Rodallega,F,11,181.0,916,15668,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,491097600,"{'value': 48000, 'currency': 'EUR'}",,,,11,False,12.0,8.0,,,0.0,,,,,,,90.0,19.0,7.4,5.0,"{'original': 7.4, 'alternative': None}",,,7.0,10.0,3.0,,2.0,,,,3.0,1.0,,,,2.0,,1.0,3.0,,,,,1.0,,True,Independiente Santa Fe,away
Emanuel Olivera,emanuel-olivera,E. Olivera,D,18,180.0,53,129500,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,639014400,"{'value': 470000, 'currency': 'EUR'}",,,,18,True,15.0,11.0,5.0,2.0,0.0,4.0,,,,,,72.0,27.0,7.2,5.0,"{'original': 7.2, 'alternative': None}",,,,,4.0,,,1.0,,2.0,1.0,,,,1.0,,,,2.0,,,,,,,,Independiente Santa Fe,away
Edwar López,edwar-lopez,E. López,F,28,179.0,64,924950,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,794707200,"{'value': 390000, 'currency': 'EUR'}",,,,28,True,6.0,2.0,2.0,1.0,0.0,,,,,,,28.0,7.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,,,,2.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,Independiente Santa Fe,away
Jeison Angulo,jeison-angulo,J. Angulo,D,24,182.0,43,589390,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835833600,"{'value': 310000, 'currency': 'EUR'}",,,,24,True,3.0,,1.0,,0.0,1.0,,,,,,10.0,6.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",,,,,2.0,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,Independiente Santa Fe,away
Jhon Meléndez,jhon-melendez,J. Meléndez,D,5,183.0,24,1174999,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010707200,"{'value': 330000, 'currency': 'EUR'}",,Jhon Meléndez,,5,True,1.0,,1.0,,0.0,,,,,,,10.0,2.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,Independiente Santa Fe,away
Ewil Murillo,renteria-ewil-hernando-murillo,E. Murillo,M,21,180.0,31,1088687,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,961545600,"{'value': 380000, 'currency': 'EUR'}",,,,21,True,3.0,,1.0,,0.0,,,,,,,10.0,4.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,,,2.0,1.0,,,,,1.0,,,,,,,,,,,2.0,,,,,,Independiente Santa Fe,away
Jhoyler Andrades,jhoyler-andrades,J. Andrades,G,35,,5,2050355,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1080000000,,,Jhoyler Andrades,,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away
Marlon Balanta,marlon-balanta,M. Balanta,F,34,,16,2050159,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1214956800,,,Marlon Balanta,,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away
