name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,errorLeadToAGoal,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,totalContest,wonContest,interceptionWon,wasFouled,fouls,totalOffside,aerialLost,aerialWon,shotOffTarget,totalClearance,totalTackle,dispossessed,blockedScoringAttempt,outfielderBlock,ownGoals,keyPass,accurateCross,bigChanceCreated,onTargetScoringAttempt,challengeLost,goals,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,punches,bigChanceMissed,hitWoodwork
Óscar Vega,Oscar Vega,,oscar-vega,Ó. Vega,D,30,,8,2030749,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,,30,False,21.0,16.0,2.0,1.0,0.0,,,90.0,33.0,6.3,5.0,"{'original': 6.3, 'alternative': None}",,5.0,,,,1.0,,2.0,,2.0,,,7.0,,,,3.0,,,,,,1.0,,,Llaneros FC,away,,,,,
Jan Ángulo,Jan Ángulo,,jan-angulo,J. Ángulo,D,20,,14,1478219,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,988675200.0,"{'value': 260000, 'currency': 'EUR'}",,20,False,40.0,30.0,9.0,4.0,0.0,,,90.0,54.0,6.8,10.0,"{'original': 6.8, 'alternative': None}",,4.0,5.0,,,3.0,1.0,2.0,,2.0,3.0,1.0,4.0,1.0,,1.0,1.0,,1.0,,1.0,,,,,Llaneros FC,away,,,,,
Jhildrey Lasso,Jhildrey Lasso,,jhildrey-lasso,J. Lasso,D,11,173.0,13,1478224,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026604800.0,"{'value': 145000, 'currency': 'EUR'}",,33,False,23.0,17.0,5.0,2.0,0.0,,,90.0,43.0,6.0,10.0,"{'original': 6, 'alternative': None}",,3.0,2.0,,,2.0,,1.0,,,,,2.0,2.0,1.0,,,,,,,,1.0,,,Llaneros FC,away,,,,,
Maicol Medina,,,maicol-medina,M. Medina,M,18,178.0,11,1100059,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,865382400.0,"{'value': 240000, 'currency': 'EUR'}",,18,False,30.0,28.0,3.0,3.0,0.0,,,90.0,39.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,1.0,1.0,,,3.0,,,,,,,4.0,1.0,,,1.0,,,,,,1.0,,,Llaneros FC,away,,,,,
Carlos Sierra,,,carlos-sierra,C. Sierra,M,14,183.0,60,895805,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,656812800.0,"{'value': 280000, 'currency': 'EUR'}",,14,False,27.0,20.0,4.0,1.0,0.0,,,79.0,40.0,7.4,9.0,"{'original': 7.4, 'alternative': None}",,4.0,5.0,2.0,2.0,1.0,1.0,,,1.0,2.0,1.0,1.0,,1.0,,1.0,,,,,1.0,2.0,1.0,,Llaneros FC,away,,,,,
Bryan Urueña,,,bryan-uruena,B. Urueña,M,10,175.0,20,830014,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,720489600.0,"{'value': 240000, 'currency': 'EUR'}",,10,False,37.0,26.0,6.0,1.0,0.0,,,90.0,54.0,6.9,18.0,"{'original': 6.9, 'alternative': None}",9.0,1.0,5.0,,,1.0,4.0,,,1.0,,,,1.0,,,,,2.0,2.0,,,,,True,Llaneros FC,away,,,,,
Duván Mosquera,Duván Mosquera,,duvan-mosquera,D. Mosquera,M,27,175.0,3,1174806,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890870400.0,"{'value': 330000, 'currency': 'EUR'}",,27,False,19.0,17.0,4.0,3.0,0.0,,,65.0,26.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,1.0,,,1.0,,,,,1.0,,1.0,,,,,,1.0,,,,1.0,,,Llaneros FC,away,,,,,
Freddy Espinal,Freddy Espinal,,freddy-espinal,F. Espinal,M,11,181.0,9,1175063,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878169600.0,"{'value': 240000, 'currency': 'EUR'}",,11,False,11.0,6.0,1.0,1.0,0.0,,,51.0,21.0,6.9,7.0,"{'original': 6.9, 'alternative': None}",1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,2.0,1.0,,,,,,,,,,,Llaneros FC,away,,,,,
Michael Rangel,,,michael-rangel,M. Rangel,F,9,186.0,141,1103938,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,668390400.0,"{'value': 190000, 'currency': 'EUR'}",,9,False,18.0,14.0,2.0,1.0,1.0,,,79.0,29.0,6.9,10.0,"{'original': 6.9, 'alternative': None}",,10.0,2.0,,,,1.0,2.0,,8.0,1.0,,3.0,,1.0,,,,1.0,,,,,,,Llaneros FC,away,,,,,
Kener Valencia,Kener Valencia,,kener-valencia,K. Valencia,F,70,184.0,54,1174010,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1002153600.0,"{'value': 285000, 'currency': 'EUR'}",,70,True,3.0,2.0,,,0.0,,,39.0,7.0,7.1,2.0,"{'original': 7.1, 'alternative': None}",,2.0,1.0,,,,1.0,1.0,,,,,,,1.0,,,,1.0,,,1.0,,1.0,,Llaneros FC,away,,,,,
Marlon Sierra,,,marlon-sierra,M. Sierra,M,6,174.0,6,890057,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,780105600.0,"{'value': 97000, 'currency': 'EUR'}",,6,True,13.0,8.0,4.0,2.0,0.0,,,25.0,14.0,6.2,5.0,"{'original': 6.2, 'alternative': None}",,2.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,Llaneros FC,away,,,,,
Juan José Vásquez,Juan José Vásquez,,juan-jose-vasquez,J. J. Vásquez,F,99,180.0,4,1133380,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,928368000.0,,,99,True,7.0,6.0,1.0,,0.0,,,11.0,12.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,2.0,,,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,Llaneros FC,away,,,,,
Jhonatan Mayorga,,,jhonatan-mayorga,J. Mayorga,F,10,,8,1847482,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1124323200.0,,,16,True,3.0,3.0,,,0.0,,,11.0,10.0,7.1,1.0,"{'original': 7.1, 'alternative': None}",,,3.0,1.0,1.0,,,,,,,,,2.0,,,,,,,,1.0,,,,Llaneros FC,away,,,,,
Humberto Acevedo,,,humberto-acevedo,H. Acevedo,G,77,185.0,17,873463,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,864345600.0,"{'value': 53000, 'currency': 'EUR'}",,77,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,away,,,,,
Cristian Valencia,,,cristian-valencia,C. Valencia,D,15,186.0,25,842690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,691804800.0,"{'value': 48000, 'currency': 'EUR'}",,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,away,,,,,
Dannovi Quiñonez,,,dannovi-quinonez,D. Quiñonez,M,45,176.0,70,1099610,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,978652800.0,"{'value': 210000, 'currency': 'EUR'}",,45,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,away,,,,,
