name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,totalContest,onTargetScoringAttempt,blockedScoringAttempt,interceptionWon,totalTackle,fouls,keyPass,aerialLost,aerialWon,shotOffTarget,totalClearance,dispossessed,wasFouled,accurateCross,wonContest,challengeLost,outfielderBlock,totalOffside,bigChanceMissed,bigChanceCreated,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,saves
Harold Balanta,Harold Balanta,,harold-balanta,H. Balanta,D,18,180.0,7,1129436,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890006400.0,"{'value': 110000, 'currency': 'EUR'}",18,False,43.0,41.0,4.0,3.0,0.0,90.0,55.0,7.4,2.0,"{'original': 7.4, 'alternative': None}",,1.0,3.0,,,,1.0,2.0,,,1.0,,,7.0,,1.0,,,,1.0,,,,,Fortaleza CEIF,away,,,
Stalin Valencia,Stalin Valencia,,stalin-valencia,S. Valencia,D,4,180.0,55,1095708,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,1065744000.0,"{'value': 380000, 'currency': 'EUR'}",4,False,25.0,20.0,6.0,2.0,0.0,50.0,28.0,5.8,5.0,"{'original': 5.8, 'alternative': None}",,2.0,,,,,1.0,,2.0,,,,,1.0,,,,,,1.0,,,,,Fortaleza CEIF,away,,,
Santiago Cuero,Santiago Cuero,,santiago-cuero,S. Cuero,D,15,179.0,36,1478347,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1091145600.0,"{'value': 340000, 'currency': 'EUR'}",15,False,7.0,6.0,,,0.0,36.0,13.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,1.0,2.0,,,,,2.0,,,,,,,,,,,1.0,,,,,,Fortaleza CEIF,away,,,
David Camacho,,,david-camacho,D. Camacho,M,22,188.0,26,879886,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,866073600.0,"{'value': 390000, 'currency': 'EUR'}",22,False,11.0,7.0,1.0,1.0,0.0,45.0,15.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",2.0,3.0,2.0,,,,,1.0,2.0,,,1.0,,1.0,,,,,1.0,,,,,,Fortaleza CEIF,away,,,
David Barrera,,,david-barrera,D. Barrera,M,25,,7,1489813,{},EUR,,,25,False,26.0,21.0,2.0,2.0,0.0,77.0,40.0,6.9,10.0,"{'original': 6.9, 'alternative': None}",3.0,3.0,4.0,,,,1.0,1.0,,,1.0,,,3.0,1.0,3.0,,,1.0,,,,,,Fortaleza CEIF,away,,,
Leonardo Pico,,,leonardo-pico,L. Pico,M,14,177.0,24,820043,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686534400.0,"{'value': 205000, 'currency': 'EUR'}",14,False,35.0,33.0,,,0.0,90.0,41.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,2.0,3.0,,,,1.0,,,,1.0,,,1.0,1.0,3.0,,,,,,,,True,Fortaleza CEIF,away,,,
Luis Sánchez,,,luis-sanchez,L. Sánchez,M,10,171.0,96,963525,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,969235200.0,"{'value': 425000, 'currency': 'EUR'}",10,False,20.0,15.0,4.0,3.0,0.0,45.0,29.0,6.9,7.0,"{'original': 6.9, 'alternative': None}",1.0,1.0,3.0,2.0,,,2.0,1.0,,1.0,,,,,,1.0,,1.0,,,,,,,Fortaleza CEIF,away,,,
Emilio Aristizábal,Emilio Aristizábal,,aristizabal-emilio,E. Aristizábal,F,19,187.0,205,1517148,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1123200000.0,"{'value': 385000, 'currency': 'EUR'}",19,False,12.0,10.0,,,0.0,71.0,22.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",,5.0,4.0,1.0,,,1.0,,,,3.0,3.0,1.0,,1.0,1.0,,,,,,,,,Fortaleza CEIF,away,,,
Enmanuel Arrechea,Enmanuel Arrechea,,enmanuel-arrechea,E. Arrechea,D,17,178.0,9,1994982,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1115424000.0,,17,True,11.0,7.0,2.0,1.0,0.0,54.0,30.0,7.0,8.0,"{'original': 7, 'alternative': None}",,3.0,5.0,,,,3.0,3.0,,,1.0,,,4.0,1.0,2.0,,,1.0,,,,,,Fortaleza CEIF,away,,,
Diego Ruiz,,,diego-ruiz,D. Ruiz,D,30,,3,974032,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,875750400.0,"{'value': 205000, 'currency': 'EUR'}",30,True,6.0,3.0,2.0,,0.0,45.0,13.0,6.4,5.0,"{'original': 6.4, 'alternative': None}",,2.0,,,,,,,,,1.0,,,3.0,1.0,,,,,,,,,,Fortaleza CEIF,away,,,
Ronaldo Pájaro,Ronaldo Pájaro,,ronaldo-pajaro,R. Pájaro,M,13,172.0,36,1175016,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013990400.0,"{'value': 855000, 'currency': 'EUR'}",13,True,4.0,4.0,,,0.0,45.0,15.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",1.0,3.0,4.0,1.0,,,,3.0,,,,,,2.0,2.0,1.0,,,,,,,,,Fortaleza CEIF,away,,,
Santiago Córdoba,,,santiago-cordoba,S. Córdoba,F,9,186.0,105,1096223,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,863654400.0,"{'value': 340000, 'currency': 'EUR'}",9,True,9.0,8.0,,,0.0,19.0,14.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,2.0,1.0,1.0,,,,,,,1.0,1.0,,2.0,,,,,,,,,,,Fortaleza CEIF,away,,,
Andrés Ricaurte,,,andres-ricaurte,A. Ricaurte,M,8,182.0,115,285527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686448000.0,"{'value': 270000, 'currency': 'EUR'}",8,True,4.0,2.0,,,0.0,13.0,9.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",,,2.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,Fortaleza CEIF,away,,,
Michael Barragán,Michael Barragán,,michael-barragan,M. Barragán,G,32,190.0,8,1628444,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1085788800.0,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,away,,,
Kelvin Florez,Kelvin Florez,,kelvin-florez,K. Florez,M,16,177.0,25,1388938,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1076112000.0,"{'value': 195000, 'currency': 'EUR'}",16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,away,,,
