name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelLost,duelWon,totalContest,shotOffTarget,totalTackle,onTargetScoringAttempt,keyPass,aerialLost,dispossessed,wasFouled,interceptionWon,fouls,totalOffside,accurateCross,blockedScoringAttempt,challengeLost,captain,team,teamType,savedShotsFromInsideTheBox,outfielderBlock,hitWoodwork,wonContest,goals
Yaliston Martínez,yaliston-martinez,Y. Martínez,D,5,173.0,6,1116583,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,957312000,"{'value': 52000, 'currency': 'EUR'}",,Yaliston Martínez,,5,False,10.0,7.0,3.0,,0.0,11.0,,,,90.0,41.0,7.4,9.0,"{'original': 7.4, 'alternative': None}",4.0,1.0,2.0,6.0,,,3.0,,,1.0,,2.0,1.0,1.0,,1.0,,,,Boyacá Chicó FC,away,,,,,
Sebastian Salazar,sebastian-salazar,S. Salazar,M,8,180.0,8,789908,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812419200,"{'value': 215000, 'currency': 'EUR'}",,,,8,False,24.0,18.0,2.0,,0.0,7.0,,,,90.0,36.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",,1.0,3.0,3.0,,,2.0,,,1.0,,,,2.0,,,,,,Boyacá Chicó FC,away,,,,,
Kevin Londoño,kevin-londono,K. Londoño,M,27,180.0,14,1100037,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963100800,"{'value': 440000, 'currency': 'EUR'}",,Kevin Londoño,,27,False,32.0,23.0,7.0,1.0,0.0,4.0,,,,90.0,42.0,6.7,11.0,"{'original': 6.7, 'alternative': None}",,,5.0,,,1.0,,,1.0,4.0,,,1.0,1.0,,,,,,Boyacá Chicó FC,away,,,1.0,,
Delio Ramírez,delio-ramirez,D. Ramírez,M,10,160.0,11,1015661,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,975110400,"{'value': 53000, 'currency': 'EUR'}",,,,10,False,14.0,9.0,1.0,,1.0,,,,,78.0,22.0,7.1,6.0,"{'original': 7.1, 'alternative': None}",,,,3.0,1.0,,1.0,,1.0,,,1.0,1.0,,,,,,,Boyacá Chicó FC,away,,,,1.0,
Wilmar Arango,wilmar-arango,W. Arango,M,20,170.0,1,1174981,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,887328000,"{'value': 185000, 'currency': 'EUR'}",,Wilmar Arango,,20,False,5.0,5.0,,,0.0,,,,,45.0,13.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",2.0,,3.0,2.0,1.0,,,,2.0,,2.0,2.0,,,,,,,,Boyacá Chicó FC,away,,,,,
John Sánchez,john-sanchez,J. Sánchez,M,77,168.0,6,829865,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,800496000,"{'value': 48000, 'currency': 'EUR'}",,,,11,False,,,,,0.0,,,,,11.0,4.0,6.4,2.0,"{'original': 6.4, 'alternative': None}",,,2.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,,Boyacá Chicó FC,away,,,,,
Jairo Molina,jairo-molina,J. Molina,F,9,183.0,66,247931,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,735955200,"{'value': 49000, 'currency': 'EUR'}",,,,9,False,8.0,5.0,,,0.0,,,,,90.0,16.0,6.4,7.0,"{'original': 6.4, 'alternative': None}",,,9.0,,,,,,1.0,7.0,1.0,,,2.0,1.0,,,,,Boyacá Chicó FC,away,,,,,
Eduardo Banguero,eduardo-banguero,E. Banguero,D,22,177.0,14,963284,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981244800,"{'value': 410000, 'currency': 'EUR'}",,,,14,True,9.0,6.0,2.0,,0.0,2.0,,,,79.0,37.0,6.7,21.0,"{'original': 6.7, 'alternative': None}",,1.0,6.0,4.0,1.0,2.0,2.0,2.0,,,5.0,1.0,,,1.0,,,,,Boyacá Chicó FC,away,,,1.0,,
Ronald Valencia,ronald-valencia,R. Valencia,F,77,180.0,9,1154914,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,983577600,"{'value': 135000, 'currency': 'EUR'}",,Ronald Valencia,,16,True,9.0,7.0,,,0.0,2.0,,,,45.0,26.0,7.3,10.0,"{'original': 7.3, 'alternative': None}",2.0,1.0,3.0,2.0,3.0,,,1.0,,1.0,,,,,,,,,,Boyacá Chicó FC,away,,1.0,,1.0,1.0
Edgard Camargo,edgard-camargo,E. Camargo,M,28,181.0,29,1108692,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010102400,"{'value': 140000, 'currency': 'EUR'}",,Edgard Camargo,,28,True,10.0,9.0,,,0.0,1.0,,,,31.0,12.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,1.0,,1.0,,,,,,,,,,,,,,,,Boyacá Chicó FC,away,,,,,
Andres Aedo,aedo-andres,A. Aedo,M,6,183.0,8,1427849,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1077494400,"{'value': 145000, 'currency': 'EUR'}",,Andres Aedo,,6,True,3.0,2.0,,,0.0,2.0,,,,12.0,5.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,1.0,,,,,,,,,,,1.0,,,,,,Boyacá Chicó FC,away,,,,,
Darío Denis,dario-denis,D. Denis,G,23,186.0,13,820358,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,692841600,"{'value': 105000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,away,,,,,
Jacobo Pimentel,jacobo-pimentel,J. Pimentel,F,21,176.0,12,1017237,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010880000,"{'value': 140000, 'currency': 'EUR'}",,,,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,away,,,,,
Sebastián Colón,sebastian-colon,S. Colón,F,29,177.0,28,1465840,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895881600,,,Sebastián Colón,,29,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,away,,,,,
