name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelLost,challengeLost,totalClearance,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelWon,bigChanceCreated,shotOffTarget,interceptionWon,totalTackle,keyPass,wasFouled,fouls,aerialWon,dispossessed,blockedScoringAttempt,totalOffside,totalContest,hitWoodwork,outfielderBlock,wonContest,onTargetScoringAttempt,goals,bigChanceMissed,errorLeadToAGoal,captain,team,teamType,savedShotsFromInsideTheBox,saves
Didier Palacios,didier-palacios,D. Palacios,D,2,185.0,29,1647753,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1086220800.0,"{'value': 390000, 'currency': 'EUR'}",,Didier Palacios,,2,False,32.0,22.0,5.0,2.0,0.0,2.0,,10.0,,,,90.0,50.0,6.8,10.0,"{'original': 6.8, 'alternative': None}",,,2.0,4.0,,,1.0,1.0,1.0,1.0,,2.0,,,,,,1.0,,,,,,,Envigado FC,away,,
Carlos Ramirez,carlos-ramirez,C. Ramirez,D,29,182.0,68,1130277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,578448000.0,"{'value': 54000, 'currency': 'EUR'}",,,,29,False,29.0,22.0,5.0,1.0,0.0,1.0,,7.0,,,,90.0,38.0,6.5,7.0,"{'original': 6.5, 'alternative': None}",,,1.0,1.0,,,1.0,,,,,1.0,,,,,,1.0,,,,,,True,Envigado FC,away,,
Brayan Murillo,brayan-murillo,B. Murillo,D,36,,6,1929964,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,,Brayan Murillo,,36,False,19.0,10.0,7.0,1.0,0.0,4.0,1.0,5.0,,,,90.0,41.0,5.7,15.0,"{'original': 5.7, 'alternative': None}",,,,4.0,,,3.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,1.0,,Envigado FC,away,,
Johan Hinestroza,johan-hinestroza,J. Hinestroza,M,14,176.0,11,1106571,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1016064000.0,"{'value': 205000, 'currency': 'EUR'}",,Johan Hinestroza,,14,False,25.0,23.0,3.0,3.0,0.0,3.0,,,,,,89.0,38.0,6.8,5.0,"{'original': 6.8, 'alternative': None}",,,1.0,3.0,,,1.0,2.0,,,1.0,1.0,1.0,,,1.0,,2.0,,,,,,,Envigado FC,away,,
Julián Palacios,julian-palacios,J. Palacios,D,6,179.0,39,1113527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1060214400.0,"{'value': 760000, 'currency': 'EUR'}",,Julián Palacio,,6,False,24.0,19.0,4.0,,0.0,4.0,2.0,1.0,,,,90.0,31.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",,,1.0,5.0,,,,2.0,1.0,1.0,,2.0,1.0,,,,,1.0,,,,,,,Envigado FC,away,,
Luis Díaz,luis-diaz,L. Díaz,M,34,,83,1219046,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1080086400.0,,,Luis Díaz,,34,False,16.0,12.0,1.0,1.0,2.0,2.0,,4.0,,,,90.0,30.0,8.5,8.0,"{'original': 8.5, 'alternative': None}",1.0,,1.0,5.0,,,,1.0,2.0,2.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,,,,Envigado FC,away,,
Edison López,edison-lopez,E. López,M,21,178.0,8,941672,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940377600.0,"{'value': 185000, 'currency': 'EUR'}",,,,21,False,20.0,17.0,1.0,,0.0,2.0,,,,,,64.0,26.0,6.5,7.0,"{'original': 6.5, 'alternative': None}",,,,1.0,,,,1.0,1.0,,,,2.0,1.0,,,,,,,,,,,Envigado FC,away,,
Daniel Arcila,daniel-arcila,D. Arcila,M,26,,37,1113526,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021507200.0,,,Daniel Arcila,,26,False,21.0,19.0,,,0.0,4.0,,,,,,76.0,33.0,6.5,8.0,"{'original': 6.5, 'alternative': None}",2.0,,,3.0,,2.0,,,,1.0,1.0,1.0,3.0,,,2.0,,,1.0,,,,,,Envigado FC,away,,
Bayron Garcés,bayron-garces,B. Garcés,F,11,175.0,148,1017019,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,738720000.0,"{'value': 320000, 'currency': 'EUR'}",,,,11,False,10.0,7.0,,,0.0,2.0,,,,,,61.0,17.0,7.4,6.0,"{'original': 7.4, 'alternative': None}",,,,1.0,,,,,,1.0,1.0,,1.0,,1.0,,,,,2.0,2.0,,,,Envigado FC,away,,
Frey Berrio,frey-berrio,F. Berrio,,19,,4,2038790,{},EUR,,,,Frey Berrio,,31,True,,,,,0.0,2.0,,,,,,25.0,2.0,6.2,1.0,"{'original': 6.2, 'alternative': None}",,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,Envigado FC,away,,
Andrés Vargas,andres-vargas,A. Vargas,,17,,3,1948603,{},EUR,,,,Andrés Vargas,,17,True,1.0,,1.0,,0.0,,,,,,,14.0,4.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,1.0,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,Envigado FC,away,,
Sebastián Chacón,sebastian-chacon,S. Chacón,M,25,,7,2048969,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,,Sebastián Chacón,,19,True,1.0,,1.0,,0.0,1.0,,,,,,1.0,2.0,,1.0,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,Envigado FC,away,,
Deiro Ochoa,deiro-ochoa,D. Ochoa,,23,,2,2038791,{},EUR,,,,Deiro Ochoa,,23,True,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,away,,
Matías Villa Marín,matias-villa-marin,M. V. Marín,G,1,,4,1847750,{},EUR,1195689600.0,,,,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,away,,
Tomás Soto,tomas-soto,T. Soto,M,13,,6,1388637,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1097539200.0,,,Tomás Soto,,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,away,,
Didier Dawson,didier-dawson,D. Dawson,M,7,173.0,46,2048967,"{'alpha2': 'PA', 'alpha3': 'PAN', 'name': 'Panama', 'slug': 'panama'}",EUR,1128902400.0,"{'value': 81000, 'currency': 'EUR'}",,Didier Dawson,,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,away,,
