name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,duelWon,challengeLost,totalContest,totalClearance,totalTackle,wasFouled,fouls,aerialWon,outfielderBlock,interceptionWon,keyPass,totalOffside,dispossessed,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,bigChanceMissed,wonContest,bigChanceCreated,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,aerialLost
Juan Fernando Quintero,juan-quintero,J. F. Quintero,M,8,168.0,9629,221162,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727315200.0,"{'value': 2600000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. كوينتيرو', 'hi': 'जुआन क्विंटेरो', 'bn': 'জুয়ান কুইন্টেরো'}}",8,False,72.0,59.0,16.0,10.0,0.0,90.0,81.0,7.0,19.0,"{'original': 7, 'alternative': None}",1.0,,5.0,1.0,,2.0,,,,2.0,,,,2.0,,2.0,,,2.0,,1.0,,,América de Cali,away,,,,,,
Sebastián Navarro,sebastian-navarro,S. Navarro,M,21,186.0,123,1018517,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200.0,"{'value': 840000, 'currency': 'EUR'}",,,,21,False,31.0,30.0,3.0,3.0,0.0,77.0,40.0,6.9,2.0,"{'original': 6.9, 'alternative': None}",,,4.0,2.0,,,2.0,2.0,,3.0,,,2.0,,,1.0,,,,,,,,América de Cali,away,,,,,,
José Cavadia,cavadia,J. Cavadia,M,29,177.0,70,2034583,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1127260800.0,"{'value': 310000, 'currency': 'EUR'}",,,,29,False,57.0,56.0,6.0,6.0,0.0,90.0,64.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,,8.0,1.0,2.0,1.0,1.0,1.0,,4.0,,,,,,1.0,,,,,,,,América de Cali,away,,,,,,
Duván Vergara,duvan-vergara,D. Vergara,M,11,173.0,932,819149,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,842227200.0,"{'value': 2900000, 'currency': 'EUR'}",,,,11,False,36.0,32.0,2.0,1.0,0.0,88.0,47.0,7.1,8.0,"{'original': 7.1, 'alternative': None}",1.0,,,6.0,,,,1.0,5.0,,,,,,,,,,,,,,True,América de Cali,away,,,,,,
Rodrigo Holgado,rodrigo-holgado,R. Holgado,F,22,179.0,1172,889043,"{'alpha2': 'MY', 'alpha3': 'MYS', 'name': 'Malaysia', 'slug': 'malaysia'}",EUR,804297600.0,"{'value': 775000, 'currency': 'EUR'}",,,,22,False,14.0,8.0,,,0.0,56.0,16.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,América de Cali,away,,,,,,
Luis Gómez,luis-gomez,L. Gómez,F,16,173.0,74,958592,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,939600000.0,"{'value': 490000, 'currency': 'EUR'}",,,,16,False,24.0,21.0,,,0.0,56.0,34.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",1.0,,3.0,2.0,,2.0,,,1.0,1.0,,,,1.0,,,1.0,,3.0,,1.0,,,América de Cali,away,,,,,,1.0
Cristian Barrios,cristian-barrios,C. Barrios,M,7,163.0,267,910158,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895536000.0,"{'value': 1200000, 'currency': 'EUR'}",,,,7,True,15.0,13.0,,,0.0,34.0,17.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,3.0,,,,,,,,,,,,,,,,,,,,,América de Cali,away,,,,,,3.0
Luis Ramos,luis-ramos,L. Ramos,F,9,175.0,1211,984107,"{'alpha2': 'PE', 'alpha3': 'PER', 'name': 'Peru', 'slug': 'peru'}",EUR,945043200.0,"{'value': 730000, 'currency': 'EUR'}",,,,9,True,13.0,10.0,,,0.0,34.0,15.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",,,1.0,1.0,,,,,1.0,,,,,2.0,,,1.0,,,,,,,América de Cali,away,,,,,,1.0
Franco Leys,franco-leys,F. Leys,M,32,180.0,53,333807,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,750902400.0,"{'value': 360000, 'currency': 'EUR'}",,,,32,True,4.0,3.0,,,0.0,13.0,5.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,,,,,,
Omar Bertel,omar-bertel,O. Bertel,D,31,175.0,79,875914,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,842227200.0,"{'value': 565000, 'currency': 'EUR'}",,,,31,True,1.0,,,,0.0,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,,,,,,
Alexis Sinisterra,alexis-sinisterra,A. Sinisterra,G,47,181.0,13,2009109,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1107993600.0,,Alexis Sinisterra,,,47,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,,,,,,
Andrés Mosquera,andres-mosquera,A. Mosquera,D,4,178.0,86,47724,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,635472000.0,"{'value': 470000, 'currency': 'EUR'}",,,,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,,,,,,
Joider Micolta,joider-micolta,J. Micolta,M,30,173.0,72,1173952,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026518400.0,"{'value': 335000, 'currency': 'EUR'}",Joider Micolta,,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,,,,,,
