name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,blockedScoringAttempt,totalTackle,fouls,totalOffside,keyPass,challengeLost,outfielderBlock,interceptionWon,wasFouled,dispossessed,bigChanceCreated,shotOffTarget,accurateCross,totalContest,onTargetScoringAttempt,wonContest,goals,captain,team,teamType,errorLeadToAGoal
Guillermo Tegüe,guillermo-tegue,G. Tegüe,D,4,186.0,8,906007,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949795200,"{'value': 315000, 'currency': 'EUR'}",,,,4,False,3.0,3.0,,,0.0,,,1.0,,,,3.0,4.0,3.0,,"{'original': 3, 'alternative': None}",,,1.0,,,1.0,,,,,,,,,,,,,,,,Deportivo La Equidad,away,
Bleiner Agrón,bleiner-agron,B. Agrón,D,30,185.0,27,1066910,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,982972800,"{'value': 260000, 'currency': 'EUR'}",,Bleiner Agrón,,30,False,29.0,19.0,8.0,,0.0,,3.0,5.0,,,,90.0,40.0,6.4,10.0,"{'original': 6.4, 'alternative': None}",,1.0,1.0,,2.0,,,,,,,1.0,,,,,,,,,,Deportivo La Equidad,away,
Andres Correa,andres-correa,A. Correa,D,3,174.0,10,329607,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,759801600,"{'value': 380000, 'currency': 'EUR'}",,,,3,False,22.0,16.0,5.0,2.0,0.0,1.0,2.0,1.0,,,,90.0,39.0,6.8,11.0,"{'original': 6.8, 'alternative': None}",1.0,,,,1.0,1.0,,,,2.0,,,,,,,,,,,True,Deportivo La Equidad,away,
Elan Ricardo,ricardo-elan,E. Ricardo,M,77,184.0,1235,1388631,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1077235200,"{'value': 2000000, 'currency': 'EUR'}",,Elan Ricardo,,17,False,17.0,15.0,3.0,3.0,0.0,,4.0,,,,,76.0,25.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,,4.0,,2.0,2.0,,,,1.0,,2.0,2.0,,1.0,,,,,,,Deportivo La Equidad,away,
Felipe Acosta,felipe-acosta,F. Acosta,M,14,190.0,15,924302,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,769824000,"{'value': 580000, 'currency': 'EUR'}",,,,14,False,25.0,15.0,2.0,1.0,0.0,1.0,6.0,,,,,90.0,33.0,6.7,10.0,"{'original': 6.7, 'alternative': None}",,2.0,5.0,,2.0,3.0,,,,,1.0,3.0,,,,,,,,,,Deportivo La Equidad,away,
Santiago Orozco,santiago-orozco,S. Orozco,M,6,172.0,8,1016205,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,826934400,"{'value': 270000, 'currency': 'EUR'}",,,,6,False,4.0,1.0,,,0.0,,,,,,,13.0,4.0,4.6,3.0,"{'original': 4.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,1.0
Sebastián Tamara,sebastian-tamara,S. Tamara,M,8,173.0,15,825757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,831686400,"{'value': 365000, 'currency': 'EUR'}",,,,8,False,12.0,8.0,2.0,1.0,0.0,,1.0,1.0,,,,45.0,18.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",1.0,,1.0,,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,Deportivo La Equidad,away,
Renan Oliveira,renan-oliveira,R. Oliveira,F,9,186.0,263,888598,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,863049600,"{'value': 575000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ر. أوليفيرا', 'hi': 'आर. ओलिवेरा', 'bn': 'আর. অলিভেইরা'}}",,,9,False,10.0,3.0,1.0,,0.0,3.0,4.0,,,,,71.0,20.0,7.0,12.0,"{'original': 7, 'alternative': None}",,2.0,9.0,1.0,,3.0,,,,,,,3.0,,1.0,,2.0,1.0,1.0,1.0,,Deportivo La Equidad,away,
Beckham Castro,beckham-castro,B. Castro,F,11,176.0,129,1173560,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1063324800,"{'value': 760000, 'currency': 'EUR'}",,Beckham Castro,,11,False,8.0,7.0,,,1.0,,7.0,,,,,76.0,26.0,7.2,7.0,"{'original': 7.2, 'alternative': None}",2.0,1.0,5.0,,2.0,,,2.0,,,,3.0,1.0,,1.0,2.0,5.0,,2.0,,,Deportivo La Equidad,away,
Daniel Polanco,daniel-polanco,D. Polanco,D,2,,5,1170892,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400,,,Daniel Polanco,,2,True,22.0,15.0,6.0,1.0,0.0,1.0,4.0,4.0,,,,77.0,30.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,
Yair Joao Abonia Vasquez,yair-abonia,J. Abonia,D,13,170.0,9,1175080,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949968000,"{'value': 310000, 'currency': 'EUR'}",,Yair Joao,Abonia Vásquez,13,True,8.0,5.0,1.0,,0.0,,1.0,,,,,45.0,20.0,6.4,6.0,"{'original': 6.4, 'alternative': None}",1.0,,2.0,,1.0,,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,Deportivo La Equidad,away,
Wilmar Cruz,wilmar-cruz,W. Cruz,F,10,171.0,31,925131,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,743731200,"{'value': 260000, 'currency': 'EUR'}",,,,10,True,5.0,1.0,,,0.0,4.0,4.0,,,,,19.0,11.0,6.5,8.0,"{'original': 6.5, 'alternative': None}",,3.0,6.0,,,2.0,,,,,,,1.0,,,,,,,,,Deportivo La Equidad,away,
Samir Mayo,mayo-samir,S. Mayo,M,16,,19,1476921,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1043884800,"{'value': 335000, 'currency': 'EUR'}",,,,16,True,7.0,4.0,1.0,1.0,0.0,,,1.0,,,,14.0,11.0,6.3,5.0,"{'original': 6.3, 'alternative': None}",1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,Deportivo La Equidad,away,
Amaury Torralvo,torralvo-amaury,A. Torralvo,F,36,169.0,11,821915,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758332800,"{'value': 260000, 'currency': 'EUR'}",,,,26,True,2.0,1.0,,,0.0,,,,,,,14.0,4.0,6.3,2.0,"{'original': 6.3, 'alternative': None}",1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,Deportivo La Equidad,away,
Andres Perez,andres-perez,A. Perez,G,12,180.0,5,1177555,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,926035200,"{'value': 49000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,
Ayron Del Valle,ayron-del-valle,A. D. Valle,F,7,178.0,97,47735,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,601862400,"{'value': 160000, 'currency': 'EUR'}",,,,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,
