name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,onTargetScoringAttempt,goals,interceptionWon,wasFouled,fouls,shotOffTarget,totalClearance,totalTackle,keyPass,challengeLost,dispossessed,outfielderBlock,bigChanceCreated,wonContest,captain,team,teamType,blockedScoringAttempt,totalOffside
Jorge Cardona,,,cardona-jorge,J. Cardona,D,34,184.0,16,960094,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919728000,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'J. L. C. Gutierrez'}}",34,False,25.0,21.0,5.0,1.0,0.0,,,,,90.0,34.0,6.1,4.0,"{'original': 6.1, 'alternative': None}",,,,1.0,1.0,2.0,,,,2.0,1.0,1.0,,6.0,,,,,,,,,Once Caldas,away,,
Mateo Rodas,,,mateo-rodas,M. Rodas,D,4,186.0,14,869998,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,884476800,"{'value': 235000, 'currency': 'EUR'}",,4,False,31.0,19.0,8.0,1.0,0.0,,,,,90.0,50.0,6.5,15.0,"{'original': 6.5, 'alternative': None}",1.0,,2.0,2.0,2.0,10.0,,,,1.0,4.0,,1.0,2.0,4.0,,,,,,,,Once Caldas,away,,
Juan Patiño,,,juan-patino,J. Patiño,D,33,184.0,31,973722,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,905385600,"{'value': 605000, 'currency': 'EUR'}",,33,False,32.0,24.0,5.0,2.0,0.0,,,,,90.0,50.0,6.3,12.0,"{'original': 6.3, 'alternative': None}",1.0,,,1.0,,3.0,,1.0,,2.0,2.0,,,3.0,,,,,,,,,Once Caldas,away,,
Jefry Zapata,Jefry Zapata,,jefry-zapata,J. Zapata,M,14,176.0,54,1478221,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949536000,"{'value': 570000, 'currency': 'EUR'}",,14,False,15.0,13.0,,,0.0,,,,,45.0,28.0,7.0,5.0,"{'original': 7, 'alternative': None}",2.0,,3.0,1.0,4.0,6.0,2.0,1.0,,,2.0,,,2.0,2.0,,,,,,1.0,,Once Caldas,away,1.0,
Mateo García,,,mateo-garcia,M. García,M,19,178.0,78,950544,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904262400,"{'value': 955000, 'currency': 'EUR'}",,19,False,48.0,44.0,5.0,4.0,0.0,,,,,90.0,61.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",,,,1.0,6.0,6.0,1.0,,,,3.0,3.0,,1.0,2.0,5.0,1.0,1.0,,,,,Once Caldas,away,,
Michael Barrios,,,michael-barrios,M. Barrios,M,7,163.0,232,791545,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,672192000,"{'value': 570000, 'currency': 'EUR'}",,7,False,9.0,5.0,,,0.0,,,,,56.0,20.0,6.4,9.0,"{'original': 6.4, 'alternative': None}",2.0,,1.0,,4.0,2.0,3.0,,,1.0,,1.0,2.0,1.0,1.0,,,,,,1.0,,Once Caldas,away,,
Hugo Dorrego,,,hugo-dorrego,H. Dorrego,M,30,174.0,56,311400,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,736905600,"{'value': 240000, 'currency': 'EUR'}",,30,False,12.0,9.0,2.0,1.0,0.0,,,,,56.0,17.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",1.0,,,,1.0,,,2.0,,,,,,,,,,1.0,,,,,Once Caldas,away,,1.0
Alejandro García,,,alejandro-garcia,A. García,M,20,185.0,85,912291,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,983318400,"{'value': 835000, 'currency': 'EUR'}",,20,False,21.0,20.0,3.0,3.0,0.0,,,,,45.0,26.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,1.0,,3.0,2.0,1.0,,,,,1.0,,,2.0,,,,,,,,Once Caldas,away,,
Dayro Moreno,,,dayro-moreno,D. Moreno,F,17,178.0,1664,31715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,495676800,"{'value': 95000, 'currency': 'EUR'}",,17,False,18.0,12.0,,,0.0,,,,,65.0,23.0,6.5,8.0,"{'original': 6.5, 'alternative': None}",,,1.0,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,True,Once Caldas,away,,1.0
Johan Esteban Beltran Montaño,,,johan-esteban-beltran-montano,J. E. B. Montaño,M,8,178.0,21,1099609,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800,,,8,True,12.0,8.0,2.0,1.0,0.0,,,,,45.0,19.0,6.5,8.0,"{'original': 6.5, 'alternative': None}",3.0,1.0,,,1.0,2.0,1.0,,,,2.0,,,,,1.0,,,,,,,Once Caldas,away,,
Mateo Zuleta,Mateo,Zuleta,mateo-zuleta,M. Zuleta,M,28,170.0,80,1651712,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1023408000,"{'value': 405000, 'currency': 'EUR'}",,28,True,12.0,5.0,,,0.0,,,,,45.0,19.0,6.2,10.0,"{'original': 6.2, 'alternative': None}",,,,,2.0,1.0,1.0,,,,,,,,1.0,,,1.0,,,,,Once Caldas,away,,
Joel Contreras,,,contreras-joel,J. Contreras,F,16,165.0,24,994306,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,925516800,"{'value': 310000, 'currency': 'EUR'}",,16,True,6.0,4.0,,,0.0,,,,,34.0,10.0,6.3,5.0,"{'original': 6.3, 'alternative': None}",,,,,3.0,,1.0,,,,,1.0,,,,,,1.0,,,,,Once Caldas,away,,1.0
Gilbert Álvarez,,,gilbert-alvarez,G. Álvarez,F,9,187.0,183,805363,"{'alpha2': 'BO', 'alpha3': 'BOL', 'name': 'Bolivia', 'slug': 'bolivia'}",EUR,702604800,"{'value': 235000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. ألفاريز', 'hi': 'जी. अल्वारेज़', 'bn': 'জি. আলভারেজ'}}",9,True,3.0,2.0,,,0.0,,,,,34.0,5.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,,1.0,,1.0,,,,,,,,,,,,,,,,,Once Caldas,away,,
Jerson Malagón,,,jerson-malagon,J. Malagón,D,3,185.0,30,339393,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,741052800,"{'value': 380000, 'currency': 'EUR'}",,3,True,9.0,7.0,2.0,1.0,0.0,,,,,25.0,9.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Once Caldas,away,,
Juan Gallego,,,juan-gallego,J. Gallego,G,25,,11,1809356,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1098748800,,,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,away,,
Juan Castaño,,,castano-zuluaga-juan-felipe,J. Castaño,D,15,181.0,20,1653077,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904348800,"{'value': 235000, 'currency': 'EUR'}",,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,away,,
