"jugador","equipo","equipo_durante_el_periodo_seleccionado","posicion_especifica","edad","valor_de_mercado_transfermarkt","vencimiento_contrato","partidos_jugados","minutos","goles","x_g","asistencias","x_a","duelos_90","duelos_ganados_percent","pais_de_nacimiento","pasaporte","pie","altura","peso","en_prestamo","acciones_defensivas_realizadas_90","duelos_defensivos_90","duelos_defensivos_ganados_percent","duelos_aereos_en_los_90_25","duelos_aereos_ganados_percent","entradas_90","posesion_conquistada_despues_de_una_entrada","tiros_interceptados_90","interceptaciones_90","posesion_conquistada_despues_de_una_interceptacion","faltas_90","tarjetas_amarillas","tarjetas_amarillas_90","tarjetas_rojas","tarjetas_rojas_90","acciones_de_ataque_exitosas_90","goles_90","goles_excepto_los_penaltis","goles_excepto_los_penaltis_90","x_g_90","goles_de_cabeza","goles_de_cabeza_90","remates","remates_90","tiros_a_la_porteria_percent","goles_hechos_percent","asistencias_90_48","centros_90","precision_centros_percent","centros_desde_la_banda_izquierda_90","precision_centros_desde_la_banda_izquierda_percent","centros_desde_la_banda_derecha_90","precision_centros_desde_la_banda_derecha_percent","centros_al_area_pequena_90","regates_90","regates_realizados_percent","duelos_atacantes_90","duelos_atacantes_ganados_percent","toques_en_el_area_de_penalti_90","carreras_en_progresion_90","aceleraciones_90","pases_recibidos_90","pases_largos_recibidos_90","faltas_recibidas_90","pases_90","precision_pases_percent","pases_hacia_adelante_90","precision_pases_hacia_adelante_percent","pases_hacia_atras_90","precision_pases_hacia_atras_percent","pases_laterales_90","precision_pases_laterales_percent","pases_cortos_medios_90","precision_pases_cortos_medios_percent","pases_largos_90","precision_pases_largos_percent","longitud_media_pases_m","longitud_media_pases_largos_m","x_a_90","second_assists_90","third_assists_90","desmarques_90","precision_desmarques_percent","jugadas_claves_90","pases_en_el_ultimo_tercio_90","precision_pases_en_el_ultimo_tercio_percent","pases_al_area_de_penalti_90","pases_hacia_el_area_pequena_percent","pases_en_profundidad_90","precision_pases_en_profundidad_percent","ataque_en_profundidad_90","centros_desde_el_ultimo_tercio_90","pases_progresivos_90","precision_pases_progresivos_percent","goles_recibidos","goles_recibidos_90","remates_en_contra","remates_en_contra_90","porterias_imbatidas_en_los_90","paradas_percent","x_g_en_contra","x_g_en_contra_90","goles_evitados","goles_evitados_90","pases_hacia_atras_recibidos_del_arquero_90","salidas_90","tiros_libres_90","tiros_libres_directos_90","tiros_libres_directos_percent","corneres_90","penaltis_a_favor","penaltis_realizados_percent","Country","Code","logo_team","categoria","archivo_png"
"D. Valdez","Chaco For Ever","Chaco For Ever","RCB",32,50000,"2025-12-31",21,1618,3,1.92,1,0.05,13.91,58.4,"Argentina","Argentina","derecho",174,72,"no",9.01,4.62,73.49,4.39,54.43,0.28,0.4,0.44,5.34,7.76,0.83,4,0.22,0,0,0.78,0.17,3,0.17,0.11,1,0.06,18,1,38.89,16.667,0.06,0.33,16.67,0,0,0.33,16.67,0.17,0.56,60,1.67,46.67,0.83,1.33,0.28,13.07,0.39,0.67,28.87,78.03,14.74,68.68,1.78,93.75,9.96,89.94,22.25,86.25,6.29,52.21,24.43,36.59,0,0.06,0,0.06,0,0.17,5.23,59.57,0.78,28.57,0.39,28.57,0.17,0.06,7.56,68.38,0,NA,0,NA,0,0,0,0,NA,NA,1.17,NA,0,0,0,0,0,0,"Argentina","CFO","ARG_CFO","Defensas",NA
"M. Batallini","Talleres Remedios","Talleres Remedios","CF",33,50000,NA,28,1610,4,4.44,0,0.43,20.76,37.36,"Argentina","Argentina","derecho",174,0,"no",5.02,4.14,60.56,5.77,21.21,0.58,0.97,0.12,1.92,3.2,1.98,4,0.22,0,0,1.28,0.22,4,0.23,0.26,1,0.06,26,1.52,46.15,15.385,0,0.64,18.18,0.06,0,0.58,20,0,1.17,40,7.29,33.6,2.33,0.29,0,7.76,2.39,1.69,11.61,61.31,3.56,50.82,1.98,79.41,3.32,59.65,10.27,64.77,0.7,50,15.35,15.07,0.02,0,0,0.06,0,0.06,1.57,55.56,0.99,29.41,0.12,0,0.52,0.06,1.52,50,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,"Argentina","TAL","ARG_TAL","Delanteros",NA
"R. Salinas","Chacarita Juniors","Chacarita Juniors","CF",38,75000,"2025-12-31",31,1592,4,3.92,3,0.67,19.67,35.63,"Argentina","Argentina","derecho",188,81,"no",2.66,2.15,57.89,6.5,50.43,0.11,0.18,0.06,1.3,2.04,1.47,5,0.28,0,0,0.9,0.23,3,0.17,0.22,2,0.11,23,1.3,47.83,17.391,0.17,0.45,12.5,0.34,16.67,0.11,0,0,0.34,66.67,6.33,19.64,2.32,0.51,0,12.21,3.17,0.34,17.86,70.89,3.62,48.44,5.09,87.78,4.75,76.19,16.11,75.44,1.36,33.33,16.87,18.99,0.04,0,0,0.06,0,0.17,1.75,58.06,0.85,40,0.17,0,0.57,0.06,1.07,84.21,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0.06,0.06,0,0,1,100,"Argentina","CHA","ARG_CHA","Delanteros",NA
"L. Richarte","Temperley","Temperley","RCMF",20,0,"2026-12-31",26,1581,0,0.84,1,0.32,17.48,50.49,"Argentina","Argentina",NA,0,0,"no",9.56,8.14,62.94,2.5,40.91,1.08,1.52,0.17,3.36,4.73,1.71,5,0.28,0,0,1.02,0,0,0,0.05,0,0,16,0.91,18.75,0,0.06,0.97,11.76,0.11,50,0.85,6.67,0.06,1.2,61.9,4.27,41.33,0.23,0.57,0.11,15.71,0.17,0.57,28.8,77.47,11.67,68.78,2.79,93.88,10.59,83.87,22.71,84.46,5.24,57.61,20.72,29.51,0.02,0,0,0.06,0,0.06,6.43,61.95,1.48,34.62,0.46,25,0.46,0.17,6.72,75.42,0,NA,0,NA,0,0,0,0,NA,NA,0.28,NA,0,0,0,0,0,0,"Argentina","TEM","ARG_TEM","Mediocampo",NA
"F. Rodríguez","Defensores de Belgrano","Defensores de Belgrano","LB",24,0,"2025-12-31",19,1581,0,0.22,1,1.27,18.67,50.91,"Argentina","Argentina","izquierdo",182,79,"si",8.71,7.23,63.78,2.96,51.92,0.11,0.17,0.34,3.98,6.07,1.42,7,0.4,1,0.06,1.48,0,0,0,0.01,0,0,7,0.4,14.29,0,0.06,2.28,22.5,2.28,22.5,0,0,0.4,1.94,47.06,5.24,33.7,0.46,1.2,0.17,23.06,1.71,0.97,36.49,69.58,20.49,61.67,3.42,90,7.23,74.8,28.06,78.3,6.2,47.71,20.53,33.29,0.07,0,0,0,0,0.11,6.03,59.43,1.94,29.41,0.17,0,0.34,0.57,10.3,61.33,0,NA,0,NA,0,0,0,0,NA,NA,0.11,NA,0.4,0,0,1.02,0,0,"Argentina","DEF","ARG_DEF","Defensas",NA
"R. Balbuena","Nueva Chicago","Nueva Chicago","LAMF",25,1e+05,NA,25,1576,1,1.77,1,1.06,23.62,43.41,"Argentina","Argentina","derecho",176,70,"no",6.86,6.74,56.41,3.69,34.38,0.12,0.2,0.12,2.94,5.15,1.04,2,0.11,0,0,4.03,0.06,1,0.06,0.1,0,0,26,1.5,34.62,3.846,0.06,2.65,34.78,2.07,27.78,0.58,60,0.12,4.44,58.44,9.8,42.94,1.33,1.5,0.4,17.4,2.19,0.86,27.14,71.76,6.28,54.13,6.63,90.43,8.47,68.71,22.24,79.02,2.42,45.24,18.02,25.94,0.06,0.06,0.06,0,0,0.35,2.54,65.91,2.54,38.64,0.17,0,0.23,1.15,4.78,62.65,0,NA,0,NA,0,0,0,0,NA,NA,0.06,NA,0.23,0.12,0,1.79,0,0,"Argentina","NUC","ARG_NUC","Mediocampo_Ofensivo",NA
"Y. González","Deportivo Morón","Deportivo Morón","AMF",23,125000,"2027-12-31",19,1569,5,3.4,1,1.28,21.58,51.42,"Argentina","Argentina","derecho",173,64,"si",6.19,5.52,65.56,2.82,43.48,0.37,0.52,0,2.21,3.09,0.92,6,0.34,1,0.06,5.03,0.29,5,0.31,0.21,0,0,33,2.02,48.48,15.152,0.06,2.88,25.53,0.67,18.18,2.21,27.78,0.25,5.33,59.77,11.46,47.59,1.78,1.66,0.49,20.84,1.59,1.72,29.43,69.79,8.4,64.23,5.76,93.62,8.89,64.83,24.46,77.69,2.33,39.47,17.5,33.34,0.08,0,0,0.12,100,0.25,4.35,64.79,2.57,45.24,0.31,40,0.49,0.67,4.84,69.62,0,NA,0,NA,0,0,0,0,NA,NA,0.06,NA,0.49,0,0,0.86,0,0,"Argentina","DMO","ARG_DMO","Mediocampo_Ofensivo",NA
"D. Achucarro","Talleres Remedios","Talleres Remedios","LCB",34,50000,NA,21,1568,0,0.6,1,0.23,17.22,62.67,"Argentina","Argentina, Paraguay","izquierdo",180,73,"no",9.64,7.23,75.4,5.63,61.22,0.17,0.25,0.23,4.02,5.95,1.03,4,0.23,1,0.06,0.4,0,0,0,0.03,0,0,3,0.17,33.33,0,0.06,0.11,100,0.11,100,0,0,0,0.34,66.67,1.66,44.83,0.17,0.46,0,10.22,0.29,0.8,26.75,75.75,17.22,69.33,0.8,92.86,7.12,89.52,16.65,83.79,9.99,62.07,27.48,42.2,0.01,0,0,0,0,0.06,6.08,60.38,0.8,42.86,0.46,50,0.17,0.06,10.16,72.88,0,NA,0,NA,0,0,0,0,NA,NA,0.29,NA,0,0,0,0,0,0,"Argentina","TAL","ARG_TAL","Defensas",NA
"M. Muñoz","Gimnasia Mendoza","Gimnasia Mendoza","RDMF",29,2e+05,"2025-12-31",17,1566,0,0.21,0,0.04,11.95,49.52,"Argentina","Argentina, Chile","derecho",183,77,"no",9.77,6.44,59.82,2.41,35.71,0.8,1.4,0.23,5.11,8.9,1.32,6,0.34,0,0,0.17,0,0,0,0.01,0,0,5,0.29,0,0,0,0.11,50,0,0,0.11,50,0,0.17,66.67,1.09,36.84,0.46,0.23,0,11.09,0.17,0.34,26.03,79.03,10.06,64,3.62,90.48,9.31,89.51,21.78,83.11,4.14,58.33,20.09,34.89,0,0,0,0,0,0.06,4.31,69.33,0.57,30,0.34,50,0.17,0.06,4.71,64.63,0,NA,0,NA,0,0,0,0,NA,NA,0.8,NA,0,0,0,0,0,0,"Argentina","GIM","ARG_GIM","Mediocampo_Defensivo","MEDIOCAMPO_DEFENSIVO_GIMNASIA_MENDOZA_M_MUÑOZ.png"
"M. Giménez","Defensores Unidos","Defensores Unidos","CF",33,0,"2025-12-31",20,1560,5,5.04,0,2.54,23.31,32.92,"Argentina","Argentina","derecho",187,85,"no",3.63,4.33,54.67,4.5,24.36,0.12,0.16,0,1.15,1.63,1.79,3,0.17,0,0,3.23,0.29,5,0.29,0.29,1,0.06,47,2.71,31.91,10.638,0,2.54,40.91,1.38,33.33,1.1,52.63,0.35,2.88,44,10.79,28.34,2.77,1.5,0.4,14.42,2.65,1.5,20.37,67.99,5.77,57,3.75,89.23,6.92,65.83,15.81,75.91,2.25,38.46,19.06,29.44,0.15,0,0,0.06,100,0.23,3.12,53.7,2.94,43.14,0.35,33.33,0.58,0.92,3.06,79.25,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,2.37,0.46,12.5,3.17,0,0,"Argentina","DEU","ARG_DEU","Delanteros",NA
"M. Sanchez","Central Norte","Central Norte","LB",26,0,NA,18,1544,0,0.21,0,0.12,13.45,59.72,"Argentina","Argentina",NA,175,70,"no",8.16,6.04,58.76,3.18,66.67,0.56,0.82,0.19,4.05,5.91,1.43,5,0.29,1,0.06,0.5,0,0,0,0.01,0,0,8,0.5,0,0,0,1,12.5,1,12.5,0,0,0.25,0.62,60,1.62,53.85,0.25,0.37,0,8.97,0.06,0.87,19.93,65.94,12.39,60.3,1.93,90.32,3.49,60.71,13.08,78.57,5.98,45.83,23.79,35.87,0.01,0.06,0.06,0,0,0.06,4.98,47.5,1.43,17.39,0.37,33.33,0.19,0.25,6.66,65.42,0,NA,0,NA,0,0,0,0,NA,NA,0.25,NA,0,0,0,0,0,0,"Argentina","CEN","ARG_CEN","Defensas",NA
"T. Villoldo","Almirante Brown","Almirante Brown","LB",30,50000,NA,17,1542,0,0.31,0,0.37,19.32,56.19,"Argentina","Argentina","izquierdo",178,76,"no",10.97,8.17,70,2.57,50,0.12,0.18,0.47,5.14,7.95,1.34,5,0.29,1,0.06,1.75,0,0,0,0.02,0,0,5,0.29,20,0,0,1.23,57.14,1.23,57.14,0,0,0.12,1.58,62.96,5.54,44.21,0.18,0.7,0.06,15.47,1.11,0.7,29.12,71.34,16.17,65.7,2.1,94.44,7.35,74.6,20.31,79.89,7.7,50.76,21.75,37.34,0.02,0,0,0,0,0.06,6.77,61.21,1.4,58.33,0.06,0,0.12,0.7,9.51,71.17,0,NA,0,NA,0,0,0,0,NA,NA,0.12,NA,0.18,0,0,0.12,0,0,"Argentina","ALM","ARG_ALM","Defensas",NA
"J. Correa","Estudiantes Caseros","Estudiantes Caseros","AMF",32,175000,NA,18,1540,2,1.85,1,1.4,19.69,37.98,"Argentina","Argentina","izquierdo",170,65,"no",3.97,4.38,58.67,2.4,24.39,0.18,0.29,0.12,1.23,2.05,0.82,4,0.23,1,0.06,3.8,0.12,2,0.12,0.11,0,0,28,1.64,57.14,7.143,0.06,3.1,32.08,1.64,35.71,1.46,28,0.29,3.1,56.6,10.34,34.46,1.81,1.58,0.23,17.94,2.16,1.87,25.95,73.2,7.07,61.16,5.49,91.49,8.12,74.82,21.21,80.44,1.87,56.25,18.69,28.12,0.08,0,0,0.12,100,0.23,3.33,78.95,3.45,50.85,0.18,33.33,1.05,1.11,4.38,68,0,NA,0,NA,0,0,0,0,NA,NA,0.06,NA,0.99,0.06,0,1.93,0,0,"Argentina","EST","ARG_EST","Mediocampo_Ofensivo",NA
"J. Scolari","Defensores Unidos","Defensores Unidos","RCB",35,25000,NA,20,1532,1,0.54,0,0,12.45,55.66,"Argentina","Argentina","derecho",181,78,"no",7.7,4.88,69.88,4.35,50,0.41,0.56,0.35,3.88,5.32,0.53,5,0.29,1,0.06,0.35,0.06,1,0.06,0.03,0,0,7,0.41,14.29,14.286,0,0.7,25,0,0,0.7,25,0.06,0.23,50,1.17,35,0.59,0.18,0,13.22,0.59,0.41,25.32,74.94,12.22,66.83,2.35,90,7.99,83.09,19.92,81.42,4.76,55.56,21.93,37.41,0,0,0,0,0,0,4.7,58.75,1,29.41,0.18,33.33,0.29,0.12,7.34,65.6,0,NA,0,NA,0,0,0,0,NA,NA,1.23,NA,0,0,0,0,0,0,"Argentina","DEU","ARG_DEU","Defensas",NA
"I. Molinas","Nueva Chicago","Nueva Chicago","LAMF",28,125000,NA,27,1530,4,2.92,1,1.89,14.94,42.13,"Argentina","Argentina","derecho",180,69,"no",5.76,4.59,55.13,3.18,38.89,0.71,1.01,0.06,2.53,3.61,1.18,4,0.24,0,0,2.12,0.24,4,0.24,0.17,2,0.12,38,2.24,31.58,10.526,0.06,2,23.53,0.29,20,1.71,24.14,0.24,1.71,55.17,4.82,37.8,1.29,0.59,0.18,16.65,1.47,1.06,22.06,77.33,4.65,63.29,5.41,94.57,7.47,78.74,19,85.14,1.29,36.36,17.86,22.77,0.11,0.12,0.06,0.18,0,0.24,2,73.53,2.06,42.86,0.24,0,0.59,0.53,2.88,65.31,0,NA,0,NA,0,0,0,0,NA,NA,0.06,NA,0.94,0.29,20,2.24,1,0,"Argentina","NUC","ARG_NUC","Mediocampo_Ofensivo",NA
"D. Vásquez","Agropecuario","Agropecuario","LW",24,0,"2025-12-31",26,1526,4,2.56,0,0.66,16.34,40.43,"Argentina","Argentina","ambidiestro",174,64,"no",4.84,4.36,58.11,1.89,25,0.06,0.1,0.18,2.24,3.63,0.59,0,0,0,0,2.48,0.24,4,0.24,0.15,1,0.06,24,1.42,37.5,16.667,0,1.77,36.67,1.12,36.84,0.53,33.33,0.12,2.6,47.73,7.9,38.81,1.71,1.12,0.12,19.7,2.48,0.71,29.67,76.74,7.14,65.29,6.96,88.14,9.5,74.53,24.77,82.62,3.24,52.73,17.48,23.94,0.04,0,0,0.06,100,0.18,4.19,70.42,1.59,37.04,0.18,33.33,0.24,0.65,4.48,65.79,0,NA,0,NA,0,0,0,0,NA,NA,0.24,NA,1.36,0.12,100,1.36,0,0,"Argentina","AGR","ARG_AGR","Extremos",NA
"F. Pulicastro","Talleres Remedios","Talleres Remedios","CF",25,25000,NA,28,1517,3,3.51,0,0.8,33.99,38.74,"Argentina","Argentina","derecho",189,85,"no",5.81,3.97,53.73,12.4,52.15,0.53,0.85,0.06,3.14,5,1.78,1,0.06,0,0,1.6,0.18,3,0.18,0.21,1,0.06,23,1.36,43.48,13.043,0,0.95,18.75,0.24,25,0.71,16.67,0.24,1.72,48.28,10.56,26.97,2.31,0.83,0.3,11.45,3.14,1.78,18.04,71.05,3.26,63.64,4.98,84.52,4.81,64.2,16.85,74.3,0.3,40,14.4,7.39,0.05,0,0,0,0,0.12,1.72,72.41,0.83,35.71,0,0,0.42,0.24,1.48,52,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,"Argentina","TAL","ARG_TAL","Delanteros",NA
"F. Lencioni","Gimnasia Mendoza","Gimnasia Mendoza","LW",24,6e+05,"2027-12-31",19,1516,6,3.99,1,2.65,18.58,44.73,"Argentina","Argentina","izquierdo",180,78,"si",5.94,4.27,56.94,1.96,57.58,0.3,0.51,0.06,3.21,5.49,0.36,1,0.06,0,0,4.45,0.36,5,0.3,0.24,0,0,46,2.73,41.3,13.043,0.06,2.49,30.95,2.08,31.43,0.36,33.33,0.47,4.69,50.63,10.57,39.33,1.54,1.72,0.24,13.06,0.89,1.54,21.61,66.48,6,52.48,3.27,85.45,8.43,69.72,16.86,75.7,2.37,37.5,20.86,35.75,0.16,0.12,0,0.36,50,0.36,3.32,50,2.67,37.78,0.59,20,0.53,0.77,3.44,72.41,0,NA,0,NA,0,0,0,0,NA,NA,0.12,NA,2.97,0.71,41.67,2.43,1,100,"Argentina","GIM","ARG_GIM","Extremos","EXTREMOS_GIMNASIA_MENDOZA_F_LENCIONI.png"
"N. Thaller","Colón","Colón","RCB",26,3e+05,NA,17,1514,0,0.11,0,0.43,14.86,67.2,"Argentina","Argentina, Italy","derecho",186,79,"no",8.26,4.99,75,5.89,70.71,0.48,0.84,0.42,4.04,7.13,0.59,4,0.24,0,0,0.24,0,0,0,0.01,0,0,2,0.12,50,0,0,0.3,20,0,0,0.24,25,0,0.36,33.33,1.19,55,0.24,0.48,0,25.8,0.24,0.71,41.91,83.4,21.16,72.19,1.37,95.65,16.11,96.31,34.42,91.71,7.19,46.28,22.72,40.36,0.03,0,0,0,0,0.06,5.77,57.73,1.07,44.44,0.54,44.44,0.36,0,9.27,74.36,0,NA,0,NA,0,0,0,0,NA,NA,0.77,NA,0,0,0,0,0,0,"Argentina","COL","ARG_COL","Defensas",NA
"L. Lusnig","Estudiantes Caseros","Estudiantes Caseros","LB",26,150000,NA,18,1512,0,0.19,0,0.52,14.52,60.25,"Argentina","Argentina","izquierdo",178,74,"no",8.81,6.37,66.36,4.17,67.14,0.3,0.48,0.12,4.29,6.9,0.89,1,0.06,0,0,1.13,0,0,0,0.01,0,0,7,0.42,14.29,0,0,2.44,39.02,2.38,40,0.06,0,0.24,0.42,28.57,1.67,28.57,0.42,0.48,0.12,18.99,0.65,0.36,33.75,72.49,17.62,67.91,2.2,91.89,9.7,76.69,23.27,81.07,8.21,57.97,23.09,36.82,0.03,0.06,0,0,0,0.24,6.13,66.02,2.62,43.18,0.12,50,0.42,0.89,9.52,75.63,0,NA,0,NA,0,0,0,0,NA,NA,0.3,NA,0,0,0,0,0,0,"Argentina","EST","ARG_EST","Defensas",NA
"J. Toledo","Temperley","Temperley","CF",39,50000,NA,31,1499,1,4.61,2,0.81,31.34,39.66,"Argentina","Argentina","derecho",190,89,"no",2.82,2.1,48.57,16.09,45.52,0.36,0.63,0.06,1.44,2.54,2.88,4,0.24,0,0,0.96,0.06,0,0,0.28,0,0,28,1.68,28.57,3.571,0.12,0.6,30,0.48,37.5,0.12,0,0.12,0.48,62.5,6.36,29.25,3.18,0.24,0,9.31,2.88,1.56,15.37,64.45,3.06,45.1,3.54,81.36,4.92,60.98,14.05,67.52,0.84,35.71,15.03,11.77,0.05,0,0,0,0,0.06,1.56,53.85,1.2,30,0,0,0.6,0.06,1.32,54.55,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0.06,0,0,0,1,100,"Argentina","TEM","ARG_TEM","Delanteros",NA
"J. González","Chacarita Juniors","Chacarita Juniors","RB",28,650000,NA,17,1497,2,0.56,0,0.72,15.69,55.94,"Argentina","Argentina","derecho",171,65,"no",9.98,5.83,69.07,1.08,72.22,0.9,1.44,0.12,5.05,8.05,0.9,4,0.24,1,0.06,2.83,0.12,2,0.12,0.03,0,0,25,1.5,28,8,0,2.83,40.43,0,0,2.83,40.43,0.18,2.59,48.84,6.97,41.38,0.42,1.74,0.3,23.93,1.32,1.5,36.67,71.15,16.89,64.41,3.97,87.88,12.08,76.12,24.47,79.36,9.38,58.97,23.04,36.95,0.04,0,0,0.06,0,0.3,9.68,64.6,3.61,46.67,0.84,35.71,0.78,1.14,12.08,80.1,0,NA,0,NA,0,0,0,0,NA,NA,0.06,NA,0.54,0.24,25,0.42,0,0,"Argentina","CHA","ARG_CHA","Defensas",NA
"L. Ciccolini","Chacarita Juniors","Chacarita Juniors","RW",30,275000,NA,28,1495,2,2.47,4,3.06,24.2,45.27,"Argentina","Argentina","derecho",175,68,"no",5.66,4.94,70.73,1.69,32.14,0.36,0.63,0.06,1.81,3.16,0.84,3,0.18,0,0,5.48,0.12,1,0.06,0.15,0,0,32,1.93,34.38,6.25,0.24,5,25.3,0.18,0,4.76,26.58,0.66,4.94,71.95,14.69,41.8,1.81,2.77,0.6,19.69,2.53,1.51,31.73,73.81,7.4,61.79,7.46,94.35,10.54,69.71,24.32,85.64,2.59,55.81,19.81,24.05,0.18,0.06,0.06,0.06,0,0.48,3.01,64,4.64,37.66,0.18,33.33,0.84,1.2,4.94,78.05,0,NA,0,NA,0,0,0,0,NA,NA,0.06,NA,1.32,0.18,0,1.99,1,100,"Argentina","CHA","ARG_CHA","Extremos",NA
"S. Úbeda","Chaco For Ever","Chaco For Ever","LCMF",29,150000,NA,17,1490,1,0.5,0,0.15,12.2,56.44,"Argentina","Argentina","derecho",176,67,"no",10.03,5.13,71.76,2.54,50,0.79,1.03,0.3,5.56,7.32,0.6,0,0,0,0,0.42,0.06,1,0.06,0.03,0,0,7,0.42,42.86,14.286,0,0,0,0,0,0,0,0,0.48,50,2.6,41.86,0.3,0.06,0,13.53,0,0.97,27.91,79.22,9.3,62.34,2.42,90,11.9,89.85,23.8,83.25,4.11,55.88,19.31,31,0.01,0,0,0,0,0,4.35,66.67,0.24,50,0.06,100,0.12,0,5.07,55.95,0,NA,0,NA,0,0,0,0,NA,NA,0.12,NA,0,0,0,0,0,0,"Argentina","CFO","ARG_CFO","Mediocampo",NA
"F. Perinciolo","Chaco For Ever","Chaco For Ever","LW",28,125000,NA,27,1488,1,2.01,4,2.62,24.68,38.24,"Argentina","Argentina","izquierdo",176,72,"no",7.98,7.8,60.47,2.18,33.33,0.79,1.13,0.06,2.48,3.55,2.18,10,0.6,1,0.06,3.08,0.06,1,0.06,0.12,0,0,16,0.97,25,6.25,0.24,3.69,37.7,3.57,37.29,0.06,0,0.54,4.17,31.88,10.95,26.52,1.69,1.75,0.42,16.63,2.3,1.15,23.89,64.3,10.34,61.4,2.72,93.33,7.26,60.83,16.75,70.4,3.87,62.5,22.65,36.28,0.16,0.06,0,0.18,66.67,0.48,5.02,62.65,3.51,50,0.54,66.67,0.85,1.33,7.98,76.52,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,1.39,0,0,1.39,0,0,"Argentina","CFO","ARG_CFO","Extremos",NA
"M. Galeano","Gimnasia Mendoza","Gimnasia Mendoza","CF",23,175000,"2025-12-31",26,1482,4,3.05,0,1.05,32.85,29.21,"Argentina","Argentina","derecho",183,76,"no",4.86,2.91,52.08,9.53,34.39,0.12,0.17,0.06,3.22,4.54,2.06,0,0,1,0.06,1.28,0.24,4,0.24,0.19,1,0.06,14,0.85,42.86,28.571,0,0.91,20,0.24,50,0.67,9.09,0,2.73,26.67,13,21.03,2.43,1.09,0.12,10.02,2.61,1.21,17.25,73.24,3.46,64.91,5.83,87.5,2.73,75.56,16.21,76.03,0.12,100,13.86,3.58,0.06,0.06,0,0.12,0,0.18,0.91,53.33,0.91,40,0.18,33.33,0.67,0.12,1.15,57.89,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,"Argentina","GIM","ARG_GIM","Delanteros","DELANTEROS_GIMNASIA_MENDOZA_M_GALEANO.png"
"F. Cáceres","Estudiantes Caseros","Estudiantes Caseros","LDMF",25,125000,"2025-12-31",21,1477,2,1.43,1,0.98,22.18,49.73,"Argentina","Argentina","izquierdo",0,0,"no",12.92,9.2,66.23,2.92,43.75,0.97,1.63,0.3,5.85,9.8,1.71,8,0.49,1,0.06,1.89,0.12,2,0.12,0.09,0,0,35,2.13,25.71,5.714,0.06,1.04,29.41,0.85,28.57,0.12,0,0,1.71,53.57,5.79,43.16,0.73,1.52,0.3,23.03,0.43,1.34,38.82,69.39,17.55,56.25,4.75,91.03,12.13,79.4,31.93,76.15,5.91,39.18,19.83,35.72,0.06,0,0,0.3,40,0.18,9.81,52.17,2.74,33.33,1.28,23.81,0.85,0.3,9.02,66.22,0,NA,0,NA,0,0,0,0,NA,NA,0.24,NA,1.58,0.06,0,0.85,0,0,"Argentina","EST","ARG_EST","Mediocampo_Defensivo",NA
"J. Berón","Deportivo Morón","Deportivo Morón","CF",23,0,"2025-12-31",24,1475,3,3.88,3,1.86,28.69,31.81,"Argentina","Argentina","derecho",0,0,"si",5.69,5.13,54.88,3.56,15.79,0.56,0.87,0.13,2.31,3.57,2.44,5,0.31,2,0.12,3.94,0.18,2,0.13,0.24,0,0,45,2.81,35.56,6.667,0.19,2.19,42.86,1.06,41.18,1.06,41.18,0.19,4.44,45.07,15.63,30.4,2.25,1.38,0.06,11.94,2.75,1.62,18.44,64.41,4.38,55.71,3.25,69.23,6.81,67.89,14.88,68.49,1.5,54.17,18.16,24.93,0.12,0,0,0.06,0,0.06,2.06,66.67,2.5,40,0.25,25,0.25,0.88,2.94,80.85,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,2,0.25,75,2.38,1,100,"Argentina","DMO","ARG_DMO","Delanteros",NA
"D. Aguirre","Defensores Unidos","Defensores Unidos","CF",32,0,"2025-12-31",21,1469,3,4.11,0,0.09,21.2,32.95,"Argentina","Argentina","derecho",187,84,"no",2.45,1.84,46.67,9.01,34.69,0.55,0.76,0.12,1.04,1.44,1.23,4,0.25,0,0,1.29,0.18,2,0.12,0.25,1,0.06,30,1.84,43.33,10,0,0.74,8.33,0.37,16.67,0.31,0,0.12,0.98,43.75,5.82,17.89,2.14,0.25,0,8.15,2.76,0.25,12.44,65.52,2.82,50,3.49,89.47,3.06,52,11.15,71.43,0.67,18.18,15.73,16.4,0.01,0.06,0,0,0,0,1.47,41.67,0.49,50,0.06,100,0.37,0.18,0.98,68.75,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,0,1,100,"Argentina","DEU","ARG_DEU","Delanteros",NA
