name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,interceptionWon,totalTackle,fouls,aerialLost,aerialWon,accurateCross,totalContest,outfielderBlock,totalOffside,keyPass,dispossessed,wonContest,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,goals,wasFouled,penaltyConceded,bigChanceMissed,challengeLost,captain,team,teamType,bigChanceCreated
Victor Moreno,victor-moreno,V. Moreno,D,3,180.0,13,1100346,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,782870400.0,"{'value': 540000, 'currency': 'EUR'}",,,,3,False,49.0,44.0,4.0,3.0,0.0,2.0,,,90.0,54.0,6.4,6.0,"{'original': 6.4, 'alternative': None}",,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,Independiente Santa Fe,away,
Christian Mafla,christian-mafla,C. Mafla,D,32,175.0,31,340757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727056000.0,"{'value': 240000, 'currency': 'EUR'}",,,,32,False,20.0,15.0,4.0,2.0,0.0,8.0,,,90.0,41.0,7.0,8.0,"{'original': 7, 'alternative': None}",1.0,,4.0,2.0,,,,3.0,,,,1.0,1.0,,,1.0,,,,1.0,,,,,Independiente Santa Fe,away,
Yilmar Velázquez,yilmar-velazquez,Y. Velázquez,M,20,185.0,66,975633,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,935193600.0,"{'value': 930000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. فيلازكويز', 'hi': 'वाए. वेलाज़क्वेज़', 'bn': 'ওয়াই. ভেলাজকুয়েজ'}}",,,20,False,25.0,20.0,3.0,2.0,0.0,,,,61.0,30.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,3.0,4.0,1.0,2.0,3.0,,2.0,,,,,,,,,,,,,,,,,Independiente Santa Fe,away,
Johan Torres,johan-torres,J. Torres,M,14,178.0,106,1394757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1094515200.0,"{'value': 1100000, 'currency': 'EUR'}",,Johan Torres,,14,False,31.0,26.0,2.0,1.0,0.0,,,,71.0,35.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",,1.0,1.0,,,,1.0,,,,2.0,,1.0,,,,,,,1.0,,,,,Independiente Santa Fe,away,
Alexis Zapata,alexis-zapata,A. Zapata,M,10,179.0,106,353296,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,800064000.0,"{'value': 670000, 'currency': 'EUR'}",,,,10,False,26.0,22.0,2.0,1.0,0.0,,,,61.0,36.0,6.4,10.0,"{'original': 6.4, 'alternative': None}",2.0,2.0,,,,,1.0,,1.0,1.0,,,1.0,,,,,1.0,,,,,,,Independiente Santa Fe,away,
Harold Santiago Mosquera,harold-mosquera,H. S. Mosquera,F,23,168.0,161,836164,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792115200.0,"{'value': 680000, 'currency': 'EUR'}",,,,23,False,22.0,15.0,2.0,1.0,0.0,,,,71.0,40.0,6.5,18.0,"{'original': 6.5, 'alternative': None}",6.0,2.0,2.0,,,,,1.0,,,,1.0,1.0,2.0,,,1.0,2.0,,1.0,,1.0,,,Independiente Santa Fe,away,
Omar Fernández,omar-fernandez,O. Fernández,M,8,166.0,128,805265,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729388800.0,"{'value': 945000, 'currency': 'EUR'}",,,,8,False,31.0,25.0,3.0,1.0,0.0,,,,90.0,46.0,6.8,11.0,"{'original': 6.8, 'alternative': None}",3.0,2.0,3.0,,,,,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,,3.0,,,1.0,,Independiente Santa Fe,away,
Hugo Rodallega,hugo-rodallega,H. Rodallega,F,11,181.0,916,15668,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,491097600.0,"{'value': 48000, 'currency': 'EUR'}",,,,11,False,26.0,15.0,1.0,1.0,0.0,,,,90.0,34.0,7.7,13.0,"{'original': 7.7, 'alternative': None}",,4.0,5.0,,,,2.0,4.0,,1.0,,1.0,1.0,2.0,1.0,2.0,2.0,,1.0,,,,,True,Independiente Santa Fe,away,1.0
Ewil Murillo,renteria-ewil-hernando-murillo,E. Murillo,M,21,180.0,31,1088687,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,961545600.0,"{'value': 380000, 'currency': 'EUR'}",,,,21,True,21.0,12.0,7.0,1.0,0.0,,,,29.0,29.0,6.3,12.0,"{'original': 6.3, 'alternative': None}",1.0,2.0,2.0,,,2.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,Independiente Santa Fe,away,
Ángelo Rodríguez,angelo-rodriguez,Á. Rodríguez,F,9,182.0,122,819171,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,607651200.0,"{'value': 265000, 'currency': 'EUR'}",,,,9,True,8.0,6.0,,,0.0,,,,29.0,11.0,6.9,4.0,"{'original': 6.9, 'alternative': None}",,,,,,,,,,,,1.0,2.0,,,,1.0,,,,,,,,Independiente Santa Fe,away,
Omar Albornoz,omar-albornoz,O. Albornoz,M,80,173.0,46,805030,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812246400.0,"{'value': 515000, 'currency': 'EUR'}",,,,80,True,5.0,2.0,3.0,2.0,0.0,,,,19.0,11.0,7.0,4.0,"{'original': 7, 'alternative': None}",1.0,,4.0,,3.0,,,,1.0,,,,,,,,,,,1.0,,,,,Independiente Santa Fe,away,
Marlon Balanta,marlon-balanta,M. Balanta,F,34,,16,2050159,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1214956800.0,,,Marlon Balanta,,34,True,5.0,2.0,1.0,,0.0,,,,19.0,9.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,Independiente Santa Fe,away,
Daniel Torres,daniel-torres,D. Torres,M,16,186.0,225,125813,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,627091200.0,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. توريس', 'hi': 'डी. टोरेस', 'bn': 'ডি. টরেস'}}",,,16,True,11.0,8.0,1.0,,0.0,,,,15.0,13.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away,
Andrés Mehring,andres-mehring,A. Mehring,G,,191.0,24,332773,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,766713600.0,"{'value': 275000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away,
Ivan Scarpeta,ivan-scarpetta,I. Scarpeta,D,15,180.0,32,1021384,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833932800.0,"{'value': 425000, 'currency': 'EUR'}",,,,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away,
