name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelLost,duelWon,dispossessed,totalContest,wonContest,onTargetScoringAttempt,totalClearance,totalTackle,penaltyConceded,wasFouled,fouls,challengeLost,aerialLost,blockedScoringAttempt,outfielderBlock,keyPass,interceptionWon,accurateCross,bigChanceCreated,totalOffside,shotOffTarget,bigChanceMissed,hitWoodwork,captain,team,teamType,fieldTranslations,goals
Javier Alexander Mena,,,mena-javier-alexander,J. A. Mena,D,32,,8,1544743,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1102032000.0,,32,False,13.0,11.0,1.0,1.0,0.0,,,90.0,30.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",1.0,,5.0,2.0,,2.0,,,2.0,2.0,,,2.0,1.0,,,,1.0,,,,,,,,,Rionegro Águilas Doradas,away,,
Yony González,,,yony-gonzalez,Y. González,F,11,182.0,356,351432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773884800.0,"{'value': 545000, 'currency': 'EUR'}",11,False,14.0,11.0,,,0.0,,,90.0,31.0,7.6,10.0,"{'original': 7.6, 'alternative': None}",3.0,1.0,5.0,6.0,,2.0,1.0,1.0,1.0,3.0,,1.0,,1.0,3.0,1.0,,,1.0,,,1.0,1.0,,,,Rionegro Águilas Doradas,away,,1.0
Harrinson Mancilla,,,harrinson-mancilla,H. Mancilla,M,27,174.0,27,869952,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693360000.0,"{'value': 49000, 'currency': 'EUR'}",27,False,15.0,10.0,1.0,,0.0,,,67.0,21.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",,1.0,3.0,4.0,1.0,,,,1.0,1.0,,2.0,2.0,,,,,1.0,1.0,,,,,,,,Rionegro Águilas Doradas,away,,
Fredy Salazar,,,fredy-salazar,F. Salazar,F,20,178.0,87,822092,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796694400.0,"{'value': 855000, 'currency': 'EUR'}",20,False,26.0,19.0,4.0,2.0,0.0,,,90.0,43.0,7.1,14.0,"{'original': 7.1, 'alternative': None}",6.0,,3.0,3.0,,1.0,1.0,,1.0,1.0,,1.0,3.0,1.0,,1.0,,2.0,,1.0,,,1.0,,,True,Rionegro Águilas Doradas,away,,
Jesús Rivas,,,jesus-rivas,J. Rivas,M,22,175.0,56,882616,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,860284800.0,"{'value': 820000, 'currency': 'EUR'}",22,False,37.0,25.0,5.0,3.0,0.0,,,90.0,50.0,6.5,18.0,"{'original': 6.5, 'alternative': None}",,1.0,9.0,5.0,2.0,1.0,,,1.0,2.0,,2.0,3.0,1.0,2.0,,,1.0,1.0,,,,,,,,Rionegro Águilas Doradas,away,,
Royner Benitez,Royner Benitez,,benitez-royner,R. Benitez,M,90,173.0,75,1466673,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1119312000.0,"{'value': 53000, 'currency': 'EUR'}",90,False,4.0,4.0,,,0.0,,,39.0,11.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,2.0,3.0,1.0,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,
Wilson Morelo,,,wilson-morelo,W. Morelo,F,19,170.0,128,47286,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,548553600.0,"{'value': 53000, 'currency': 'EUR'}",19,False,10.0,8.0,2.0,1.0,0.0,,,84.0,15.0,7.3,3.0,"{'original': 7.3, 'alternative': None}",,,3.0,3.0,,1.0,1.0,1.0,,,,2.0,3.0,,1.0,,,,,,,,,,,,Rionegro Águilas Doradas,away,,1.0
Johan Caballero,,,johan-caballero,J. Caballero,F,23,185.0,31,925252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895190400.0,"{'value': 340000, 'currency': 'EUR'}",23,True,12.0,11.0,,,1.0,,,51.0,21.0,7.1,3.0,"{'original': 7.1, 'alternative': None}",1.0,,1.0,1.0,,2.0,1.0,1.0,,,,,,,,,,1.0,,,,1.0,,,,,Rionegro Águilas Doradas,away,,
Nicolás Lara,Nicolás Lara,,nicolas-lara,N. Lara,D,30,184.0,16,1173828,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045958400.0,"{'value': 160000, 'currency': 'EUR'}",30,True,2.0,,1.0,,0.0,,,23.0,4.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,1.0,2.0,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,
Felipe Aguilar,,,felipe-aguilar,F. Aguilar,D,3,190.0,171,329577,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727488000.0,"{'value': 310000, 'currency': 'EUR'}",3,True,1.0,1.0,,,0.0,,,18.0,3.0,6.7,,"{'original': 6.7, 'alternative': None}",,,1.0,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,Rionegro Águilas Doradas,away,,
Jaen Pineda,,,jaen-pineda,J. Pineda,M,16,180.0,52,935690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,874454400.0,"{'value': 620000, 'currency': 'EUR'}",16,True,8.0,2.0,3.0,1.0,0.0,,,17.0,8.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,
Sebastián Guerra,,,sebastian-guerra,S. Guerra,G,34,183.0,33,931709,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,978912000.0,"{'value': 52000, 'currency': 'EUR'}",34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,
Jhojan Escobar,Jhojan Escobar,,jhojan-escobar,J. Escobar,D,6,175.0,4,1174885,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,947894400.0,"{'value': 140000, 'currency': 'EUR'}",6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,
Tomás Salazar,,,tomas-salazar,T. Salazar,M,8,178.0,8,979933,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960508800.0,"{'value': 52000, 'currency': 'EUR'}",8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,
