name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,dispossessed,totalClearance,interceptionWon,wasFouled,fouls,keyPass,totalContest,wonContest,totalTackle,aerialLost,aerialWon,outfielderBlock,accurateCross,onTargetScoringAttempt,blockedScoringAttempt,shotOffTarget,goals,totalOffside,penaltyWon,captain,team,teamType,penaltyConceded,bigChanceCreated,challengeLost
Baldomero Perlaza,baldomero-perlaza,B. Perlaza,M,14,188.0,82,285611,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,707702400,"{'value': 420000, 'currency': 'EUR'}",,,,14,False,27.0,22.0,2.0,,0.0,,,90.0,35.0,7.0,7.0,"{'original': 7, 'alternative': None}",1.0,,6.0,,,,,,,,,4.0,,2.0,,1.0,,,1.0,,,,,Independiente Medellín,away,,,
Homer Martinez,homer-martinez,H. Martinez,M,18,186.0,58,846432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,876096000,"{'value': 670000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ه. مارتينيز', 'hi': 'एच. मार्टिनेज', 'bn': 'এইচ. মার্টিনেজ'}}",,,18,False,22.0,15.0,1.0,,0.0,,,76.0,32.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",2.0,2.0,3.0,,2.0,1.0,1.0,2.0,,,,2.0,,,,1.0,,,1.0,,,,,Independiente Medellín,away,,,
Alexis Serna,alexis-serna,A. Serna,M,80,170.0,13,972579,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,944524800,"{'value': 230000, 'currency': 'EUR'}",,,,80,False,18.0,18.0,2.0,2.0,0.0,,,77.0,26.0,7.7,1.0,"{'original': 7.7, 'alternative': None}",,,3.0,,,,1.0,,,,,2.0,,,,,1.0,,2.0,1.0,,,,Independiente Medellín,away,,,
Francisco Chaverra,francisco-chaverra,F. Chaverra,M,13,172.0,246,977812,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,952905600,"{'value': 1500000, 'currency': 'EUR'}",,,,13,False,19.0,15.0,3.0,1.0,0.0,,,83.0,40.0,7.5,8.0,"{'original': 7.5, 'alternative': None}",2.0,3.0,5.0,1.0,,1.0,5.0,2.0,,,,,,,,,2.0,1.0,,1.0,,,,Independiente Medellín,away,,,
Francisco Fydriszewski,francisco-fydriszewski,F. Fydriszewski,F,19,186.0,567,594430,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,729561600,"{'value': 540000, 'currency': 'EUR'}",,,,19,False,16.0,7.0,2.0,1.0,1.0,,,83.0,23.0,7.3,10.0,"{'original': 7.3, 'alternative': None}",1.0,2.0,5.0,1.0,1.0,,2.0,,1.0,,,,1.0,3.0,1.0,1.0,,,1.0,,1.0,,,Independiente Medellín,away,,1.0,
Mender García,mender-garcia,M. García,F,8,180.0,100,909606,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,909532800,"{'value': 830000, 'currency': 'EUR'}",,,,8,False,16.0,11.0,,,0.0,,,90.0,26.0,6.5,11.0,"{'original': 6.5, 'alternative': None}",1.0,3.0,1.0,,,,1.0,,,2.0,,,,,,,1.0,1.0,,,,,,Independiente Medellín,away,,,1.0
Jaime Alvarado,alvarado-jaime,J. Alvarado,M,15,181.0,92,914202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,932947200,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. الفارادو'}}",,,15,True,13.0,9.0,1.0,,0.0,,,14.0,15.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away,,,
Léider Berrío,leider-berrio,L. Berrío,M,7,175.0,196,1170682,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,897177600,"{'value': 595000, 'currency': 'EUR'}",,Léider Berrío,,7,True,8.0,6.0,1.0,1.0,0.0,,,13.0,11.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,,1.0,,,,1.0,,,,,,,,,,,,,,,,,Independiente Medellín,away,,,
Juan Arizala,arizala-juan,J. Arizala,D,71,183.0,488,1476922,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1128902400,"{'value': 380000, 'currency': 'EUR'}",,,,71,True,5.0,4.0,,,0.0,,,13.0,9.0,6.4,4.0,"{'original': 6.4, 'alternative': None}",,1.0,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,Independiente Medellín,away,,,
Luis Sandoval,luis-sandoval,L. Sandoval,F,9,183.0,288,848048,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,928195200,"{'value': 765000, 'currency': 'EUR'}",,,,9,True,1.0,1.0,,,0.0,,,13.0,2.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away,,,
Eder Chaux,eder-chaux,E. Chaux,G,25,189.0,33,312338,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693187200,"{'value': 335000, 'currency': 'EUR'}",,,,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away,,,
Fainer Torijano,fainer-torijano,F. Torijano,D,23,182.0,17,351382,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,588988800,"{'value': 160000, 'currency': 'EUR'}",,,,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away,,,
Julian Angulo,julian-angulo,J. Angulo,M,11,183.0,22,1175035,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021334400,"{'value': 265000, 'currency': 'EUR'}",,Julian Angulo,,11,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away,,,
