name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,duelLost,totalContest,wonContest,wasFouled,fouls,shotOffTarget,totalTackle,keyPass,blockedScoringAttempt,totalCross,challengeLost,outfielderBlock,interceptionWon,onTargetScoringAttempt,goals,accurateCross,dispossessed,totalOffside,captain,team,teamType,errorLeadToAGoal
Dilan Ortiz,Dilan Ortiz,,dilan-ortiz,D. Ortiz,D,6,,5,1388142,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1055548800.0,,6,False,17.0,10.0,2.0,1.0,0.0,,,,,,,,,56.0,29.0,6.4,12.0,"{'original': 6.4, 'alternative': None}",,,,,,,1.0,,,,1.0,,,,,,,,,,Unión Magdalena,away,
Valentin Sanchez,Valentin Sanchez,,valentin-sanchez,V. Sanchez,M,8,,4,1390760,{},EUR,1012867200.0,,8,False,19.0,15.0,1.0,1.0,0.0,,1.0,,,,,,,57.0,23.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,,,,1.0,,,,2.0,,2.0,,,,,,1.0,,,,Unión Magdalena,away,
José Mercado,José Mercado,,jose-mercado,J. Mercado,M,28,,21,1201151,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1061424000.0,"{'value': 165000, 'currency': 'EUR'}",28,False,28.0,24.0,2.0,1.0,0.0,,4.0,1.0,,,,,,90.0,39.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",1.0,3.0,1.0,,2.0,,2.0,2.0,,,,,,,,,,1.0,,,Unión Magdalena,away,
Cristian Sención,,,cristian-sencion,C. Sención,M,16,179.0,20,877404,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,822787200.0,"{'value': 290000, 'currency': 'EUR'}",16,False,9.0,7.0,1.0,1.0,0.0,,1.0,,,,,,,45.0,17.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,2.0,,,1.0,2.0,,,,,2.0,,1.0,2.0,,,,,,,Unión Magdalena,away,
Juan Diego Giraldo,,,juan-diego-giraldo,J. D. Giraldo,M,20,179.0,4,873789,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869356800.0,"{'value': 185000, 'currency': 'EUR'}",20,False,36.0,30.0,5.0,2.0,0.0,,3.0,,,,,,,76.0,44.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",,4.0,1.0,1.0,2.0,3.0,,,,,,,1.0,2.0,,,,1.0,,,Unión Magdalena,away,
Ricardo Márquez,,,ricardo-marquez,R. Márquez,F,21,187.0,117,974046,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,879033600.0,"{'value': 245000, 'currency': 'EUR'}",21,False,24.0,21.0,1.0,,0.0,,1.0,,,,,,,90.0,31.0,6.3,7.0,"{'original': 6.3, 'alternative': None}",4.0,6.0,,,1.0,1.0,,,1.0,,1.0,,,,1.0,,,1.0,,,Unión Magdalena,away,1.0
Jannenson Sarmiento,,,jannenson-sarmiento,J. Sarmiento,M,10,179.0,110,1466270,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800.0,"{'value': 480000, 'currency': 'EUR'}",10,False,23.0,19.0,3.0,1.0,0.0,,3.0,,,,,,,90.0,35.0,7.1,8.0,"{'original': 7.1, 'alternative': None}",,4.0,,,2.0,2.0,,1.0,4.0,,5.0,2.0,,,,,3.0,,,True,Unión Magdalena,away,
Óscar Barreto,,,oscar-barreto,Ó. Barreto,M,22,173.0,37,840530,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,735955200.0,"{'value': 245000, 'currency': 'EUR'}",22,True,22.0,15.0,1.0,,0.0,,2.0,,,,,,,45.0,27.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",,1.0,,,1.0,1.0,,1.0,,,1.0,,1.0,,,,,,,,Unión Magdalena,away,
Juan José Tello,Juan José Tello,,juan-jose-tello,J. J. Tello,D,26,,11,1108713,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021593600.0,,26,True,12.0,8.0,3.0,2.0,0.0,,,3.0,,,,,,34.0,26.0,6.4,7.0,"{'original': 6.4, 'alternative': None}",1.0,3.0,1.0,,,1.0,,,,,1.0,,,2.0,,,,,,,Unión Magdalena,away,
Janeth Aleman,,,janeth-aleman,J. Aleman,F,7,,5,1901225,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1022198400.0,,7,True,4.0,4.0,1.0,1.0,0.0,,,,,,,,,19.0,7.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Unión Magdalena,away,
Freddy Molina,,,molina-freddy,F. Molina,D,18,,5,1512008,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,,,18,True,6.0,5.0,,,0.0,,1.0,,,,,,,14.0,8.0,7.2,1.0,"{'original': 7.2, 'alternative': None}",,2.0,,,,2.0,,1.0,,,,,,,1.0,1.0,,,,,Unión Magdalena,away,
Kleber Díaz,Kleber Díaz,,kleber-diaz,K. Díaz,F,19,,3,2040668,{},EUR,1073952000.0,,9,True,5.0,4.0,,,1.0,,1.0,,,,,,,14.0,7.0,6.9,1.0,"{'original': 6.9, 'alternative': None}",,,,,1.0,1.0,,,1.0,,,,,1.0,,,,,,,Unión Magdalena,away,
Guillermo Gómez,Guillermo Gómez,,guillermo-gomez,G. Gómez,G,34,187.0,6,1174006,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835920000.0,"{'value': 105000, 'currency': 'EUR'}",34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,away,
Jefrey Trujillo,Jefrey Trujillo,,jefrey-trujillo,J. Trujillo,D,27,,4,1201145,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1036368000.0,,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,away,
