name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,challengeLost,totalContest,wonContest,shotOffTarget,outfielderBlock,interceptionWon,fouls,dispossessed,totalTackle,keyPass,accurateCross,hitWoodwork,bigChanceMissed,penaltyConceded,onTargetScoringAttempt,bigChanceCreated,totalOffside,blockedScoringAttempt,goals,captain,team,teamType,penaltyWon
Simon Garcia,Simon Garcia,,garcia-simon,S. Garcia,D,28,186.0,154,1602863,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1105401600,"{'value': 235000, 'currency': 'EUR'}",,28,False,31.0,26.0,4.0,1.0,0.0,5.0,5.0,1.0,,,,,,90.0,39.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,,4.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,Atlético Nacional,away,
William Tesillo,,,william-tesillo,W. Tesillo,D,16,184.0,317,794087,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,633916800,"{'value': 520000, 'currency': 'EUR'}",,16,False,46.0,35.0,7.0,4.0,0.0,6.0,6.0,1.0,,,,,,90.0,57.0,7.1,12.0,"{'original': 7.1, 'alternative': None}",1.0,2.0,4.0,3.0,,,,,,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,,Atlético Nacional,away,
Camilo Cándido,,,camilo-candido,C. Cándido,D,13,174.0,281,924073,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,802051200,"{'value': 1100000, 'currency': 'EUR'}",,13,False,32.0,27.0,5.0,2.0,0.0,,2.0,,,,,,,90.0,42.0,6.3,8.0,"{'original': 6.3, 'alternative': None}",1.0,3.0,,5.0,2.0,,,,,,,,,,,,,,,,,,,,Atlético Nacional,away,
Matheus Uribe,,,mateus-uribe,M. Uribe,M,8,182.0,1809,247773,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,669513600,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'م. أوريبي', 'hi': 'एम. उरीबे', 'bn': 'এম. উরিবে'}}",8,False,13.0,11.0,1.0,,0.0,1.0,1.0,,,,,,,59.0,15.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,,3.0,,,,,,,3.0,,1.0,1.0,,,,,,,,,,,Atlético Nacional,away,
Jorman Campuzano,,,jorman-campuzano,J. Campuzano,M,21,175.0,706,924420,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830822400,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. كامبوزانو', 'hi': 'जे. कैम्पुज़ानो', 'bn': 'জে. ক্যাম্পুজানো'}}",21,False,42.0,38.0,5.0,4.0,0.0,3.0,3.0,,,,,,,90.0,51.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",,1.0,1.0,3.0,,,,,,1.0,2.0,,2.0,1.0,,,,,,,,,,,Atlético Nacional,away,
Andrés Sarmiento,,,andres-sarmiento,A. Sarmiento,M,29,170.0,200,842663,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,884822400,"{'value': 720000, 'currency': 'EUR'}",,29,False,14.0,12.0,1.0,1.0,0.0,,,,,,,,,74.0,20.0,6.3,6.0,"{'original': 6.3, 'alternative': None}",,,,3.0,1.0,1.0,,,,,1.0,,,,,,,,,,,1.0,,,Atlético Nacional,away,
Edwin Cardona,,,edwin-cardona,E. Cardona,M,10,183.0,2260,153793,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,723772800,"{'value': 960000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. كاردونا', 'hi': 'ई. कार्डोना', 'bn': 'ই. কার্ডোনা'}}",10,False,11.0,8.0,1.0,1.0,0.0,1.0,,,,,,,,45.0,16.0,7.4,4.0,"{'original': 7.4, 'alternative': None}",1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,3.0,,,,1.0,,Atlético Nacional,away,
Billy Arce,,,billy-arce,B. Arce,M,11,177.0,503,868746,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,900201600,"{'value': 680000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ب. ارس'}}",11,False,20.0,16.0,2.0,2.0,0.0,3.0,,2.0,,,1.0,,,83.0,37.0,7.3,10.0,"{'original': 7.3, 'alternative': None}",3.0,1.0,1.0,5.0,,1.0,,2.0,,,4.0,,,1.0,1.0,,,,,,,2.0,,,Atlético Nacional,away,1.0
Kevin Viveros,,,kevin-viveros,K. Viveros,F,19,180.0,692,925124,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,954806400,"{'value': 1400000, 'currency': 'EUR'}",,19,False,12.0,9.0,,,0.0,6.0,,2.0,,,,,,74.0,27.0,6.8,11.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,,5.0,,4.0,2.0,,,,2.0,,2.0,1.0,,,,,1.0,,,,,,Atlético Nacional,away,
Dairon Asprilla,,,dairon-asprilla,D. Asprilla,F,27,178.0,283,790161,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706752000,"{'value': 720000, 'currency': 'EUR'}",,27,True,9.0,7.0,,,0.0,3.0,,1.0,,,,,,45.0,16.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",3.0,,1.0,1.0,,1.0,,,,,,,1.0,1.0,,,,,,,1.0,,,,Atlético Nacional,away,
Elkin Rivero,,,elkin-rivero,E. Rivero,M,26,,70,1940903,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1140998400,,,26,True,21.0,16.0,3.0,1.0,0.0,1.0,,1.0,,,,,,31.0,25.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",,1.0,,3.0,,,,,1.0,,2.0,,,1.0,,,,,,,,,,,Atlético Nacional,away,
Faber Andrés Gil,,,faber-andres-gil,F. A. Gil,M,7,178.0,148,831377,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796003200,"{'value': 665000, 'currency': 'EUR'}",,7,True,3.0,3.0,,,0.0,1.0,,1.0,,,,,,16.0,5.0,6.8,,"{'original': 6.8, 'alternative': None}",,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,Atlético Nacional,away,
Alfredo Morelos,,,alfredo-morelos,A. Morelos,F,9,177.0,2269,831085,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835315200,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موريلوس', 'hi': 'ए. मोरेलोस', 'bn': 'এ. মোরেলোস'}}",9,True,4.0,3.0,,,0.0,1.0,,,,,,,,16.0,8.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,1.0,,,,Atlético Nacional,away,
Sebastián Guzmán,,,sebastian-guzman,S. Guzmán,M,32,177.0,110,924567,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,864604800,"{'value': 720000, 'currency': 'EUR'}",,32,True,9.0,9.0,,,0.0,,,,,,,,,14.0,9.0,6.4,,"{'original': 6.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,away,
Harlen Castillo,,,harlen-castillo,H. Castillo,G,15,188.0,130,924907,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745545600,"{'value': 330000, 'currency': 'EUR'}",,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,away,
Juan Felipe Aguirre,,,juan-felipe-aguirre,J. F. Aguirre,D,3,186.0,135,925173,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,841276800,"{'value': 825000, 'currency': 'EUR'}",,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,away,
