name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,aerialWon,duelLost,totalContest,wonContest,onTargetScoringAttempt,interceptionWon,totalTackle,fouls,challengeLost,outfielderBlock,keyPass,blockedScoringAttempt,shotOffTarget,bigChanceMissed,dispossessed,bigChanceCreated,captain,team,teamType,goodHighClaim,totalOffside
Sebastián Rodríguez,,,sebastian-rodriguez,S. Rodríguez,D,2,185.0,11,931697,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,975801600,"{'value': 245000, 'currency': 'EUR'}",,2,False,30.0,21.0,8.0,3.0,0.0,3.0,3.0,,,,90.0,39.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",1.0,,,3.0,2.0,,,1.0,1.0,,2.0,,,,,,,,,,Rionegro Águilas Doradas,away,,
Nicolás Lara,Nicolás Lara,,nicolas-lara,N. Lara,D,30,184.0,16,1173828,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045958400,"{'value': 160000, 'currency': 'EUR'}",,30,False,38.0,29.0,7.0,3.0,0.0,4.0,6.0,1.0,,,90.0,49.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",,,1.0,2.0,3.0,,,,1.0,1.0,2.0,,1.0,,,,,,,,Rionegro Águilas Doradas,away,,
Javier Alexander Mena,,,mena-javier-alexander,J. A. Mena,D,32,,8,1544743,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1102032000,,,32,False,23.0,19.0,3.0,1.0,0.0,3.0,5.0,,,,90.0,43.0,6.9,10.0,"{'original': 6.9, 'alternative': None}",,,1.0,2.0,6.0,,,,,1.0,1.0,2.0,,1.0,,,,2.0,,,Rionegro Águilas Doradas,away,,1.0
Fredy Salazar,,,fredy-salazar,F. Salazar,F,20,178.0,87,822092,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796694400,"{'value': 855000, 'currency': 'EUR'}",,20,False,40.0,28.0,7.0,3.0,0.0,6.0,1.0,4.0,,,89.0,69.0,6.9,25.0,"{'original': 6.9, 'alternative': None}",7.0,1.0,,1.0,7.0,3.0,1.0,1.0,1.0,,2.0,1.0,,,1.0,1.0,,2.0,,,Rionegro Águilas Doradas,away,,
Guillermo Celis,,,guillermo-celis,G. Celis,M,28,177.0,89,329583,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,736819200,"{'value': 470000, 'currency': 'EUR'}",,28,False,33.0,31.0,2.0,1.0,0.0,5.0,,1.0,,,90.0,39.0,7.1,2.0,"{'original': 7.1, 'alternative': None}",,,,1.0,1.0,,,,,3.0,1.0,,,1.0,,,,,,True,Rionegro Águilas Doradas,away,,
Harrinson Mancilla,,,harrinson-mancilla,H. Mancilla,M,27,174.0,27,869952,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693360000,"{'value': 49000, 'currency': 'EUR'}",,27,False,28.0,20.0,5.0,4.0,0.0,2.0,,1.0,,,90.0,37.0,6.5,13.0,"{'original': 6.5, 'alternative': None}",,,,,6.0,1.0,,,1.0,1.0,3.0,,1.0,,,,,2.0,,,Rionegro Águilas Doradas,away,,
Johan Caballero,,,johan-caballero,J. Caballero,F,23,185.0,31,925252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895190400,"{'value': 340000, 'currency': 'EUR'}",,23,False,22.0,16.0,3.0,,0.0,3.0,,2.0,,,72.0,36.0,6.8,10.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,,,3.0,1.0,,1.0,,1.0,2.0,,1.0,1.0,1.0,,,,,,Rionegro Águilas Doradas,away,,
Yony González,,,yony-gonzalez,Y. González,F,11,182.0,356,351432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773884800,"{'value': 545000, 'currency': 'EUR'}",,11,False,26.0,20.0,2.0,2.0,0.0,7.0,2.0,2.0,,,81.0,40.0,7.5,10.0,"{'original': 7.5, 'alternative': None}",,,2.0,3.0,5.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,2.0,,2.0,,,Rionegro Águilas Doradas,away,,
Jesús Rivas,,,jesus-rivas,J. Rivas,M,22,175.0,56,882616,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,860284800,"{'value': 820000, 'currency': 'EUR'}",,22,True,12.0,8.0,2.0,,0.0,3.0,,,,,18.0,20.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,,1.0,1.0,,,,2.0,2.0,1.0,,,,1.0,,,,,,Rionegro Águilas Doradas,away,,
Antony Vásquez,Antony Vásquez,,antony-vasquez,A. Vásquez,F,9,178.0,25,1139960,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1025308800,,,9,True,1.0,1.0,,,0.0,,,,,,9.0,4.0,6.3,2.0,"{'original': 6.3, 'alternative': None}",,,4.0,,5.0,,,,,,,,,,,,,1.0,,,Rionegro Águilas Doradas,away,,
Royner Benitez,Royner Benitez,,benitez-royner,R. Benitez,M,90,173.0,75,1466673,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1119312000,"{'value': 53000, 'currency': 'EUR'}",,90,True,,,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,
Sebastián Guerra,,,sebastian-guerra,S. Guerra,G,34,183.0,33,931709,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,978912000,"{'value': 52000, 'currency': 'EUR'}",,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,
Jhojan Escobar,Jhojan Escobar,,jhojan-escobar,J. Escobar,D,6,175.0,4,1174885,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,947894400,"{'value': 140000, 'currency': 'EUR'}",,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,
Tomás Salazar,,,tomas-salazar,T. Salazar,M,8,178.0,8,979933,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960508800,"{'value': 52000, 'currency': 'EUR'}",,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,
Auli Oliveros,,,auli-oliveros,A. Oliveros,M,33,175.0,43,1015631,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,996624000,"{'value': 230000, 'currency': 'EUR'}",,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,
