name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,aerialWon,duelLost,duelWon,dispossessed,shotOffTarget,totalClearance,outfielderBlock,interceptionWon,totalTackle,wasFouled,fouls,totalOffside,totalContest,wonContest,totalCross,accurateCross,challengeLost,onTargetScoringAttempt,keyPass,captain,team,teamType,fieldTranslations,punches,totalKeeperSweeper,accurateKeeperSweeper,blockedScoringAttempt
Emanuel Olivera,emanuel-olivera,E. Olivera,D,18,180.0,53,129500,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,639014400,"{'value': 470000, 'currency': 'EUR'}",,,5,False,39.0,22.0,17.0,4.0,0.0,,,90.0,49.0,6.7,17.0,"{'original': 6.7, 'alternative': None}",1.0,2.0,3.0,4.0,,,3.0,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,Independiente Santa Fe,away,,,,,1.0
Jeison Angulo,jeison-angulo,J. Angulo,D,24,182.0,42,589390,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835833600,"{'value': 310000, 'currency': 'EUR'}",,,24,False,26.0,14.0,6.0,,0.0,,,90.0,44.0,6.7,17.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,2.0,1.0,,1.0,1.0,,,,,1.0,,,,2.0,,,,,,Independiente Santa Fe,away,,,,,
Ewil Murillo,renteria-ewil-hernando-murillo,E. Murillo,M,21,180.0,31,1088687,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,961545600,"{'value': 380000, 'currency': 'EUR'}",,,21,False,7.0,5.0,,,0.0,,,58.0,17.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",,1.0,5.0,4.0,,,,,,2.0,1.0,4.0,,1.0,,1.0,,,,,,Independiente Santa Fe,away,,,,,
Daniel Torres,daniel-torres,D. Torres,M,16,186.0,225,125813,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,627091200,"{'value': 260000, 'currency': 'EUR'}",,,16,False,28.0,20.0,6.0,2.0,0.0,,,90.0,41.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,4.0,4.0,,2.0,2.0,,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,,,,Independiente Santa Fe,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. توريس', 'hi': 'डी. टोरेस', 'bn': 'ডি. টরেস'}}",,,,
Harold Santiago Mosquera,harold-mosquera,H. S. Mosquera,F,23,168.0,161,836164,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792115200,"{'value': 680000, 'currency': 'EUR'}",,,23,False,15.0,11.0,2.0,,0.0,,,77.0,29.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",1.0,,3.0,4.0,2.0,,1.0,,,2.0,1.0,,,1.0,1.0,2.0,,,1.0,,,Independiente Santa Fe,away,,,,,
Alexis Zapata,alexis-zapata,A. Zapata,M,10,179.0,105,353296,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,800064000,"{'value': 670000, 'currency': 'EUR'}",,,10,False,22.0,16.0,1.0,1.0,0.0,,,77.0,34.0,6.5,15.0,"{'original': 6.5, 'alternative': None}",2.0,1.0,5.0,1.0,1.0,,,,1.0,,,,,2.0,,6.0,1.0,,,1.0,,Independiente Santa Fe,away,,,,,
Omar Fernández,omar-fernandez,O. Fernández,M,8,166.0,128,805265,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729388800,"{'value': 945000, 'currency': 'EUR'}",,,8,False,21.0,13.0,1.0,,0.0,,,90.0,34.0,7.2,10.0,"{'original': 7.2, 'alternative': None}",,,1.0,5.0,,,,,2.0,1.0,3.0,,,1.0,1.0,3.0,1.0,1.0,,1.0,,Independiente Santa Fe,away,,,,,
Hugo Rodallega,hugo-rodallega,H. Rodallega,F,11,181.0,923,15668,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,491097600,"{'value': 48000, 'currency': 'EUR'}",,,11,False,7.0,5.0,1.0,1.0,0.0,,,58.0,15.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",2.0,1.0,6.0,2.0,1.0,1.0,1.0,,,,1.0,2.0,,,,,,1.0,,,True,Independiente Santa Fe,away,,,,,2.0
Jhon Meléndez,jhon-melendez,J. Meléndez,D,5,183.0,23,1174999,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010707200,"{'value': 330000, 'currency': 'EUR'}",Jhon Meléndez,,18,True,12.0,9.0,,,0.0,,,45.0,30.0,6.6,9.0,"{'original': 6.6, 'alternative': None}",2.0,1.0,5.0,4.0,1.0,,,,,2.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,Independiente Santa Fe,away,,,,,
Johan Torres,johan-torres,J. Torres,M,14,178.0,106,1394757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1094515200,"{'value': 1100000, 'currency': 'EUR'}",Johan Torres,,14,True,7.0,4.0,2.0,,0.0,,,32.0,12.0,6.4,7.0,"{'original': 6.4, 'alternative': None}",,,4.0,,,1.0,,,,,,3.0,,1.0,,,,,,,,Independiente Santa Fe,away,,,,,
Ángelo Rodríguez,angelo-rodriguez,Á. Rodríguez,F,9,182.0,122,819171,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,607651200,"{'value': 265000, 'currency': 'EUR'}",,,9,True,3.0,2.0,1.0,,0.0,,,22.0,7.0,6.0,3.0,"{'original': 6, 'alternative': None}",,,2.0,2.0,,,,,,1.0,1.0,2.0,,,,,,,,1.0,,Independiente Santa Fe,away,,,,,
Christian Mafla,christian-mafla,C. Mafla,D,32,175.0,31,340757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727056000,"{'value': 240000, 'currency': 'EUR'}",,,32,True,,,,,0.0,,,13.0,1.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away,,,,,
Lucas Ríos,lucas-rios,L. Ríos,M,29,176.0,49,974224,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,889315200,"{'value': 620000, 'currency': 'EUR'}",,,29,True,9.0,5.0,1.0,1.0,0.0,,,13.0,12.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",1.0,,1.0,2.0,,,,,,1.0,,,,1.0,1.0,,,,,,,Independiente Santa Fe,away,,,,,
Andrés Mehring,andres-mehring,A. Mehring,G,,191.0,24,332773,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,766713600,"{'value': 275000, 'currency': 'EUR'}",,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away,,,,,
Victor Moreno,victor-moreno,V. Moreno,D,3,180.0,13,1100346,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,782870400,"{'value': 540000, 'currency': 'EUR'}",,,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away,,,,,
