name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,goalAssist,totalClearance,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,accurateLongBalls,totalCross,accurateCross,duelLost,challengeLost,dispossessed,shotOffTarget,blockedScoringAttempt,outfielderBlock,interceptionWon,fouls,keyPass,aerialLost,duelWon,totalTackle,wasFouled,aerialWon,onTargetScoringAttempt,goals,totalContest,wonContest,captain,team,teamType,fieldTranslations,savedShotsFromInsideTheBox,totalKeeperSweeper,accurateKeeperSweeper,bigChanceCreated,bigChanceMissed,totalOffside
Jaider Riquett,jaider-riquett,J. Riquett,D,18,184.0,11,924615,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,642297600,"{'value': 215000, 'currency': 'EUR'}",,,18,False,24.0,21.0,2.0,0.0,2.0,,90.0,30.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",1.0,,,3.0,,,,,,1.0,2.0,,1.0,4.0,,3.0,1.0,,,,,,Once Caldas,away,,,,,,,
Juan Patiño,juan-patino,J. Patiño,D,33,184.0,31,973722,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,905385600,"{'value': 605000, 'currency': 'EUR'}",,,33,False,44.0,37.0,4.0,0.0,1.0,,90.0,62.0,7.1,11.0,"{'original': 7.1, 'alternative': None}",1.0,4.0,2.0,1.0,,1.0,,1.0,2.0,,,2.0,,4.0,,1.0,2.0,,,1.0,1.0,,Once Caldas,away,,,,,1.0,,
Mateo García,mateo-garcia,M. García,M,19,178.0,78,950544,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904262400,"{'value': 955000, 'currency': 'EUR'}",,,19,False,47.0,38.0,6.0,0.0,,,76.0,55.0,6.7,11.0,"{'original': 6.7, 'alternative': None}",2.0,,,2.0,,,1.0,1.0,1.0,,1.0,,,2.0,,1.0,,,,2.0,1.0,,Once Caldas,away,,,,,,,
Iván Rojas,ivan-rojas,I. Rojas,M,5,177.0,27,834989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869702400,"{'value': 670000, 'currency': 'EUR'}",,,5,False,27.0,21.0,3.0,0.0,1.0,,70.0,35.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",1.0,,,2.0,,,,1.0,,,2.0,,,4.0,3.0,,1.0,,,,,,Once Caldas,away,,,,,,,
Jefry Zapata,jefry-zapata,J. Zapata,M,14,176.0,54,1478221,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949536000,"{'value': 570000, 'currency': 'EUR'}",Jefry Zapata,,14,False,38.0,30.0,1.0,1.0,,,60.0,49.0,7.7,10.0,"{'original': 7.7, 'alternative': None}",,1.0,1.0,2.0,1.0,,1.0,,,,,3.0,1.0,7.0,2.0,1.0,2.0,1.0,,2.0,2.0,,Once Caldas,away,,,,,1.0,1.0,
Alejandro García,alejandro-garcia,A. García,M,20,185.0,85,912291,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,983318400,"{'value': 835000, 'currency': 'EUR'}",,,20,False,35.0,30.0,2.0,0.0,1.0,,90.0,57.0,6.9,19.0,"{'original': 6.9, 'alternative': None}",2.0,11.0,1.0,6.0,,1.0,,,,1.0,3.0,1.0,1.0,4.0,1.0,3.0,,,,1.0,,,Once Caldas,away,,,,,,,
Michael Barrios,michael-barrios,M. Barrios,M,7,163.0,232,791545,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,672192000,"{'value': 570000, 'currency': 'EUR'}",,,7,False,11.0,8.0,,0.0,,,70.0,24.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",,1.0,,2.0,,,,1.0,,,,,,3.0,1.0,2.0,,1.0,,2.0,,,Once Caldas,away,,,,,,,1.0
Dayro Moreno,dayro-moreno,D. Moreno,F,17,178.0,1671,31715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,495676800,"{'value': 95000, 'currency': 'EUR'}",,,17,False,14.0,13.0,3.0,0.0,2.0,,76.0,24.0,7.7,4.0,"{'original': 7.7, 'alternative': None}",3.0,1.0,,2.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,1.0,3.0,1.0,,,True,Once Caldas,away,,,,,,,
Luis Palacios,palacios-luis,L. Palacios,M,24,181.0,31,1130300,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,986860800,"{'value': 370000, 'currency': 'EUR'}",,,24,True,2.0,2.0,,0.0,,,30.0,5.0,6.3,2.0,"{'original': 6.3, 'alternative': None}",,,,3.0,,,,,,,1.0,,1.0,,,,,,,1.0,,,Once Caldas,away,,,,,,,
Juan Diaz,juan-diaz,J. Diaz,M,6,180.0,24,1067475,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,990316800,"{'value': 195000, 'currency': 'EUR'}",,,6,True,19.0,15.0,2.0,0.0,,,20.0,20.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",1.0,,,2.0,,,1.0,,,,2.0,,,,,,,,,,,,Once Caldas,away,,,,,,,
Mateo Zuleta,mateo-zuleta,M. Zuleta,M,28,170.0,80,1651712,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1023408000,"{'value': 405000, 'currency': 'EUR'}",Mateo,Zuleta,28,True,7.0,5.0,,0.0,,,20.0,12.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",,2.0,1.0,,,,,,,,,2.0,,2.0,,1.0,,,,1.0,1.0,,Once Caldas,away,,,,,,,
Johan Esteban Beltran Montaño,johan-esteban-beltran-montano,J. E. B. Montaño,M,8,178.0,21,1099609,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800,,,,8,True,7.0,4.0,,0.0,,,14.0,11.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,,,1.0,,,,1.0,,,,,,2.0,,2.0,,,,1.0,,,Once Caldas,away,,,,,,,
Gilbert Álvarez,gilbert-alvarez,G. Álvarez,F,9,187.0,185,805363,"{'alpha2': 'BO', 'alpha3': 'BOL', 'name': 'Bolivia', 'slug': 'bolivia'}",EUR,702604800,"{'value': 235000, 'currency': 'EUR'}",,,9,True,1.0,,,0.0,,,14.0,3.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,,1.0,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,Once Caldas,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. ألفاريز', 'hi': 'जी. अल्वारेज़', 'bn': 'জি. আলভারেজ'}}",,,,,,
Felipe Parra,felipe-parra,F. Parra,G,35,186.0,47,1017365,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960595200,"{'value': 410000, 'currency': 'EUR'}",,,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,away,,,,,,,
Juan Castaño,castano-zuluaga-juan-felipe,J. Castaño,D,15,181.0,20,1653077,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904348800,"{'value': 235000, 'currency': 'EUR'}",,,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,away,,,,,,,
