name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,interceptionWon,fouls,keyPass,challengeLost,shotOffTarget,blockedScoringAttempt,outfielderBlock,wasFouled,totalTackle,totalOffside,totalContest,wonContest,dispossessed,onTargetScoringAttempt,goals,captain,team,teamType,bigChanceCreated,bigChanceMissed
Juan Castilla,,,juan-castilla,J. Castilla,M,13,172.0,177,1025325,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1090886400,"{'value': 440000, 'currency': 'EUR'}",,13,False,24.0,19.0,1.0,,0.0,1.0,,,,,,68.0,30.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",2.0,,,1.0,,2.0,,,1.0,,1.0,,,1.0,,,,,,,,,Deportivo Pasto,away,,
Felipe Jaramillo,,,felipe-jaramillo,F. Jaramillo,M,17,185.0,31,924429,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,829785600,"{'value': 310000, 'currency': 'EUR'}",,17,False,33.0,26.0,2.0,1.0,0.0,1.0,,,,,,90.0,42.0,6.9,8.0,"{'original': 6.9, 'alternative': None}",,,1.0,,3.0,2.0,2.0,2.0,1.0,,,,1.0,2.0,,,,,,,,,Deportivo Pasto,away,1.0,
Johan Caicedo,Johan Caicedo,,johan-caicedo,J. Caicedo,M,6,,53,1170681,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1079049600,"{'value': 455000, 'currency': 'EUR'}",,6,False,6.0,4.0,2.0,,0.0,,,,,,,23.0,8.0,6.4,2.0,"{'original': 6.4, 'alternative': None}",,,,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,Deportivo Pasto,away,,
Gustavo Torres,,,gustavo-torres,G. Torres,M,9,181.0,94,886720,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,834796800,"{'value': 320000, 'currency': 'EUR'}",,9,False,5.0,4.0,,,0.0,1.0,,,,,,60.0,11.0,6.4,4.0,"{'original': 6.4, 'alternative': None}",,,3.0,2.0,6.0,3.0,,2.0,,,,,,,1.0,,,,1.0,,,,Deportivo Pasto,away,,
Diego Castillo,Diego Castillo,,castillo-diego,D. Castillo,F,19,,18,1175044,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,938649600,"{'value': 325000, 'currency': 'EUR'}",,19,False,10.0,5.0,,,0.0,,,,,,,90.0,20.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",,,6.0,1.0,9.0,3.0,,1.0,1.0,1.0,1.0,2.0,,,,2.0,2.0,2.0,1.0,1.0,,,Deportivo Pasto,away,,
Gustavo Charrupi,,,charrupi-gustavo,G. Charrupi,M,8,,18,1514218,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1090454400,,,8,True,20.0,15.0,3.0,1.0,0.0,,,,,,,67.0,26.0,6.3,8.0,"{'original': 6.3, 'alternative': None}",,,4.0,,9.0,,1.0,3.0,,1.0,1.0,,,,,,1.0,,,,,,Deportivo Pasto,away,,
Déinner Quiñones,,,deinner-quinones,D. Quiñones,M,70,172.0,95,846799,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,808531200,"{'value': 515000, 'currency': 'EUR'}",,70,True,14.0,10.0,1.0,,0.0,,,,,,,30.0,22.0,6.5,9.0,"{'original': 6.5, 'alternative': None}",2.0,,,,3.0,3.0,,,1.0,,,,,3.0,,,2.0,,1.0,,,,Deportivo Pasto,away,,
Facundo Boné,,,facundo-bone,F. Boné,M,77,176.0,84,924738,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,816480000,"{'value': 280000, 'currency': 'EUR'}",,77,True,5.0,4.0,,,0.0,,,,,,,22.0,12.0,6.2,4.0,"{'original': 6.2, 'alternative': None}",1.0,,3.0,1.0,6.0,2.0,1.0,1.0,,,,,,1.0,,,2.0,,,1.0,,,Deportivo Pasto,away,,1.0
Yair Arboleda,,,yair-arboleda,Y. Arboleda,F,31,178.0,21,818654,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,828835200,"{'value': 160000, 'currency': 'EUR'}",,31,True,6.0,6.0,,,0.0,,,,,,,22.0,13.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,,1.0,,2.0,1.0,,,,,,,,1.0,,,,,1.0,,,,Deportivo Pasto,away,,
Kevin Lopez,Kevin Lopez,,kevin-lopez,K. Lopez,G,33,,3,1210706,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1044576000,,,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,away,,
Brayan Carabalí,,,brayan-carabali,B. Carabalí,D,2,188.0,19,974303,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919900800,"{'value': 385000, 'currency': 'EUR'}",,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,away,,
Juan Franco,Juan Franco,,juan-franco,J. Franco,D,15,178.0,27,1102277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1009929600,"{'value': 165000, 'currency': 'EUR'}",,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,away,,
