name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,totalContest,wonContest,blockedScoringAttempt,totalTackle,fouls,aerialLost,aerialWon,interceptionWon,ownGoals,wasFouled,keyPass,outfielderBlock,accurateCross,challengeLost,dispossessed,shotOffTarget,totalOffside,onTargetScoringAttempt,hitWoodwork,goals,captain,team,teamType,punches,bigChanceCreated
Anderson Angulo,anderson-angulo,A. Angulo,D,2,187,24,925127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,828316800,"{'value': 570000, 'currency': 'EUR'}",,,,2,False,14.0,12.0,1.0,,0.0,8.0,,,90.0,28.0,7.1,2.0,"{'original': 7.1, 'alternative': None}",,,3.0,1.0,1.0,,2.0,,,,1.0,,,,1.0,,,,,,,,,,Deportes Tolima,away,,
Junior Hernández,junior-hernandez,J. Hernández,D,20,172,78,973723,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,923270400,"{'value': 1200000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. هيرنانديز', 'hi': 'जे. हर्नांडेज़', 'bn': 'জে হার্নান্দেজ'}}",20,False,27.0,24.0,6.0,4.0,1.0,6.0,,,90.0,49.0,7.4,7.0,"{'original': 7.4, 'alternative': None}",2.0,4.0,2.0,1.0,,,2.0,1.0,1.0,,,,,4.0,,1.0,1.0,,,,,,,,Deportes Tolima,away,,1.0
Jersson González,jersson-gonzalez,J. González,M,7,172,87,1014824,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1000512000,"{'value': 955000, 'currency': 'EUR'}",,,,7,False,8.0,7.0,1.0,1.0,0.0,1.0,,,72.0,25.0,6.5,11.0,"{'original': 6.5, 'alternative': None}",2.0,6.0,4.0,2.0,1.0,1.0,,1.0,,,,,3.0,,,,1.0,3.0,,,1.0,,,,Deportes Tolima,away,,
Brayan Rovira,brayan-rovira,B. Rovira,M,80,177,90,818941,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,849484800,"{'value': 640000, 'currency': 'EUR'}",,,,80,False,30.0,28.0,3.0,2.0,0.0,2.0,,,83.0,42.0,7.4,5.0,"{'original': 7.4, 'alternative': None}",2.0,2.0,3.0,,,,3.0,1.0,,,1.0,,,,1.0,,1.0,,,,1.0,,,,Deportes Tolima,away,,
Juan Pablo Nieto,juan-pablo-nieto,J. P. Nieto,M,15,178,40,338861,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730598400,"{'value': 470000, 'currency': 'EUR'}",,,,15,False,29.0,26.0,3.0,3.0,0.0,1.0,,,72.0,37.0,6.9,4.0,"{'original': 6.9, 'alternative': None}",,6.0,3.0,,,,2.0,4.0,1.0,,,,1.0,,,,1.0,,1.0,,1.0,,,True,Deportes Tolima,away,,
Alex Castro,alex-castro,A. Castro,M,23,170,75,818930,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,763084800,"{'value': 535000, 'currency': 'EUR'}",,,,23,False,45.0,35.0,2.0,1.0,0.0,1.0,,,90.0,76.0,6.8,27.0,"{'original': 6.8, 'alternative': None}",10.0,8.0,3.0,8.0,2.0,,,,,,1.0,,1.0,3.0,,3.0,,2.0,,,1.0,,,,Deportes Tolima,away,,
Adrián Parra,adrian-parra,A. Parra,F,24,178,85,830255,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853372800,"{'value': 535000, 'currency': 'EUR'}",,,,24,False,33.0,29.0,3.0,2.0,0.0,1.0,,,87.0,47.0,8.8,7.0,"{'original': 8.8, 'alternative': None}",,4.0,4.0,,,2.0,1.0,4.0,,,1.0,,3.0,1.0,,,,,,,2.0,,2.0,,Deportes Tolima,away,,
Gonzalo Lencina,gonzalo-lencina,G. Lencina,F,11,178,504,974691,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,877132800,"{'value': 825000, 'currency': 'EUR'}",,,,11,False,10.0,7.0,,,0.0,,,,45.0,16.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",,4.0,1.0,,,,,1.0,2.0,,,,1.0,1.0,1.0,,,1.0,,,1.0,,,,Deportes Tolima,away,,
Gustavo Ramírez,gustavo-ramirez,G. Ramírez,F,27,181,86,827792,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,642556800,"{'value': 145000, 'currency': 'EUR'}",,,,27,True,10.0,8.0,1.0,,0.0,,,,45.0,19.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",,1.0,1.0,,,,,,,1.0,1.0,,,,1.0,,1.0,,1.0,1.0,1.0,,,,Deportes Tolima,away,,
Ever Valencia,ever-valencia,E. Valencia,M,8,175,55,819152,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853977600,"{'value': 410000, 'currency': 'EUR'}",,,,8,True,7.0,7.0,,,0.0,,,,18.0,11.0,6.2,4.0,"{'original': 6.2, 'alternative': None}",,3.0,,1.0,,,,,,,,,,,,,,2.0,,,,,,,Deportes Tolima,away,,
Cristian Trujillo,cristian-trujillo,C. Trujillo,M,6,174,23,931707,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,902620800,"{'value': 580000, 'currency': 'EUR'}",,,,6,True,12.0,8.0,4.0,1.0,0.0,,,,18.0,16.0,6.3,6.0,"{'original': 6.3, 'alternative': None}",,2.0,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,Deportes Tolima,away,,
Cristian Arrieta,cristian-arrieta,C. Arrieta,M,71,170,27,819133,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,820627200,"{'value': 605000, 'currency': 'EUR'}",,,,71,True,8.0,7.0,,,0.0,,,,14.0,10.0,6.3,3.0,"{'original': 6.3, 'alternative': None}",,2.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,Deportes Tolima,away,,
Julián Quiñones,julian-quinones,J. Quiñones,D,3,198,32,125910,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,626227200,"{'value': 160000, 'currency': 'EUR'}",,,,3,True,3.0,1.0,1.0,,0.0,1.0,,,10.0,5.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,1.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,Deportes Tolima,away,,
William Cuesta,william-cuesta,W. Cuesta,G,1,195,23,339369,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730080000,"{'value': 270000, 'currency': 'EUR'}",,,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,,
Andrés Arroyo,andres-arroyo,A. Arroyo,M,25,171,135,978706,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1011484800,"{'value': 370000, 'currency': 'EUR'}",,,,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,,
