name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelLost,challengeLost,totalContest,totalTackle,aerialLost,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,goals,outfielderBlock,interceptionWon,fouls,keyPass,dispossessed,bigChanceMissed,accurateCross,bigChanceCreated,totalOffside,wonContest,captain,team,teamType,punches
Guillermo Tegüe,,,guillermo-tegue,G. Tegüe,D,4,186.0,8,906007,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949795200.0,"{'value': 315000, 'currency': 'EUR'}",,4,False,22.0,17.0,2.0,,0.0,5.0,9.0,2.0,,,90.0,39.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,1.0,1.0,,,2.0,1.0,,1.0,,,,,,,,,,,,,,Deportivo La Equidad,away,
Brayan Montaño,,,brayan-montano,B. Montaño,D,24,176.0,25,1003376,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1020297600.0,"{'value': 340000, 'currency': 'EUR'}",,24,False,33.0,29.0,4.0,3.0,0.0,4.0,7.0,,,,90.0,47.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,3.0,2.0,,1.0,,1.0,1.0,,,,1.0,,,,1.0,,,,,1.0,,Deportivo La Equidad,away,
Felipe Acosta,,,felipe-acosta,F. Acosta,M,14,190.0,15,924302,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,769824000.0,"{'value': 580000, 'currency': 'EUR'}",,14,False,35.0,28.0,3.0,1.0,0.0,5.0,,2.0,,,90.0,48.0,6.5,13.0,"{'original': 6.5, 'alternative': None}",,2.0,3.0,,,1.0,1.0,1.0,,1.0,,,1.0,,,2.0,,,,,,,Deportivo La Equidad,away,
Santiago Orozco,,,santiago-orozco,S. Orozco,M,6,172.0,8,1016205,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,826934400.0,"{'value': 270000, 'currency': 'EUR'}",,6,False,51.0,36.0,8.0,2.0,0.0,8.0,1.0,3.0,,,90.0,67.0,7.2,16.0,"{'original': 7.2, 'alternative': None}",1.0,,4.0,,,5.0,1.0,,,,,,,3.0,4.0,,,1.0,,,,,Deportivo La Equidad,away,
Andres Correa,,,andres-correa,A. Correa,D,3,174.0,10,329607,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,759801600.0,"{'value': 380000, 'currency': 'EUR'}",,3,False,18.0,16.0,2.0,1.0,1.0,1.0,,,,,77.0,28.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",2.0,,2.0,,,1.0,,,,,,1.0,3.0,1.0,1.0,1.0,,,,,,True,Deportivo La Equidad,away,
Beckham Castro,Beckham Castro,,beckham-castro,B. Castro,F,11,176.0,129,1173560,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1063324800.0,"{'value': 760000, 'currency': 'EUR'}",,11,False,5.0,2.0,,,0.0,3.0,,,,,28.0,11.0,7.6,4.0,"{'original': 7.6, 'alternative': None}",,,,,1.0,2.0,,1.0,1.0,,1.0,,,,,,,,,,1.0,,Deportivo La Equidad,away,
Renan Oliveira,,,renan-oliveira,R. Oliveira,F,9,186.0,263,888598,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,863049600.0,"{'value': 575000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ر. أوليفيرا', 'hi': 'आर. ओलिवेरा', 'bn': 'আর. অলিভেইরা'}}",9,False,14.0,10.0,1.0,,0.0,1.0,,1.0,,,65.0,17.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,,4.0,,,,2.0,,1.0,,,,,2.0,,,,,,,,,Deportivo La Equidad,away,
Samir Mayo,,,mayo-samir,S. Mayo,M,16,,19,1476921,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1043884800.0,"{'value': 335000, 'currency': 'EUR'}",,16,False,20.0,16.0,,,0.0,6.0,,3.0,,,65.0,34.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",4.0,,3.0,,2.0,2.0,,,,,,,,1.0,3.0,1.0,,1.0,,,1.0,,Deportivo La Equidad,away,
Santiago Lopez,Santiago López,,lopez-santiago,S. López,M,8,,10,1512397,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013212800.0,,,25,True,15.0,12.0,1.0,1.0,0.0,5.0,,2.0,,,49.0,26.0,6.5,9.0,"{'original': 6.5, 'alternative': None}",,,3.0,,3.0,2.0,,,,,,,,2.0,1.0,,,,,,1.0,,Deportivo La Equidad,away,
Fabian Chaverra,Fabian Chaverra,,fabian-chaverra,F. Chaverra,M,28,,10,1818123,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1084233600.0,,,28,True,6.0,6.0,,,0.0,,,,,,25.0,15.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",3.0,,1.0,,1.0,,,2.0,,,,,,,1.0,,,2.0,,,,,Deportivo La Equidad,away,
Bayron Caicedo,Bayron Caicedo,,bayron-caicedo,B. Caicedo,,27,,3,1862738,{},EUR,,,,27,True,2.0,2.0,1.0,1.0,0.0,1.0,,1.0,,,25.0,5.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,1.0,,,,1.0,,,,,,,,,,,,,,,,Deportivo La Equidad,away,
Ayron Del Valle,,,ayron-del-valle,A. D. Valle,F,7,178.0,97,47735,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,601862400.0,"{'value': 160000, 'currency': 'EUR'}",,7,True,2.0,1.0,,,0.0,1.0,,1.0,,,13.0,10.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",2.0,,2.0,,1.0,,,,1.0,1.0,,,,,,1.0,,,,,,,Deportivo La Equidad,away,
Wilmar Cruz,,,wilmar-cruz,W. Cruz,F,10,171.0,31,925131,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,743731200.0,"{'value': 260000, 'currency': 'EUR'}",,10,True,7.0,7.0,,,0.0,3.0,,2.0,,,13.0,14.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",,,2.0,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,Deportivo La Equidad,away,
Cristopher Varela,,,cristopher-varela,C. Varela,G,1,189.0,59,868776,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,943660800.0,"{'value': 400000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. فاريلّا', 'hi': 'सी. वेरेला', 'bn': 'সি. ভারেলা'}}",1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,
Daniel Polanco,Daniel Polanco,,daniel-polanco,D. Polanco,D,2,,5,1170892,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400.0,,,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,
