name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,fieldTranslations,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,challengeLost,totalContest,totalClearance,interceptionWon,totalTackle,keyPass,aerialLost,shotOffTarget,outfielderBlock,wasFouled,fouls,aerialWon,onTargetScoringAttempt,bigChanceCreated,bigChanceMissed,hitWoodwork,goals,dispossessed,accurateCross,totalOffside,blockedScoringAttempt,captain,team,teamType,punches,wonContest
José Caldera,jose-caldera,J. Caldera,D,12,185.0,41,1127886,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1012780800,"{'value': 470000, 'currency': 'EUR'}",José Caldera,,,12,False,27.0,23.0,3.0,2.0,0.0,,,90.0,37.0,7.1,4.0,"{'original': 7.1, 'alternative': None}",,1.0,4.0,,,3.0,1.0,2.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,Deportivo Cali,away,,
Cristian Graciano,graciano-cristian,C. Graciano,D,44,176.0,28,1476923,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1052784000,"{'value': 325000, 'currency': 'EUR'}",,,,44,False,26.0,20.0,6.0,1.0,0.0,,,45.0,36.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",,1.0,2.0,,,4.0,3.0,,,,,,,,2.0,,,,,,1.0,,,,,Deportivo Cali,away,,
Jarlan Barrera,jarlan-barrera,J. Barrera,M,7,171.0,286,796511,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,811209600,"{'value': 595000, 'currency': 'EUR'}",,,,7,False,7.0,6.0,,,0.0,,,19.0,10.0,3.0,4.0,"{'original': 3, 'alternative': None}",,2.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,Deportivo Cali,away,,
Victor Mejia,victor-mejia,V. Mejia,M,6,182.0,20,355878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,728784000,"{'value': 390000, 'currency': 'EUR'}",,,,6,False,32.0,28.0,1.0,,0.0,,,69.0,42.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",1.0,,3.0,,,1.0,,,,,,,3.0,,,,,,,,,,,,,Deportivo Cali,away,,
Rafael Bustamante,rafael-bustamante,R. Bustamante,M,5,176.0,37,934421,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,938822400,"{'value': 420000, 'currency': 'EUR'}",,,,5,False,58.0,51.0,4.0,1.0,0.0,,,90.0,68.0,7.1,8.0,"{'original': 7.1, 'alternative': None}",,1.0,6.0,,2.0,1.0,,2.0,1.0,,,,2.0,1.0,,,,,,,,,,1.0,,Deportivo Cali,away,,2.0
Yulián Gómez,yulian-gomez,Y. Gómez,D,26,170.0,30,891452,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,870652800,"{'value': 440000, 'currency': 'EUR'}",,,,26,False,17.0,14.0,,,0.0,,,90.0,29.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",1.0,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,Deportivo Cali,away,,
Jhon Cabal,cabal-jhon,J. Cabal,F,46,,13,1411619,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1065916800,,,,,46,False,11.0,9.0,1.0,,0.0,,,69.0,21.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",,7.0,3.0,,3.0,,,,1.0,3.0,1.0,,,2.0,,,,,,,3.0,,1.0,,,Deportivo Cali,away,,3.0
Andrey Estupiñán,andrey-estupinan,A. Estupiñán,F,11,175.0,124,944462,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773366400,"{'value': 320000, 'currency': 'EUR'}",,,,11,False,34.0,33.0,,,0.0,,,82.0,44.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",2.0,2.0,2.0,,,3.0,,,1.0,,,,1.0,2.0,1.0,1.0,,,,,,1.0,1.0,,,Deportivo Cali,away,,
Michael John Kamara,mj-kamara,M. Kamara,D,42,185.0,7,1890278,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1156982400,,,,,42,True,10.0,9.0,1.0,1.0,0.0,,,45.0,16.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,2.0,2.0,,,,1.0,2.0,,,,,,1.0,,,,,,,1.0,,,,,Deportivo Cali,away,,
Gian Cabezas,gian-cabezas,G. Cabezas,M,28,178.0,43,1099301,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1041379200,"{'value': 420000, 'currency': 'EUR'}",Gian Cabezas,,,28,True,15.0,14.0,2.0,1.0,0.0,,,21.0,17.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,Deportivo Cali,away,,
Juan Camilo Cantillo,juan-camilo-cantillo,J. C. Cantillo,F,18,175.0,17,1174880,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1041984000,"{'value': 105000, 'currency': 'EUR'}",Juan Camilo Cantillo,,,18,True,6.0,4.0,,,0.0,,,21.0,14.0,6.4,5.0,"{'original': 6.4, 'alternative': None}",,2.0,2.0,,1.0,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,Deportivo Cali,away,,
Emiliano Rodriguez,rodriguez-emiliano,E. Rodriguez,F,9,190.0,366,1177548,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,1058313600,"{'value': 1300000, 'currency': 'EUR'}",,,,9,True,4.0,4.0,,,0.0,,,21.0,9.0,6.3,5.0,"{'original': 6.3, 'alternative': None}",,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,Deportivo Cali,away,,
Juan Arango,juan-arango,J. Arango,F,17,,25,1616364,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1181952000,,Juan Arango,,,17,True,,,,,0.0,,,8.0,,6.4,,"{'original': 6.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,away,,
Gastón Guruceaga,gaston-guruceaga,G. Guruceaga,G,22,190.0,73,589614,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,795225600,"{'value': 380000, 'currency': 'EUR'}",,,,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,away,,
Javier Reina,javier-reina,J. Reina,M,10,173.0,58,590378,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,599875200,"{'value': 210000, 'currency': 'EUR'}",,,,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,away,,
