name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,shotOffTarget,totalClearance,totalTackle,keyPass,outfielderBlock,fouls,challengeLost,interceptionWon,accurateCross,dispossessed,wonContest,wasFouled,onTargetScoringAttempt,totalOffside,blockedScoringAttempt,captain,team,teamType
Elian Peralta,elian-peralta,E. Peralta,D,4,,3,1066612,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981590400.0,,,Elian Peralta,,4,False,16.0,9.0,9.0,2.0,0.0,,,,90.0,37.0,7.2,7.0,"{'original': 7.2, 'alternative': None}",,3.0,,4.0,1.0,,,17.0,1.0,,1.0,1.0,,2.0,,,,,,,,,Boyacá Chicó FC,away
Arlen Banguero,arlen-banguero,A. Banguero,D,26,,3,2035889,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,953856000.0,,,Arlen Banguero,,26,False,33.0,18.0,10.0,1.0,0.0,,,,90.0,44.0,6.9,16.0,"{'original': 6.9, 'alternative': None}",,,2.0,1.0,5.0,,1.0,4.0,2.0,,,1.0,,1.0,,,,1.0,,,,,Boyacá Chicó FC,away
Yael López,yael-lopez,Y. López,D,22,178.0,33,971249,"{'alpha2': 'CR', 'alpha3': 'CRI', 'name': 'Costa Rica', 'slug': 'costa-rica'}",EUR,913852800.0,"{'value': 205000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. لوبيز', 'hi': 'वाए. लोपेज़', 'bn': 'ওয়াই. লোপেজ'}}",,,22,False,20.0,19.0,1.0,1.0,0.0,,,,81.0,44.0,7.0,7.0,"{'original': 7, 'alternative': None}",3.0,3.0,,3.0,3.0,,,1.0,3.0,1.0,,,,,,,,,,,,,Boyacá Chicó FC,away
Frank Lozano,frank-lozano,F. Lozano,M,19,175.0,19,1015686,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745977600.0,"{'value': 340000, 'currency': 'EUR'}",,,,19,False,43.0,35.0,3.0,,0.0,,,,90.0,59.0,7.5,9.0,"{'original': 7.5, 'alternative': None}",,,2.0,,7.0,,,4.0,3.0,,1.0,,,3.0,,,,2.0,,,,True,Boyacá Chicó FC,away
Estefáno Arango,estefano-arango,E. Arango,M,24,170.0,35,819034,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758851200.0,"{'value': 195000, 'currency': 'EUR'}",,,,24,False,18.0,16.0,,,0.0,,,,80.0,44.0,7.1,14.0,"{'original': 7.1, 'alternative': None}",4.0,1.0,,6.0,8.0,3.0,,,,2.0,,,,1.0,2.0,4.0,2.0,6.0,1.0,1.0,1.0,,Boyacá Chicó FC,away
Kevin Londoño,kevin-londono,K. Londoño,M,27,180.0,14,1100037,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963100800.0,"{'value': 440000, 'currency': 'EUR'}",,Kevin Londoño,,27,False,22.0,17.0,4.0,2.0,0.0,,,,89.0,37.0,7.0,7.0,"{'original': 7, 'alternative': None}",,2.0,,3.0,4.0,,,5.0,2.0,1.0,,,1.0,1.0,,,,2.0,,,1.0,,Boyacá Chicó FC,away
Edgard Camargo,edgard-camargo,E. Camargo,M,28,181.0,29,1108692,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010102400.0,"{'value': 140000, 'currency': 'EUR'}",,Edgard Camargo,,28,False,25.0,21.0,2.0,1.0,0.0,,,,69.0,39.0,6.5,10.0,"{'original': 6.5, 'alternative': None}",2.0,1.0,,6.0,4.0,1.0,,,2.0,,,2.0,1.0,,1.0,2.0,,2.0,1.0,,,,Boyacá Chicó FC,away
Vladimir Hernández,vladimir-hernandez,V. Hernández,M,16,160.0,108,47093,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,602899200.0,"{'value': 52000, 'currency': 'EUR'}",,,,16,False,27.0,24.0,1.0,1.0,0.0,,,,68.0,34.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",1.0,,1.0,3.0,1.0,,,,,2.0,,1.0,,,1.0,2.0,,,,,,,Boyacá Chicó FC,away
Jairo Molina,jairo-molina,J. Molina,F,9,183.0,66,247931,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,735955200.0,"{'value': 49000, 'currency': 'EUR'}",,,,9,False,16.0,12.0,,,0.0,,,,90.0,29.0,7.2,9.0,"{'original': 7.2, 'alternative': None}",,6.0,6.0,7.0,8.0,1.0,1.0,4.0,,1.0,,1.0,,,,,1.0,1.0,1.0,,,,Boyacá Chicó FC,away
Jhonier Negrete,jhonier-negrete,J. Negrete,M,7,,2,2037361,{},EUR,,,,Jhonier Negrete,,7,True,4.0,1.0,1.0,,0.0,,,,22.0,9.0,6.4,5.0,"{'original': 6.4, 'alternative': None}",1.0,1.0,,2.0,,,,2.0,,,,,,,1.0,1.0,,,,,,,Boyacá Chicó FC,away
Delio Ramírez,delio-ramirez,D. Ramírez,M,10,160.0,11,1015661,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,975110400.0,"{'value': 53000, 'currency': 'EUR'}",,,,10,True,6.0,4.0,1.0,,0.0,,,,21.0,10.0,6.4,5.0,"{'original': 6.4, 'alternative': None}",2.0,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,Boyacá Chicó FC,away
Jacobo Pimentel,jacobo-pimentel,J. Pimentel,F,21,176.0,12,1017237,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010880000.0,"{'value': 140000, 'currency': 'EUR'}",,,,21,True,3.0,3.0,,,0.0,,,,10.0,6.0,6.8,,"{'original': 6.8, 'alternative': None}",,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,Boyacá Chicó FC,away
Andres Aedo,aedo-andres,A. Aedo,M,6,183.0,8,1427849,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1077494400.0,"{'value': 145000, 'currency': 'EUR'}",,Andres Aedo,,6,True,3.0,3.0,,,0.0,,,,9.0,8.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,Boyacá Chicó FC,away
Juan Ojeda,juan-ojeda,J. Ojeda,D,30,188.0,9,822796,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,891648000.0,"{'value': 110000, 'currency': 'EUR'}",,,,30,True,,,,,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,away
Rogerio Caicedo,rogerio-caicedo,R. Caicedo,G,1,187.0,3,942347,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729993600.0,"{'value': 97000, 'currency': 'EUR'}",,,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,away
Sebastián Colón,sebastian-colon,S. Colón,F,29,177.0,28,1465840,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895881600.0,,,Sebastián Colón,,29,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,away
