name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,outfielderBlock,totalTackle,fouls,keyPass,blockedScoringAttempt,wasFouled,challengeLost,onTargetScoringAttempt,wonContest,interceptionWon,shotOffTarget,dispossessed,totalOffside,captain,team,teamType,goodHighClaim
Sebastián Rodríguez,sebastian-rodriguez,S. Rodríguez,D,2,185.0,11,931697,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,975801600.0,"{'value': 245000, 'currency': 'EUR'}",,,,2,False,33.0,24.0,10.0,3.0,0.0,5.0,,,90.0,43.0,7.1,9.0,"{'original': 7.1, 'alternative': None}",,,,2.0,2.0,3.0,,,1.0,2.0,,,,,,,2.0,,,,,Rionegro Águilas Doradas,away,
Nicolás Lara,nicolas-lara,N. Lara,D,30,184.0,16,1173828,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045958400.0,"{'value': 160000, 'currency': 'EUR'}",Nicolás Lara,,,30,False,38.0,28.0,9.0,3.0,0.0,4.0,,,90.0,52.0,7.2,11.0,"{'original': 7.2, 'alternative': None}",,,,1.0,2.0,6.0,1.0,,3.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,,Rionegro Águilas Doradas,away,
Javier Alexander Mena,mena-javier-alexander,J. A. Mena,D,32,,8,1544743,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1102032000.0,,,,,32,False,12.0,10.0,1.0,,0.0,5.0,,,90.0,34.0,7.1,8.0,"{'original': 7.1, 'alternative': None}",,,,,1.0,4.0,2.0,,2.0,,1.0,,1.0,,,1.0,,,,1.0,,Rionegro Águilas Doradas,away,
Fredy Salazar,fredy-salazar,F. Salazar,F,20,178.0,87,822092,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796694400.0,"{'value': 855000, 'currency': 'EUR'}",,,,20,False,36.0,29.0,1.0,,0.0,,,,71.0,54.0,7.0,14.0,"{'original': 7, 'alternative': None}",6.0,1.0,1.0,1.0,2.0,4.0,1.0,,,,2.0,2.0,3.0,,,,1.0,1.0,,,,Rionegro Águilas Doradas,away,
Guillermo Celis,guillermo-celis,G. Celis,M,28,177.0,89,329583,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,736819200.0,"{'value': 470000, 'currency': 'EUR'}",,,,28,False,23.0,21.0,,,0.0,,,,90.0,29.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,,,3.0,5.0,,,,3.0,,,5.0,,,,,,,,True,Rionegro Águilas Doradas,away,
Harrinson Mancilla,harrinson-mancilla,H. Mancilla,M,27,174.0,27,869952,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693360000.0,"{'value': 49000, 'currency': 'EUR'}",,,,27,False,28.0,19.0,3.0,2.0,0.0,,,,82.0,37.0,6.9,12.0,"{'original': 6.9, 'alternative': None}",,,,1.0,3.0,4.0,1.0,1.0,,2.0,,,2.0,,,1.0,2.0,,1.0,,,Rionegro Águilas Doradas,away,
Jesús Rivas,jesus-rivas,J. Rivas,M,22,175.0,56,882616,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,860284800.0,"{'value': 820000, 'currency': 'EUR'}",,,,22,False,23.0,19.0,2.0,1.0,0.0,,,,71.0,40.0,7.3,11.0,"{'original': 7.3, 'alternative': None}",2.0,,2.0,1.0,4.0,5.0,2.0,1.0,1.0,,1.0,,2.0,,1.0,1.0,1.0,1.0,1.0,,,Rionegro Águilas Doradas,away,
Wilson Morelo,wilson-morelo,W. Morelo,F,19,170.0,128,47286,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,548553600.0,"{'value': 53000, 'currency': 'EUR'}",,,,19,False,17.0,16.0,1.0,1.0,0.0,,,,80.0,23.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",,,,,6.0,1.0,1.0,,,2.0,1.0,,1.0,,,,,,3.0,,,Rionegro Águilas Doradas,away,
Anderson Plata,anderson-plata,A. Plata,M,7,172.0,69,590374,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,658022400.0,"{'value': 235000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. بلاتا', 'hi': 'ए. प्लाटा', 'bn': 'এ. প্লাটা'}}",7,True,1.0,1.0,,,0.0,,,,19.0,5.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,,1.0,,3.0,1.0,,,,1.0,,,1.0,,,,,,1.0,,,Rionegro Águilas Doradas,away,
Johan Caballero,johan-caballero,J. Caballero,F,23,185.0,31,925252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895190400.0,"{'value': 340000, 'currency': 'EUR'}",,,,23,True,3.0,3.0,2.0,2.0,0.0,,,,19.0,4.0,6.7,,"{'original': 6.7, 'alternative': None}",,,,,,1.0,,,1.0,,,,,,,,,,,,,Rionegro Águilas Doradas,away,
Dylan Lozano,dylan-lozano,D. Lozano,D,26,,9,1139988,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026691200.0,"{'value': 270000, 'currency': 'EUR'}",Dylan Lozano,,,26,True,1.0,1.0,,,0.0,,,,10.0,3.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",1.0,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,
Yony González,yony-gonzalez,Y. González,F,11,182.0,356,351432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773884800.0,"{'value': 545000, 'currency': 'EUR'}",,,,11,True,1.0,,,,0.0,2.0,,,10.0,4.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,,,,1.0,,,,,,,1.0,,,,,,,,,Rionegro Águilas Doradas,away,
Tomás Salazar,tomas-salazar,T. Salazar,M,8,178.0,8,979933,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960508800.0,"{'value': 52000, 'currency': 'EUR'}",,,,8,True,4.0,1.0,1.0,1.0,0.0,,,,8.0,5.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,
Sebastián Guerra,sebastian-guerra,S. Guerra,G,34,183.0,33,931709,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,978912000.0,"{'value': 52000, 'currency': 'EUR'}",,,,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,
Felipe Aguilar,felipe-aguilar,F. Aguilar,D,3,190.0,171,329577,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727488000.0,"{'value': 310000, 'currency': 'EUR'}",,,,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,
