name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,aerialWon,duelLost,duelWon,totalClearance,outfielderBlock,interceptionWon,totalTackle,shotOffTarget,fouls,totalCross,challengeLost,dispossessed,blockedScoringAttempt,accurateCross,totalContest,keyPass,wonContest,hitWoodwork,totalOffside,onTargetScoringAttempt,wasFouled,bigChanceCreated,goals,captain,team,teamType,errorLeadToAShot
Julián Bazán,,,julian-bazan,J. Bazán,D,34,183.0,66,1485232,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1132876800.0,"{'value': 240000, 'currency': 'EUR'}",,34,False,13.0,8.0,1.0,,0.0,,,,65.0,24.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",1.0,2.0,1.0,3.0,7.0,,,,,,,,,,,,,,,,,1.0,,,,Deportivo Pereira,away,
José Moya,,,jose-moya,J. Moya,D,3,184.0,24,285501,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,713145600.0,"{'value': 410000, 'currency': 'EUR'}",,3,False,32.0,24.0,8.0,2.0,0.0,,,,90.0,55.0,7.2,9.0,"{'original': 7.2, 'alternative': None}",2.0,2.0,4.0,2.0,11.0,1.0,3.0,,,2.0,,,,2.0,,,1.0,,,1.0,1.0,,,,,Deportivo Pereira,away,
Jeison Suárez,,,jeison-suarez,J. Suárez,D,26,174.0,33,819096,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,868320000.0,"{'value': 500000, 'currency': 'EUR'}",,26,False,25.0,13.0,8.0,1.0,0.0,,,,90.0,61.0,6.6,18.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,5.0,11.0,2.0,,1.0,5.0,2.0,,3.0,2.0,1.0,1.0,,3.0,,2.0,,,,3.0,,,,Deportivo Pereira,away,
Jhon Largacha,Jhon Largacha,,jhon-largacha,J. Largacha,M,11,167.0,59,1478310,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1074729600.0,"{'value': 185000, 'currency': 'EUR'}",,11,False,6.0,3.0,1.0,,0.0,,,,84.0,21.0,6.4,10.0,"{'original': 6.4, 'alternative': None}",,,5.0,1.0,,,1.0,,,,2.0,1.0,3.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,Deportivo Pereira,away,
Ederson Moreno,,,ederson-moreno,E. Moreno,M,29,174.0,10,941675,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758851200.0,"{'value': 185000, 'currency': 'EUR'}",,29,False,8.0,8.0,,,0.0,,,,45.0,16.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,2.0,2.0,2.0,,,1.0,,1.0,,,,1.0,,1.0,1.0,,,,1.0,1.0,,,,Deportivo Pereira,away,
Juan David Ríos,,,juan-david-rios,J. D. Ríos,M,14,173.0,30,829864,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686793600.0,"{'value': 470000, 'currency': 'EUR'}",,14,False,19.0,13.0,3.0,1.0,0.0,,,,90.0,29.0,6.5,8.0,"{'original': 6.5, 'alternative': None}",,,3.0,2.0,,,,2.0,1.0,3.0,1.0,,,,,,,,,,1.0,,,,,Deportivo Pereira,away,1.0
Yuber Quiñones,Yuber Quiñones,,yuber-quinones,Y. Quiñones,M,13,173.0,96,1111115,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1034035200.0,"{'value': 385000, 'currency': 'EUR'}",,13,False,14.0,7.0,1.0,,0.0,,,,75.0,20.0,6.6,9.0,"{'original': 6.6, 'alternative': None}",1.0,3.0,2.0,6.0,,,,,,1.0,1.0,,,1.0,,,1.0,,,1.0,,3.0,,,,Deportivo Pereira,away,
Darwin Quintero,,,darwin-quintero,D. Quintero,F,7,166.0,706,787564,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,559008000.0,"{'value': 90000, 'currency': 'EUR'}",,7,False,21.0,15.0,7.0,4.0,0.0,,,,90.0,45.0,7.7,18.0,"{'original': 7.7, 'alternative': None}",2.0,1.0,7.0,1.0,,1.0,,,1.0,,11.0,1.0,2.0,,5.0,2.0,7.0,,,1.0,3.0,,,,True,Deportivo Pereira,away,
Kelvin Osorio,,,kelvin-osorio,K. Osorio,M,33,181.0,29,818997,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,751852800.0,"{'value': 465000, 'currency': 'EUR'}",,33,True,10.0,8.0,1.0,1.0,0.0,,,,45.0,14.0,6.2,4.0,"{'original': 6.2, 'alternative': None}",1.0,,3.0,2.0,,,,,,,,1.0,,,,1.0,,,,,,2.0,,,,Deportivo Pereira,away,
Samy Jr Merheg,,,merheg-samy-jr,S. J. Merheg,F,38,186.0,98,1653094,"{'alpha2': 'LB', 'alpha3': 'LBN', 'name': 'Lebanon', 'slug': 'lebanon'}",EUR,1170288000.0,,,38,True,4.0,2.0,,,0.0,,,,25.0,8.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,2.0,,4.0,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,Deportivo Pereira,away,
Felipe Mosquera,Felipe Mosquera,,felipe-mosquera,F. Mosquera,F,77,174.0,24,1173951,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1023235200.0,"{'value': 240000, 'currency': 'EUR'}",,77,True,1.0,1.0,,,0.0,,,,15.0,2.0,6.6,,"{'original': 6.6, 'alternative': None}",,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,Deportivo Pereira,away,
Eber Moreno,Eber Moreno,,eber-moreno,E. Moreno,D,16,179.0,34,1173350,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010707200.0,"{'value': 290000, 'currency': 'EUR'}",,16,True,3.0,3.0,,,0.0,,,,13.0,4.0,6.5,,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,
Gianfranco Peña,Gianfranco Peña,,gianfranco-pena,G. Peña,F,9,190.0,35,1174786,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963273600.0,"{'value': 195000, 'currency': 'EUR'}",,9,True,,,,,0.0,,,,12.0,1.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,
Franklin Mosquera,Franklin Mosquera,,franklin-mosquera,F. Mosquera,G,12,,3,1184666,{},EUR,,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,
Carlos Cruz,,,cruz-carlos,C. Cruz,M,2,,17,1886007,"{'alpha2': 'MX', 'alpha3': 'MEX', 'name': 'Mexico', 'slug': 'mexico'}",EUR,1073692800.0,,,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,
