name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalContest,interceptionWon,totalTackle,wasFouled,fouls,keyPass,wonContest,shotOffTarget,blockedScoringAttempt,accurateCross,onTargetScoringAttempt,challengeLost,totalOffside,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,punches,outfielderBlock
Diego Mendoza,diego-mendoza,D. Mendoza,M,23,177.0,15,1174860,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1002672000,"{'value': 325000, 'currency': 'EUR'}",Diego Mendoza,,,23,False,15.0,8.0,3.0,,0.0,3.0,,,,85.0,28.0,6.6,11.0,"{'original': 6.6, 'alternative': None}",,2.0,,3.0,3.0,,1.0,1.0,2.0,1.0,,,,1.0,,,,,,,Alianza Valledupar FC,away,,,,
Luis Pérez,luis-perez,L. Pérez,M,19,176.0,11,1098312,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833241600,"{'value': 340000, 'currency': 'EUR'}",Luis Pérez,,,19,False,14.0,6.0,6.0,2.0,0.0,3.0,,,,90.0,24.0,6.7,11.0,"{'original': 6.7, 'alternative': None}",1.0,3.0,,4.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,,Alianza Valledupar FC,away,,,,1.0
Jesús Muñoz,jesus-munoz,J. Muñoz,M,24,,21,1189991,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1011312000,"{'value': 375000, 'currency': 'EUR'}",Jesús Muñoz,,,24,False,14.0,11.0,,,0.0,1.0,,,,76.0,36.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",,3.0,,7.0,10.0,1.0,2.0,2.0,3.0,6.0,,,1.0,,,,,2.0,,,Alianza Valledupar FC,away,,,,
Wiston Fernández,wiston-fernandez,W. Fernández,M,33,182.0,27,931581,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883872000,"{'value': 365000, 'currency': 'EUR'}",,,,33,False,20.0,11.0,2.0,,0.0,1.0,,,,76.0,33.0,6.8,16.0,"{'original': 6.8, 'alternative': None}",4.0,4.0,2.0,5.0,5.0,,2.0,,1.0,1.0,,,1.0,1.0,,,,,,,Alianza Valledupar FC,away,,,,
Misael Martínez,misael-martinez,M. Martínez,F,77,175.0,36,998425,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890784000,"{'value': 405000, 'currency': 'EUR'}",,,,77,False,5.0,1.0,,,0.0,,,,,36.0,6.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,away,,,,
Jesús Figueroa,jesus-figueroa,J. Figueroa,D,6,180.0,11,947323,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,824169600,"{'value': 230000, 'currency': 'EUR'}",,,,6,True,5.0,1.0,4.0,,0.0,10.0,,,,54.0,18.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",,2.0,1.0,2.0,1.0,,,1.0,,,,,,,,,,,,,Alianza Valledupar FC,away,,,,
Jair Castillo,jair-castillo,J. Castillo,M,7,175.0,10,1014497,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,861580800,"{'value': 360000, 'currency': 'EUR'}",,,,7,True,10.0,4.0,4.0,1.0,0.0,6.0,,,,45.0,26.0,6.5,8.0,"{'original': 6.5, 'alternative': None}",,1.0,2.0,4.0,4.0,,3.0,,1.0,,1.0,,1.0,,,,,,,,Alianza Valledupar FC,away,,,,
Mayer Gil,gil-mayer,M. Gil,M,14,175.0,83,1093944,"{'alpha2': 'SV', 'alpha3': 'SLV', 'name': 'El Salvador', 'slug': 'el-salvador'}",EUR,1062892800,"{'value': 430000, 'currency': 'EUR'}",Mayer Gil,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. ماير', 'hi': 'एम. गिल', 'bn': 'এম. গিল'}}",99,True,5.0,4.0,1.0,1.0,0.0,,,,,14.0,8.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,1.0,,2.0,,,,1.0,,,,,,,,,,,,Alianza Valledupar FC,away,,,,
Ruben Manjarres,ruben-manjarres,R. Manjarres,M,8,184.0,22,1098315,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,950832000,"{'value': 315000, 'currency': 'EUR'}",Ruben Manjarres,,,21,True,4.0,2.0,1.0,,0.0,2.0,,,,14.0,9.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,,1.0,1.0,,1.0,,,,,,1.0,,,,,1.0,,,Alianza Valledupar FC,away,,,,1.0
Felipe Pardo,felipe-pardo,F. Pardo,F,11,178.0,155,107603,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,650851200,"{'value': 210000, 'currency': 'EUR'}",,,,17,True,1.0,1.0,,,0.0,,,,,10.0,2.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,away,,,,
Johan Wallens,johan-wallens,J. Wallens,G,1,188.0,10,72857,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,712800000,"{'value': 97000, 'currency': 'EUR'}",,,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,away,,,,
Junior Jiménez,junior-jimenez,J. Jiménez,F,20,,4,1908103,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,974505600,,Junior Jiménez,,,20,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,away,,,,
