name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,dispossessed,shotOffTarget,outfielderBlock,interceptionWon,aerialWon,totalTackle,fouls,aerialLost,bigChanceCreated,bigChanceMissed,totalOffside,keyPass,onTargetScoringAttempt,challengeLost,captain,team,teamType,fieldTranslations,punches,totalContest,blockedScoringAttempt,wonContest,hitWoodwork,goals
Juan Pablo Vargas,juan-pablo-vargas,J. P. Vargas,D,4,192.0,653,865783,"{'alpha2': 'CR', 'alpha3': 'CRI', 'name': 'Costa Rica', 'slug': 'costa-rica'}",EUR,802396800,"{'value': 1500000, 'currency': 'EUR'}",,,4,False,52.0,45.0,5.0,1.0,0.0,4.0,3.0,,,,90.0,56.0,7.0,7.0,"{'original': 7, 'alternative': None}",,,,,,,1.0,4.0,,,,,,,,,,True,Millonarios,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. فارغاس', 'hi': 'जे.पी. वर्गास', 'bn': 'জে. পি. ভার্গাস'}}",,,,,,
Danovis Banguero,danovis-banguero,D. Banguero,D,20,185.0,94,34090,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,625449600,"{'value': 320000, 'currency': 'EUR'}",,,20,False,51.0,46.0,9.0,6.0,0.0,3.0,3.0,1.0,,,90.0,70.0,7.1,8.0,"{'original': 7.1, 'alternative': None}",,,4.0,2.0,1.0,,,1.0,1.0,1.0,,,,,,,,,Millonarios,away,,,,,,,
Daniel Ruiz,daniel-ruiz,D. Ruiz,M,18,171.0,1027,1098305,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,996451200,"{'value': 1300000, 'currency': 'EUR'}",Daniel Ruiz,,18,False,30.0,28.0,4.0,4.0,0.0,,,,,,70.0,40.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",2.0,1.0,2.0,2.0,1.0,,,,,,,,,,1.0,,,,Millonarios,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. رويز', 'hi': 'डी. रुइज़', 'bn': 'ডি. রুইজ'}}",,,1.0,,,
Juan Pereira,juan-pereira,J. Pereira,M,21,182.0,102,974041,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729129600,"{'value': 470000, 'currency': 'EUR'}",,,21,False,56.0,49.0,6.0,3.0,0.0,,,,,,90.0,62.0,6.7,10.0,"{'original': 6.7, 'alternative': None}",,,2.0,2.0,,,1.0,,,,,,,,,,,,Millonarios,away,,,,,,,
Stiven Vega,stiven-vega,S. Vega,M,28,175.0,125,590354,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895795200,"{'value': 630000, 'currency': 'EUR'}",,,28,False,73.0,66.0,3.0,2.0,0.0,1.0,,,,,90.0,78.0,7.2,8.0,"{'original': 7.2, 'alternative': None}",,,2.0,,,,2.0,,1.0,2.0,,,,,2.0,,,,Millonarios,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. فيغا', 'hi': 'एस. वेगा', 'bn': 'এস. ভেগা'}}",,,,,,
Daniel Mantilla,daniel-mantilla,D. Mantilla,M,11,173.0,119,924552,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,851472000,"{'value': 550000, 'currency': 'EUR'}",,,11,False,30.0,24.0,1.0,,1.0,6.0,1.0,1.0,,,90.0,48.0,7.9,13.0,"{'original': 7.9, 'alternative': None}",1.0,,1.0,1.0,1.0,,1.0,,4.0,,,1.0,,1.0,2.0,,,,Millonarios,away,,,1.0,,1.0,,
Daniel Cataño,daniel-catano,D. Cataño,M,10,174.0,259,829884,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,695606400,"{'value': 415000, 'currency': 'EUR'}",,,10,False,42.0,37.0,1.0,1.0,0.0,2.0,,1.0,,,70.0,49.0,6.9,10.0,"{'original': 6.9, 'alternative': None}",1.0,,2.0,,,,,,1.0,2.0,,,,1.0,1.0,,,,Millonarios,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. كاتانيو', 'hi': 'डी. कैटानो', 'bn': 'ডি. কাটানো'}}",,,,,,
Leonardo Castro,leonardo-castro,L. Castro,F,23,174.0,1091,827806,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,708480000,"{'value': 975000, 'currency': 'EUR'}",,,23,False,14.0,11.0,,,0.0,2.0,1.0,1.0,,,71.0,21.0,7.5,5.0,"{'original': 7.5, 'alternative': None}",,,2.0,1.0,1.0,,,,1.0,,1.0,,,,,1.0,,,Millonarios,away,,,,,,1.0,1.0
David Macalister Silva,david-macalister-silva,D. M. Silva,M,14,175.0,371,822108,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,534816000,"{'value': 215000, 'currency': 'EUR'}",,,14,True,24.0,19.0,1.0,1.0,0.0,,,,,,20.0,26.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,Millonarios,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. م. سيلفا', 'hi': 'डी.एम. सिल्वा', 'bn': 'ডি. এম. সিলভা'}}",,,,,,
Jader Valencia,jader-valencia,J. Valencia,M,16,188.0,141,886565,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,942624000,"{'value': 420000, 'currency': 'EUR'}",,,16,True,14.0,7.0,1.0,,0.0,,,,,,20.0,19.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",,,,,1.0,,,,,,,,,,,1.0,,,Millonarios,away,,,,1.0,,,
Santiago Giordana,santiago-giordana,S. Giordana,F,32,181.0,249,789880,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,799459200,"{'value': 550000, 'currency': 'EUR'}",,,32,True,8.0,6.0,,,0.0,5.0,,4.0,,,19.0,13.0,7.0,2.0,"{'original': 7, 'alternative': None}",,,1.0,,,,,,1.0,1.0,,,,,1.0,,,,Millonarios,away,,,,,,,
Iván Arboleda,ivan-arboleda,I. Arboleda,G,1,183.0,251,796095,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830044800,"{'value': 635000, 'currency': 'EUR'}",,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. أربوليدا', 'hi': 'आई. अर्बोलेडा', 'bn': 'আই. আরবোলেদা'}}",,,,,,
Jorge Arias,jorge-arias,J. Arias,D,17,184.0,98,355842,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,721612800,"{'value': 370000, 'currency': 'EUR'}",,,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away,,,,,,,
Andrés Llinás,andres-llinas,A. Llinás,D,26,188.0,286,982821,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,859248000,"{'value': 1200000, 'currency': 'EUR'}",,,26,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. ليناس', 'hi': 'ए. लिनास', 'bn': 'এ. লিনাস'}}",,,,,,
Felix Charrupí,felix-charrupi,F. Charrupí,M,7,182.0,80,972825,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,989712000,"{'value': 760000, 'currency': 'EUR'}",,,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away,,,,,,,
