name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,onTargetScoringAttempt,blockedScoringAttempt,interceptionWon,totalTackle,fouls,keyPass,aerialLost,bigChanceCreated,shotOffTarget,wasFouled,outfielderBlock,totalCross,accurateCross,goals,captain,team,teamType,savedShotsFromInsideTheBox,totalOffside
Jannenson Sarmiento,,,jannenson-sarmiento,J. Sarmiento,M,10,179.0,110,1466270,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800,"{'value': 480000, 'currency': 'EUR'}",10,False,29.0,23.0,2.0,1.0,0.0,1.0,,,73.0,46.0,6.9,13.0,"{'original': 6.9, 'alternative': None}",1.0,4.0,6.0,1.0,1.0,3.0,1.0,,,,4.0,,1.0,,,1.0,,,4.0,1.0,,,Unión Magdalena,away,,
Fabián Cantillo,,,fabian-cantillo,F. Cantillo,M,24,184.0,9,974035,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,874454400,"{'value': 390000, 'currency': 'EUR'}",24,False,38.0,35.0,5.0,3.0,0.0,,,,72.0,48.0,6.9,4.0,"{'original': 6.9, 'alternative': None}",,5.0,4.0,,1.0,,,,,1.0,3.0,3.0,,1.0,,1.0,1.0,,,,,True,Unión Magdalena,away,,
Valentin Sanchez,Valentin Sanchez,,valentin-sanchez,V. Sanchez,M,8,,4,1390760,{},EUR,1012867200,,8,False,19.0,17.0,3.0,3.0,0.0,,,,45.0,23.0,7.0,3.0,"{'original': 7, 'alternative': None}",,1.0,1.0,,,1.0,,,,2.0,,,1.0,,,,1.0,,,,,,Unión Magdalena,away,,
Óscar Barreto,,,oscar-barreto,Ó. Barreto,M,22,173.0,37,840530,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,735955200,"{'value': 245000, 'currency': 'EUR'}",22,False,28.0,26.0,3.0,3.0,0.0,,,,59.0,41.0,7.4,5.0,"{'original': 7.4, 'alternative': None}",,4.0,6.0,1.0,2.0,,,1.0,,1.0,5.0,,1.0,1.0,,,1.0,,1.0,,,,Unión Magdalena,away,,
Ruyery Blanco,,,ruyery-blanco,R. Blanco,F,17,180.0,31,974049,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,912988800,"{'value': 230000, 'currency': 'EUR'}",17,False,17.0,11.0,,,0.0,,,,59.0,32.0,6.5,11.0,"{'original': 6.5, 'alternative': None}",,8.0,4.0,3.0,1.0,1.0,,,,,2.0,1.0,,2.0,,,2.0,,1.0,1.0,,,Unión Magdalena,away,,
Cristian Sención,,,cristian-sencion,C. Sención,M,16,179.0,20,877404,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,822787200,"{'value': 290000, 'currency': 'EUR'}",16,True,20.0,17.0,,,0.0,,,,45.0,26.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",,1.0,3.0,,1.0,1.0,1.0,,,,2.0,,,,,,,,1.0,,,,Unión Magdalena,away,,
Juan Diego Giraldo,,,juan-diego-giraldo,J. D. Giraldo,M,20,179.0,4,873789,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869356800,"{'value': 185000, 'currency': 'EUR'}",20,True,13.0,13.0,,,0.0,,,,31.0,19.0,6.9,2.0,"{'original': 6.9, 'alternative': None}",,,2.0,,,,,,,1.0,1.0,,2.0,,,,1.0,1.0,,,,,Unión Magdalena,away,,
Orles Aragón,,,orles-aragon,O. Aragón,F,11,180.0,6,930209,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,866246400,"{'value': 190000, 'currency': 'EUR'}",11,True,5.0,3.0,,,0.0,,,,31.0,8.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,2.0,,,,,,2.0,,,,1.0,,1.0,,,,,,,,,Unión Magdalena,away,,
Janeth Aleman,,,janeth-aleman,J. Aleman,F,7,,5,1901225,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1022198400,,13,True,6.0,3.0,,,0.0,,,,18.0,11.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",1.0,3.0,3.0,,1.0,1.0,1.0,,,,,1.0,,1.0,,,1.0,,,,,,Unión Magdalena,away,,
Eric Krame,,,eric-krame,E. Krame,F,7,,23,1472384,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,921456000,,7,True,3.0,1.0,,,0.0,,,,17.0,5.0,6.3,4.0,"{'original': 6.3, 'alternative': None}",,4.0,,1.0,1.0,,,,,,,1.0,,1.0,,,,,,,,,Unión Magdalena,away,,
Guillermo Gómez,Guillermo Gómez,,guillermo-gomez,G. Gómez,G,34,187.0,6,1174006,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835920000,"{'value': 105000, 'currency': 'EUR'}",34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,away,,
Jefrey Trujillo,Jefrey Trujillo,,jefrey-trujillo,J. Trujillo,D,27,,4,1201145,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1036368000,,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,away,,
