name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,duelWon,challengeLost,totalContest,shotOffTarget,blockedScoringAttempt,totalTackle,wasFouled,keyPass,wonContest,outfielderBlock,interceptionWon,fouls,aerialWon,dispossessed,accurateCross,captain,team,teamType,onTargetScoringAttempt,goals,bigChanceCreated,bigChanceMissed
Felipe Jaramillo,,,felipe-jaramillo,F. Jaramillo,M,17,185.0,31,924429,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,829785600.0,"{'value': 310000, 'currency': 'EUR'}",17,False,27.0,21.0,2.0,2.0,0.0,2.0,,,90.0,41.0,7.0,9.0,"{'original': 7, 'alternative': None}",,,3.0,2.0,,,,1.0,1.0,,,,1.0,2.0,3.0,1.0,,,,Deportivo Pasto,away,1.0,,,
Johan Caicedo,Johan Caicedo,,johan-caicedo,J. Caicedo,M,6,,52,1170681,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1079049600.0,"{'value': 455000, 'currency': 'EUR'}",6,False,25.0,21.0,5.0,3.0,0.0,2.0,,,90.0,36.0,7.1,6.0,"{'original': 7.1, 'alternative': None}",,,5.0,5.0,2.0,2.0,,,4.0,,2.0,1.0,,1.0,2.0,,,,,Deportivo Pasto,away,1.0,,,
Facundo Boné,,,facundo-bone,F. Boné,M,77,176.0,84,924738,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,816480000.0,"{'value': 280000, 'currency': 'EUR'}",77,False,12.0,8.0,2.0,1.0,1.0,,,,68.0,27.0,7.6,11.0,"{'original': 7.6, 'alternative': None}",6.0,1.0,2.0,4.0,,2.0,,,,3.0,4.0,1.0,,1.0,,,,2.0,,Deportivo Pasto,away,,,1.0,
Nicolás Morínigo,,,nicolas-morinigo,N. Morínigo,F,27,193.0,57,922879,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,952560000.0,"{'value': 135000, 'currency': 'EUR'}",27,False,14.0,11.0,,,0.0,,,,75.0,22.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,1.0,3.0,3.0,1.0,,3.0,,,1.0,,,,1.0,2.0,2.0,,,,Deportivo Pasto,away,,,,1.0
Déinner Quiñones,,,deinner-quinones,D. Quiñones,M,70,172.0,95,846799,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,808531200.0,"{'value': 515000, 'currency': 'EUR'}",70,True,7.0,5.0,,,0.0,,,,22.0,15.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",,,2.0,3.0,,3.0,,,1.0,1.0,1.0,1.0,,,,,,,,Deportivo Pasto,away,,,,
Diego Castillo,Diego Castillo,,castillo-diego,D. Castillo,F,19,,18,1175044,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,938649600.0,"{'value': 325000, 'currency': 'EUR'}",19,True,6.0,5.0,,,0.0,,,,22.0,12.0,6.4,5.0,"{'original': 6.4, 'alternative': None}",,2.0,4.0,1.0,,2.0,1.0,,,1.0,,,,,,,,,,Deportivo Pasto,away,,,,
Juan Castilla,,,juan-castilla,J. Castilla,M,13,172.0,179,1025325,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1090886400.0,"{'value': 440000, 'currency': 'EUR'}",13,True,8.0,6.0,,,0.0,,,,15.0,13.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",1.0,,5.0,3.0,1.0,2.0,,,1.0,,2.0,1.0,,,3.0,1.0,,,,Deportivo Pasto,away,,,,
Kevin Lopez,Kevin Lopez,,kevin-lopez,K. Lopez,G,33,,3,1210706,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1044576000.0,,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,away,,,,
Edwin Velasco,,,edwin-velasco,E. Velasco,D,21,178.0,47,358144,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,689299200.0,"{'value': 265000, 'currency': 'EUR'}",21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,away,,,,
Brayan Carabalí,,,brayan-carabali,B. Carabalí,D,2,188.0,19,974303,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919900800.0,"{'value': 385000, 'currency': 'EUR'}",2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,away,,,,
Kevin Rendón,,,kevin-rendon,K. Rendón,M,7,182.0,7,877623,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,726451200.0,"{'value': 49000, 'currency': 'EUR'}",7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,away,,,,
