name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,fieldTranslations,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keyPass,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,totalContest,clearanceOffLine,outfielderBlock,interceptionWon,fouls,aerialWon,duelWon,dispossessed,wonContest,onTargetScoringAttempt,totalTackle,shotOffTarget,challengeLost,blockedScoringAttempt,bigChanceCreated,goals,wasFouled,bigChanceMissed,totalOffside,captain,team,teamType
Jhostin Medranda,jhostin-medranda,J. Medranda,D,,186.0,15,1130645,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,997228800.0,"{'value': 270000, 'currency': 'EUR'}",Jhostin Medranda,,,24,False,55.0,42.0,12.0,3.0,1.0,1.0,,,,,90.0,57.0,6.5,13.0,1.0,"{'original': 6.5, 'alternative': None}",,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,Deportivo Pereira,away
Jeison Suárez,jeison-suarez,J. Suárez,D,26,174.0,33,819096,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,868320000.0,"{'value': 500000, 'currency': 'EUR'}",,,,26,False,38.0,29.0,4.0,1.0,0.0,7.0,,,,,90.0,68.0,6.8,18.0,2.0,"{'original': 6.8, 'alternative': None}",8.0,2.0,,2.0,,,1.0,,1.0,1.0,4.0,,,,2.0,,1.0,,,,1.0,,1.0,,Deportivo Pereira,away
Juan David Ríos,juan-david-rios,J. D. Ríos,M,14,173.0,30,829864,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686793600.0,"{'value': 470000, 'currency': 'EUR'}",,,,14,False,67.0,58.0,7.0,4.0,0.0,3.0,,,,,90.0,76.0,6.9,10.0,,"{'original': 6.9, 'alternative': None}",,,,2.0,,,,,2.0,,4.0,,,,3.0,1.0,,,,,1.0,,,True,Deportivo Pereira,away
Jorge Bermúdez,jorge-bermudez,J. Bermúdez,M,5,166.0,12,1016202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981331200.0,"{'value': 360000, 'currency': 'EUR'}",,,,5,False,47.0,40.0,3.0,3.0,0.0,,,,,,90.0,55.0,6.7,9.0,,"{'original': 6.7, 'alternative': None}",,,1.0,3.0,1.0,,,1.0,,,,,,2.0,,,1.0,,,,,,,,Deportivo Pereira,away
Adrián Estacio,adrian-estacio,A. Estacio,M,97,178.0,35,931632,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,893030400.0,"{'value': 435000, 'currency': 'EUR'}",,,,97,False,18.0,16.0,3.0,2.0,0.0,1.0,,,,,77.0,40.0,7.1,9.0,2.0,"{'original': 7.1, 'alternative': None}",2.0,2.0,,3.0,4.0,,,,,,7.0,1.0,2.0,2.0,,3.0,,,,,5.0,1.0,,,Deportivo Pereira,away
Yesus Cabrera,yesus-cabrera,Yesus Cabrera,M,10,169.0,87,830016,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,653356800.0,"{'value': 380000, 'currency': 'EUR'}",,,,10,False,31.0,28.0,1.0,,0.0,,,,,,67.0,36.0,7.0,5.0,1.0,"{'original': 7, 'alternative': None}",1.0,,,,,,,,,1.0,2.0,,,1.0,1.0,,,1.0,1.0,,,,,,Deportivo Pereira,away
Yuber Quiñones,yuber-quinones,Y. Quiñones,M,13,173.0,96,1111115,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1034035200.0,"{'value': 385000, 'currency': 'EUR'}",Yuber Quiñones,,,13,False,21.0,16.0,1.0,,0.0,1.0,,,,,77.0,35.0,7.0,10.0,2.0,"{'original': 7, 'alternative': None}",7.0,3.0,,,,,,,,1.0,4.0,,,,1.0,,,,,,2.0,,1.0,,Deportivo Pereira,away
Rubilio Castillo,rubilio-castillo,R. Castillo,F,99,183.0,177,797168,"{'alpha2': 'HN', 'alpha3': 'HND', 'name': 'Honduras', 'slug': 'honduras'}",EUR,691113600.0,"{'value': 235000, 'currency': 'EUR'}",,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ر. كاستيلو', 'hi': 'आर. कैस्टिलो', 'bn': 'আর. ক্যাস্টিলো'}}",,99,False,11.0,10.0,,,0.0,,,,,,68.0,17.0,7.5,2.0,,"{'original': 7.5, 'alternative': None}",,,1.0,1.0,,,,,,2.0,5.0,,,1.0,1.0,1.0,,,,1.0,2.0,,1.0,,Deportivo Pereira,away
Kelvin Osorio,kelvin-osorio,K. Osorio,M,33,181.0,29,818997,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,751852800.0,"{'value': 465000, 'currency': 'EUR'}",,,,33,True,11.0,9.0,2.0,1.0,0.0,,,,,,23.0,17.0,6.6,6.0,2.0,"{'original': 6.6, 'alternative': None}",5.0,2.0,,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,Deportivo Pereira,away
Gianfranco Peña,gianfranco-pena,G. Peña,F,9,190.0,35,1174786,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963273600.0,"{'value': 195000, 'currency': 'EUR'}",Gianfranco Peña,,,9,True,2.0,1.0,,,0.0,,,,,,22.0,6.0,6.7,3.0,,"{'original': 6.7, 'alternative': None}",,,1.0,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,Deportivo Pereira,away
Javier Andres Mena,mena-javier-andres,J. A. Mena,D,17,175.0,39,1478896,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1127001600.0,"{'value': 105000, 'currency': 'EUR'}",,,,17,True,4.0,3.0,,,0.0,,,,,,13.0,5.0,6.6,1.0,,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,Deportivo Pereira,away
Eduar Arízalas,eduar-arizalas,E. Arízalas,M,22,,7,1478209,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1006646400.0,"{'value': 52000, 'currency': 'EUR'}",Eduar Arízalas,,,22,True,4.0,4.0,,,0.0,,,,,,13.0,7.0,6.6,,,"{'original': 6.6, 'alternative': None}",,,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,Deportivo Pereira,away
Franklin Mosquera,franklin-mosquera,F. Mosquera,G,12,,3,1184666,{},EUR,,,Franklin Mosquera,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away
Julián Bazán,julian-bazan,J. Bazán,D,34,183.0,66,1485232,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1132876800.0,"{'value': 240000, 'currency': 'EUR'}",,,,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away
Darwin Quintero,darwin-quintero,D. Quintero,F,7,166.0,709,787564,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,559008000.0,"{'value': 90000, 'currency': 'EUR'}",,,,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away
