name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,shotOffTarget,interceptionWon,totalTackle,keyPass,challengeLost,outfielderBlock,ownGoals,wasFouled,accurateCross,totalContest,wonContest,onTargetScoringAttempt,blockedScoringAttempt,fouls,dispossessed,goals,totalOffside,captain,team,teamType,errorLeadToAGoal,goodHighClaim,savedShotsFromInsideTheBox
Bryan Urueña,bryan-uruena,B. Urueña,M,10,175.0,20,830014,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,720489600,"{'value': 240000, 'currency': 'EUR'}",,,,10,False,42.0,34.0,2.0,1.0,0.0,,,,,,90.0,56.0,6.5,15.0,"{'original': 6.5, 'alternative': None}",4.0,1.0,,6.0,3.0,,,,2.0,,,,3.0,1.0,1.0,,,,2.0,2.0,,,True,Llaneros FC,away,,,
Kener Valencia,kener-valencia,K. Valencia,F,70,184.0,54,1174010,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1002153600,"{'value': 285000, 'currency': 'EUR'}",,Kener Valencia,,70,False,9.0,4.0,,,0.0,,,,,,89.0,19.0,6.2,12.0,"{'original': 6.2, 'alternative': None}",1.0,6.0,1.0,9.0,1.0,,,,1.0,1.0,,,,,,,,,,2.0,,,,Llaneros FC,away,,,
Brandon Churi,brandon-churi,B. Churi,M,19,175.0,8,2022043,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1109808000,,,Brandon Churi,,19,False,2.0,1.0,1.0,,0.0,,,,,,36.0,9.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",1.0,,,3.0,2.0,,,1.0,,,,,,,1.0,1.0,,,,3.0,,,,Llaneros FC,away,,,
Roberto Hinojosa,roberto-hinojosa,R. Hinojosa,M,80,170.0,64,989392,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,930873600,"{'value': 530000, 'currency': 'EUR'}",,,,80,True,29.0,21.0,5.0,3.0,0.0,,,,,,54.0,40.0,6.9,14.0,"{'original': 6.9, 'alternative': None}",3.0,,,2.0,2.0,1.0,,2.0,1.0,,,,,,,,,1.0,2.0,1.0,,,,Llaneros FC,away,,,
Marlon Sierra,marlon-sierra,M. Sierra,M,6,174.0,6,890057,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,780105600,"{'value': 97000, 'currency': 'EUR'}",,,,6,True,2.0,2.0,,,0.0,1.0,,,,,11.0,3.0,6.5,,"{'original': 6.5, 'alternative': None}",,1.0,,1.0,,,,,,,,,,,,,,,,,,,,Llaneros FC,away,,,
Michael Rangel,michael-rangel,M. Rangel,F,9,186.0,141,1103938,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,668390400,"{'value': 190000, 'currency': 'EUR'}",,,,9,True,1.0,1.0,,,0.0,1.0,,,,,11.0,4.0,7.2,1.0,"{'original': 7.2, 'alternative': None}",,1.0,,2.0,,,,,,,,,,,1.0,,1.0,,,,1.0,,,Llaneros FC,away,,,
Jaison Mina,jaison-mina,J. Mina,D,28,188.0,9,1174007,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949104000,"{'value': 145000, 'currency': 'EUR'}",,Jaison Mina,,23,True,,,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,away,,,
Roameth Romaña,roameth-romana,R. Romaña,G,22,180.0,4,1175030,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,852681600,"{'value': 27000, 'currency': 'EUR'}",,Roameth Romaña,,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,away,,,
Maicol Medina,maicol-medina,M. Medina,M,18,178.0,11,1100059,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,865382400,"{'value': 240000, 'currency': 'EUR'}",,,,18,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,away,,,
Santiago Cantillo,santiago-cantillo,S. Cantillo,M,29,,3,1638690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979257600,,,,,29,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,away,,,
