name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelLost,duelWon,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,fouls,keyPass,aerialLost,wasFouled,outfielderBlock,totalOffside,shotOffTarget,challengeLost,dispossessed,accurateCross,onTargetScoringAttempt,goals,blockedScoringAttempt,captain,team,teamType
William Tesillo,,,william-tesillo,W. Tesillo,D,16,184.0,317,794087,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,633916800,"{'value': 520000, 'currency': 'EUR'}",,16,False,66.0,59.0,8.0,6.0,0.0,,,90.0,83.0,7.8,9.0,"{'original': 7.8, 'alternative': None}",1.0,3.0,2.0,5.0,2.0,1.0,5.0,,1.0,,1.0,1.0,,1.0,,2.0,,,,2.0,,1.0,,Atlético Nacional,away
Andrés Román,,,andres-roman,A. Román,D,6,183.0,376,870013,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812851200,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. رومان', 'hi': 'ए. रोमान', 'bn': 'এ. রোমান'}}",6,False,24.0,20.0,2.0,2.0,0.0,,,75.0,42.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",,,2.0,2.0,,,3.0,,2.0,,1.0,1.0,,,,,,1.0,,,,3.0,,Atlético Nacional,away
Jorman Campuzano,,,jorman-campuzano,J. Campuzano,M,21,175.0,706,924420,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830822400,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. كامبوزانو', 'hi': 'जे. कैम्पुज़ानो', 'bn': 'জে. ক্যাম্পুজানো'}}",21,False,65.0,61.0,4.0,3.0,0.0,,,90.0,74.0,7.0,6.0,"{'original': 7, 'alternative': None}",1.0,1.0,4.0,5.0,,,,,2.0,2.0,1.0,,2.0,,,,1.0,1.0,1.0,,,,,Atlético Nacional,away
Elkin Rivero,,,elkin-rivero,E. Rivero,M,26,,70,1940903,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1140998400,,,26,False,18.0,15.0,2.0,1.0,0.0,,,45.0,24.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,,3.0,4.0,,,,,3.0,2.0,1.0,,1.0,,,,,1.0,,,,,,Atlético Nacional,away
Marino Hinestroza,,,marino-hinestroza,M. Hinestroza,M,18,170.0,3082,972587,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026086400,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'م. هينستروزا', 'hi': 'एम. हिनेस्ट्रोज़ा', 'bn': 'এম. হিনেস্ট্রোজা'}}",18,False,29.0,24.0,1.0,1.0,0.0,,,89.0,57.0,6.2,19.0,"{'original': 6.2, 'alternative': None}",4.0,,11.0,4.0,7.0,,1.0,,1.0,3.0,2.0,,3.0,,,1.0,,1.0,2.0,,,1.0,,Atlético Nacional,away
Andrés Sarmiento,,,andres-sarmiento,A. Sarmiento,M,29,170.0,200,842663,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,884822400,"{'value': 720000, 'currency': 'EUR'}",,29,False,10.0,8.0,,,0.0,,,45.0,14.0,6.2,5.0,"{'original': 6.2, 'alternative': None}",1.0,,3.0,,2.0,,,,,1.0,,,,,,,,,1.0,,,,,Atlético Nacional,away
Edwin Cardona,,,edwin-cardona,E. Cardona,M,10,183.0,2260,153793,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,723772800,"{'value': 960000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. كاردونا', 'hi': 'ई. कार्डोना', 'bn': 'ই. কার্ডোনা'}}",10,False,19.0,16.0,4.0,3.0,0.0,,,45.0,30.0,7.1,6.0,"{'original': 7.1, 'alternative': None}",3.0,,1.0,4.0,,,,,,1.0,2.0,,4.0,,,2.0,,,1.0,,,,,Atlético Nacional,away
Alfredo Morelos,,,alfredo-morelos,A. Morelos,F,9,177.0,2269,831085,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835315200,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موريلوس', 'hi': 'ए. मोरेलोस', 'bn': 'এ. মোরেলোস'}}",9,False,31.0,25.0,1.0,1.0,0.0,,,90.0,39.0,6.9,10.0,"{'original': 6.9, 'alternative': None}",,1.0,3.0,4.0,,,,,1.0,2.0,,,2.0,,1.0,1.0,,1.0,,,,,,Atlético Nacional,away
Billy Arce,,,billy-arce,B. Arce,M,11,177.0,503,868746,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,900201600,"{'value': 680000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ب. ارس'}}",11,True,41.0,36.0,3.0,3.0,0.0,,,45.0,54.0,6.9,13.0,"{'original': 6.9, 'alternative': None}",4.0,,3.0,2.0,1.0,,,,1.0,,1.0,,1.0,,,,,2.0,1.0,,,,,Atlético Nacional,away
Matheus Uribe,,,mateus-uribe,M. Uribe,M,8,182.0,1809,247773,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,669513600,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'م. أوريبي', 'hi': 'एम. उरीबे', 'bn': 'এম. উরিবে'}}",8,True,47.0,39.0,4.0,3.0,0.0,,,45.0,54.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",,1.0,4.0,4.0,,,,,3.0,2.0,1.0,1.0,,,,,,1.0,,,,,,Atlético Nacional,away
Dairon Asprilla,,,dairon-asprilla,D. Asprilla,F,27,178.0,283,790161,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706752000,"{'value': 720000, 'currency': 'EUR'}",,27,True,8.0,8.0,1.0,1.0,0.0,,,45.0,15.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",1.0,,6.0,2.0,2.0,,,,,1.0,,3.0,2.0,,,,,,,,,,,Atlético Nacional,away
Joan Castro,,,joan-castro,J. Castro,D,20,176.0,119,819186,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853113600,"{'value': 680000, 'currency': 'EUR'}",,20,True,9.0,6.0,,,0.0,,,15.0,12.0,6.4,5.0,"{'original': 6.4, 'alternative': None}",,,3.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,Atlético Nacional,away
Kevin Parra,Kevin Parra,,kevin-parra,K. Parra,M,30,165.0,152,1185972,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045872000,"{'value': 620000, 'currency': 'EUR'}",,30,True,4.0,4.0,,,0.0,,,1.0,6.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,away
Harlen Castillo,,,harlen-castillo,H. Castillo,G,15,188.0,130,924907,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745545600,"{'value': 330000, 'currency': 'EUR'}",,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,away
Simon Garcia,Simon Garcia,,garcia-simon,S. Garcia,D,28,186.0,154,1602863,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1105401600,"{'value': 235000, 'currency': 'EUR'}",,28,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,away
