name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelLost,dispossessed,totalContest,shotOffTarget,interceptionWon,totalTackle,aerialLost,challengeLost,outfielderBlock,fouls,keyPass,hitWoodwork,onTargetScoringAttempt,blockedScoringAttempt,goals,totalOffside,wonContest,captain,team,teamType,fieldTranslations,bigChanceCreated,accurateCross
Daniel Londoño,,,daniel-londono,D. Londoño,D,33,185.0,22,796506,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,788918400,"{'value': 545000, 'currency': 'EUR'}",33,False,37.0,25.0,12.0,6.0,0.0,7.0,3.0,3.0,,,90.0,60.0,6.9,20.0,"{'original': 6.9, 'alternative': None}",1.0,2.0,1.0,,,,1.0,2.0,,,,1.0,,,,1.0,,,,,Independiente Medellín,away,,,
Jherson Mosquera,,,jherson-mosquera,J. Mosquera,M,6,173.0,66,1015662,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,937612800,"{'value': 410000, 'currency': 'EUR'}",6,False,16.0,12.0,,,0.0,2.0,1.0,,,,90.0,20.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,2.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,Independiente Medellín,away,,,
Baldomero Perlaza,,,baldomero-perlaza,B. Perlaza,M,14,188.0,83,285611,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,707702400,"{'value': 420000, 'currency': 'EUR'}",14,False,23.0,13.0,2.0,,1.0,3.0,,1.0,,,90.0,33.0,7.0,12.0,"{'original': 7, 'alternative': None}",,1.0,6.0,1.0,,,2.0,1.0,3.0,,,2.0,1.0,,,1.0,,,,,Independiente Medellín,away,,1.0,
Homer Martinez,,,homer-martinez,H. Martinez,M,18,186.0,59,846432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,876096000,"{'value': 670000, 'currency': 'EUR'}",18,False,21.0,12.0,5.0,3.0,0.0,,1.0,,,,68.0,25.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",,,1.0,,,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,,Independiente Medellín,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ه. مارتينيز', 'hi': 'एच. मार्टिनेज', 'bn': 'এইচ. মার্টিনেজ'}}",,
Francisco Chaverra,,,francisco-chaverra,F. Chaverra,M,13,172.0,244,977812,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,952905600,"{'value': 1500000, 'currency': 'EUR'}",13,False,30.0,14.0,3.0,,0.0,6.0,1.0,2.0,,,90.0,47.0,7.0,23.0,"{'original': 7, 'alternative': None}",5.0,2.0,6.0,1.0,1.0,1.0,,1.0,4.0,,,1.0,4.0,,1.0,,,,1.0,,Independiente Medellín,away,,,1.0
Léider Berrío,Léider Berrío,,leider-berrio,L. Berrío,M,7,175.0,196,1170682,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,897177600,"{'value': 595000, 'currency': 'EUR'}",7,False,11.0,7.0,,,0.0,4.0,,2.0,,,77.0,24.0,6.7,11.0,"{'original': 6.7, 'alternative': None}",4.0,,3.0,,2.0,,1.0,2.0,,,,1.0,1.0,,,1.0,,,,,Independiente Medellín,away,,,
Francisco Fydriszewski,,,francisco-fydriszewski,F. Fydriszewski,F,19,186.0,562,594430,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,729561600,"{'value': 540000, 'currency': 'EUR'}",19,False,10.0,6.0,,,0.0,4.0,,,,,68.0,17.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",,3.0,7.0,,1.0,1.0,,1.0,5.0,,,1.0,1.0,1.0,,1.0,,,,,Independiente Medellín,away,,,
Luis Sandoval,,,luis-sandoval,L. Sandoval,F,9,183.0,286,848048,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,928195200,"{'value': 765000, 'currency': 'EUR'}",9,False,13.0,7.0,,,0.0,4.0,1.0,1.0,,,86.0,31.0,7.4,17.0,"{'original': 7.4, 'alternative': None}",2.0,2.0,3.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,,1.0,,,,Independiente Medellín,away,,,
Jaime Alvarado,,,alvarado-jaime,J. Alvarado,M,15,181.0,91,914202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,932947200,"{'value': 1500000, 'currency': 'EUR'}",15,True,7.0,5.0,1.0,,0.0,2.0,,2.0,,,22.0,12.0,6.3,5.0,"{'original': 6.3, 'alternative': None}",,,5.0,2.0,,,,,1.0,1.0,,1.0,,,,,,,,,Independiente Medellín,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. الفارادو'}}",,
Brayan Léon Muñiz,Brayan Léon Muñiz,,brayan-leon-muniz,B. L. Muñiz,F,27,175.0,358,1102252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,971913600,"{'value': 1300000, 'currency': 'EUR'}",27,True,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,,22.0,6.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away,,,
Diego Moreno,,,diego-moreno,D. Moreno,M,31,181.0,80,819139,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825379200,"{'value': 930000, 'currency': 'EUR'}",31,True,2.0,,,,0.0,1.0,,,,,13.0,2.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,1.0,,,,,,,,,,,,,,,,,,,Independiente Medellín,away,,,
Mender García,,,mender-garcia,M. García,F,8,180.0,100,909606,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,909532800,"{'value': 830000, 'currency': 'EUR'}",8,True,1.0,1.0,,,0.0,1.0,,,,,9.0,3.0,6.8,,"{'original': 6.8, 'alternative': None}",,,2.0,,1.0,,,,2.0,,,,,,1.0,,,,1.0,,Independiente Medellín,away,,,
Yimy Gómez,,,yimy-gomez,Y. Gómez,G,1,185.0,11,888100,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,933724800,"{'value': 235000, 'currency': 'EUR'}",1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away,,,
Jhon Palacios,Jhon Palacios,,jhon-palacios,J. Palacios,D,3,188.0,18,1130027,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,938822400,"{'value': 360000, 'currency': 'EUR'}",3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away,,,
Marcus Vinicius,Marcus Vinicius,,marcus-vinicius,M. Vinicius,F,10,188.0,194,1143795,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,856310400,"{'value': 540000, 'currency': 'EUR'}",10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away,,,
