name,firstName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,challengeLost,totalContest,wonContest,interceptionWon,totalTackle,wasFouled,fouls,dispossessed,outfielderBlock,penaltyConceded,shotOffTarget,accurateCross,keyPass,blockedScoringAttempt,totalOffside,onTargetScoringAttempt,goals,bigChanceCreated,captain,team,teamType,fieldTranslations,penaltyWon
Jefferson Mena,,jefferson-mena,J. Mena,D,2,183.0,66,355850,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,613872000.0,"{'value': 97000, 'currency': 'EUR'}",,2,False,43.0,35.0,3.0,1.0,0.0,,1.0,9.0,,,,,,90.0,60.0,6.5,11.0,"{'original': 6.5, 'alternative': None}",1.0,1.0,3.0,1.0,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,True,Atlético Bucaramanga,away,,
Alejandro Artunduaga,,alejandro-artunduaga,A. Artunduaga,D,16,174.0,36,841959,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,873763200.0,"{'value': 195000, 'currency': 'EUR'}",,16,False,24.0,21.0,1.0,,0.0,,5.0,4.0,,,,,,69.0,44.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",1.0,,2.0,1.0,1.0,,2.0,4.0,1.0,,,,,,1.0,,,,,,,,Atlético Bucaramanga,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. أرتوندواجا', 'hi': 'ए. आर्टुंडुआगा', 'bn': 'এ. আর্তুনডুয়াগা'}}",
Sherman Cárdenas,,sherman-cardenas,S. Cárdenas,M,30,168.0,105,844616,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,618451200.0,"{'value': 49000, 'currency': 'EUR'}",,30,False,16.0,14.0,1.0,1.0,0.0,,1.0,,,,,,,54.0,20.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",2.0,,,,,,1.0,,1.0,,,,,,1.0,2.0,,,,,,,Atlético Bucaramanga,away,,
Diego Chávez,Diego Chavez,diego-chavez,D. Chávez,M,15,180.0,55,1169585,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,875059200.0,"{'value': 585000, 'currency': 'EUR'}",,15,False,45.0,40.0,3.0,3.0,0.0,1.0,4.0,,,,,,,90.0,62.0,7.3,12.0,"{'original': 7.3, 'alternative': None}",4.0,,2.0,,2.0,,2.0,,3.0,,,1.0,,,,,,,2.0,,,,Atlético Bucaramanga,away,,
Aldair Zárate,Aldair Zárate,zarate-aldair,A. Zárate,M,20,177.0,30,1174928,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919641600.0,"{'value': 465000, 'currency': 'EUR'}",,20,False,29.0,23.0,4.0,2.0,0.0,,,1.0,,,,,,57.0,37.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",,1.0,2.0,,1.0,,2.0,,,,,,,,,1.0,,,,,,,Atlético Bucaramanga,away,,
Andrés Andrade,,andres-andrade,A. Andrade,M,17,177.0,161,248065,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,604195200.0,"{'value': 145000, 'currency': 'EUR'}",,17,False,22.0,20.0,1.0,,0.0,,6.0,1.0,,,,,,69.0,36.0,7.1,5.0,"{'original': 7.1, 'alternative': None}",1.0,,2.0,,1.0,1.0,,3.0,2.0,1.0,1.0,,,1.0,,,1.0,1.0,,,,,Atlético Bucaramanga,away,,
Andrés Ponce,,andres-ponce,A. Ponce,F,9,182.0,258,785973,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,847670400.0,"{'value': 465000, 'currency': 'EUR'}",,9,False,15.0,9.0,1.0,,0.0,1.0,2.0,1.0,,,,,,69.0,23.0,6.6,11.0,"{'original': 6.6, 'alternative': None}",2.0,3.0,4.0,,,,,,1.0,1.0,,,,,,1.0,,2.0,,,,,Atlético Bucaramanga,away,,
Jhon Vásquez,,jhon-vasquez,Jhon Vásquez,F,11,176.0,98,805288,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792547200.0,"{'value': 580000, 'currency': 'EUR'}",,11,False,17.0,12.0,2.0,1.0,0.0,2.0,4.0,,,,,,,90.0,33.0,7.2,13.0,"{'original': 7.2, 'alternative': None}",6.0,2.0,3.0,,1.0,,,2.0,,,,,,4.0,1.0,1.0,,,,,,,Atlético Bucaramanga,away,,
Adalberto Peñaranda,,adalberto-penaranda,A. Peñaranda,F,97,183.0,880,825775,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,865036800.0,"{'value': 210000, 'currency': 'EUR'}",,97,True,10.0,9.0,1.0,1.0,0.0,1.0,1.0,,,,,,,36.0,19.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",1.0,1.0,2.0,,,,,,,,1.0,,,,,,,,2.0,1.0,,,Atlético Bucaramanga,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. بيناراندا', 'hi': 'ए. पेनारांडा', 'bn': 'এ. পেনারান্ডা'}}",
Bayron Duarte,,duarte-bayron,B. Duarte,M,24,,20,1545648,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,,24,True,11.0,9.0,3.0,1.0,0.0,1.0,5.0,1.0,,,,,,33.0,21.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,2.0,,2.0,1.0,1.0,2.0,1.0,,,,,,1.0,,,,,,,,Atlético Bucaramanga,away,,
José García,José Daniel García,jose-daniel-garcia,J. García,D,4,188.0,27,1175766,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1055548800.0,,,4,True,9.0,6.0,2.0,1.0,0.0,,,,,,,,,21.0,11.0,6.3,4.0,"{'original': 6.3, 'alternative': None}",,,,,,,,,,,,,,,,,,1.0,,,,,Atlético Bucaramanga,away,,
Juan Mosquera,Juan Camilo Mosquera,juan-camilo-mosquera,J. Mosquera,D,14,187.0,54,1174008,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026604800.0,"{'value': 215000, 'currency': 'EUR'}",,14,True,7.0,5.0,1.0,,0.0,,3.0,1.0,,,,,,21.0,12.0,7.2,3.0,"{'original': 7.2, 'alternative': None}",,,1.0,,,,,,3.0,,1.0,,,,,1.0,,,,,,,Atlético Bucaramanga,away,,1.0
Jean Carlos Blanco,,jean-carlos-blanco,J. C. Blanco,F,18,185.0,94,1199361,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,702518400.0,"{'value': 370000, 'currency': 'EUR'}",,18,True,2.0,2.0,,,0.0,,,,,,,,,21.0,2.0,6.5,,"{'original': 6.5, 'alternative': None}",,,1.0,,,,,,,1.0,,,,,,,,,,,,,Atlético Bucaramanga,away,,
Luis Vásquez,,luis-vasquez,L. Vásquez,G,12,187.0,37,796510,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825638400.0,"{'value': 215000, 'currency': 'EUR'}",,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,
Alejandro Moralez,,alejandro-moralez,A. Moralez,D,21,190.0,36,988773,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,987638400.0,"{'value': 210000, 'currency': 'EUR'}",,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,
