name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,duelWon,totalContest,wonContest,shotOffTarget,totalClearance,outfielderBlock,fouls,keyPass,aerialLost,interceptionWon,totalTackle,wasFouled,dispossessed,penaltyConceded,blockedScoringAttempt,challengeLost,onTargetScoringAttempt,aerialWon,goals,totalOffside,captain,team,teamType,fieldTranslations,savedShotsFromInsideTheBox,bigChanceCreated,penaltyWon
William Tesillo,,,william-tesillo,W. Tesillo,D,16,184.0,317,794087,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,633916800.0,"{'value': 520000, 'currency': 'EUR'}",16,False,76.0,69.0,13.0,8.0,0.0,,90.0,88.0,7.4,7.0,"{'original': 7.4, 'alternative': None}",,,2.0,2.0,,,,5.0,2.0,2.0,,,2.0,2.0,,,,,,,,,,,Atlético Nacional,away,,,,
Camilo Cándido,,,camilo-candido,C. Cándido,D,13,174.0,281,924073,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,802051200.0,"{'value': 1100000, 'currency': 'EUR'}",13,False,45.0,40.0,5.0,5.0,1.0,,90.0,63.0,7.7,9.0,"{'original': 7.7, 'alternative': None}",2.0,,2.0,3.0,,,,2.0,,2.0,3.0,,2.0,2.0,,,,,,,1.0,,,,Atlético Nacional,away,,,1.0,
Juan Zapata,,,juan-zapata,J. Zapata,M,80,178.0,218,983231,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,958694400.0,"{'value': 1500000, 'currency': 'EUR'}",80,False,50.0,49.0,8.0,7.0,1.0,,90.0,58.0,7.2,4.0,"{'original': 7.2, 'alternative': None}",1.0,,3.0,1.0,1.0,1.0,,,,1.0,1.0,,2.0,,,1.0,,,1.0,1.0,,,,,Atlético Nacional,away,,,,
Sebastián Guzmán,,,sebastian-guzman,S. Guzmán,M,32,177.0,110,924567,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,864604800.0,"{'value': 720000, 'currency': 'EUR'}",32,False,47.0,43.0,2.0,1.0,0.0,,66.0,53.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",,,1.0,1.0,,,,,,1.0,,,3.0,1.0,,,,,,,,,,,Atlético Nacional,away,,,,
Marino Hinestroza,,,marino-hinestroza,M. Hinestroza,M,18,170.0,3082,972587,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026086400.0,"{'value': 4099999, 'currency': 'EUR'}",18,False,24.0,20.0,2.0,,0.0,,66.0,36.0,8.6,8.0,"{'original': 8.6, 'alternative': None}",,,4.0,4.0,2.0,,,,,,1.0,1.0,,1.0,3.0,1.0,,1.0,,2.0,,2.0,,,Atlético Nacional,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'م. هينستروزا', 'hi': 'एम. हिनेस्ट्रोज़ा', 'bn': 'এম. হিনেস্ট্রোজা'}}",,,1.0
Edwin Cardona,,,edwin-cardona,E. Cardona,M,10,183.0,2260,153793,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,723772800.0,"{'value': 960000, 'currency': 'EUR'}",10,False,29.0,22.0,5.0,4.0,1.0,,66.0,41.0,9.2,10.0,"{'original': 9.2, 'alternative': None}",5.0,2.0,3.0,4.0,,,,,,3.0,5.0,,,2.0,1.0,,,2.0,,2.0,1.0,2.0,,,Atlético Nacional,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. كاردونا', 'hi': 'ई. कार्डोना', 'bn': 'ই. কার্ডোনা'}}",,,
Dairon Asprilla,,,dairon-asprilla,D. Asprilla,F,27,178.0,283,790161,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706752000.0,"{'value': 720000, 'currency': 'EUR'}",27,False,19.0,17.0,1.0,1.0,0.0,,90.0,25.0,7.0,3.0,"{'original': 7, 'alternative': None}",1.0,,2.0,3.0,1.0,1.0,2.0,,,2.0,1.0,,,,1.0,,,,1.0,,1.0,,,,Atlético Nacional,away,,,,
Alfredo Morelos,,,alfredo-morelos,A. Morelos,F,9,177.0,2269,831085,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835315200.0,"{'value': 2100000, 'currency': 'EUR'}",9,False,26.0,23.0,1.0,1.0,1.0,,85.0,36.0,7.2,5.0,"{'original': 7.2, 'alternative': None}",,,5.0,2.0,2.0,1.0,1.0,3.0,,4.0,2.0,,,,,,,2.0,,,1.0,,,,Atlético Nacional,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موريلوس', 'hi': 'ए. मोरेलोस', 'bn': 'এ. মোরেলোস'}}",,,
Kevin Parra,Kevin Parra,,kevin-parra,K. Parra,M,30,165.0,152,1185972,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045872000.0,"{'value': 620000, 'currency': 'EUR'}",30,True,15.0,12.0,,,0.0,,24.0,21.0,6.9,4.0,"{'original': 6.9, 'alternative': None}",,,,2.0,,,,,,1.0,2.0,,,,2.0,,,,,,,,,,Atlético Nacional,away,,,,
Matheus Uribe,,,mateus-uribe,M. Uribe,M,8,182.0,1809,247773,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,669513600.0,"{'value': 1500000, 'currency': 'EUR'}",8,True,25.0,25.0,5.0,5.0,0.0,,24.0,28.0,7.0,,"{'original': 7, 'alternative': None}",,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,Atlético Nacional,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'م. أوريبي', 'hi': 'एम. उरीबे', 'bn': 'এম. উরিবে'}}",,,
Kevin Viveros,,,kevin-viveros,K. Viveros,F,19,180.0,692,925124,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,954806400.0,"{'value': 1400000, 'currency': 'EUR'}",19,True,3.0,3.0,,,0.0,,24.0,3.0,6.5,,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,1.0,,Atlético Nacional,away,,,,
Joan Castro,,,joan-castro,J. Castro,D,20,176.0,119,819186,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853113600.0,"{'value': 680000, 'currency': 'EUR'}",20,True,1.0,1.0,,,0.0,,11.0,4.0,6.7,,"{'original': 6.7, 'alternative': None}",,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,Atlético Nacional,away,,,,
Billy Arce,,,billy-arce,B. Arce,M,11,177.0,503,868746,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,900201600.0,"{'value': 680000, 'currency': 'EUR'}",11,True,4.0,4.0,,,0.0,,8.0,6.0,6.5,,"{'original': 6.5, 'alternative': None}",1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,Atlético Nacional,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ب. ارس'}}",,,
Harlen Castillo,,,harlen-castillo,H. Castillo,G,15,188.0,130,924907,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745545600.0,"{'value': 330000, 'currency': 'EUR'}",15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,away,,,,
Juan Felipe Aguirre,,,juan-felipe-aguirre,J. F. Aguirre,D,3,186.0,135,925173,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,841276800.0,"{'value': 825000, 'currency': 'EUR'}",3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,away,,,,
