name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,challengeLost,dispossessed,totalContest,onTargetScoringAttempt,totalTackle,ownGoals,wasFouled,fouls,keyPass,shotOffTarget,interceptionWon,outfielderBlock,blockedScoringAttempt,wonContest,bigChanceMissed,penaltyMiss,captain,team,teamType,goodHighClaim,penaltySave,punches,penaltyConceded,goals,totalOffside,bigChanceCreated
José Cavadia,cavadia,J. Cavadia,M,29,177.0,70,2034583,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1127260800,"{'value': 310000, 'currency': 'EUR'}",,,,29,False,22.0,19.0,2.0,1.0,0.0,,2.0,,,,,,71.0,29.0,6.3,6.0,"{'original': 6.3, 'alternative': None}",,,,5.0,,1.0,1.0,,1.0,,1.0,3.0,,,,,,,,,,América de Cali,away,,,,,,,
Jan Lucumí,jan-franc-lucumi,J. Lucumí,F,17,178.0,329,1175135,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1076457600,"{'value': 430000, 'currency': 'EUR'}",,Jan Franc Lucumi,,17,False,11.0,10.0,,,0.0,,3.0,,,,,,71.0,22.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",,,6.0,9.0,,2.0,1.0,,,,2.0,1.0,1.0,2.0,,1.0,,1.0,,,,América de Cali,away,,,,,,,
Sebastián Navarro,sebastian-navarro,S. Navarro,M,21,186.0,122,1018517,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200,"{'value': 840000, 'currency': 'EUR'}",,,,21,False,26.0,24.0,,,0.0,,2.0,1.0,,,,,90.0,33.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",1.0,,,2.0,,,,,1.0,,1.0,2.0,2.0,,1.0,,,,,,,América de Cali,away,,,,,,,
Duván Vergara,duvan-vergara,D. Vergara,M,11,173.0,943,819149,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,842227200,"{'value': 2900000, 'currency': 'EUR'}",,,,11,False,19.0,16.0,1.0,,0.0,,6.0,2.0,,,,,89.0,41.0,8.4,9.0,"{'original': 8.4, 'alternative': None}",1.0,,1.0,3.0,,1.0,3.0,4.0,3.0,,1.0,,,1.0,2.0,,,2.0,,,True,América de Cali,away,,,,,1.0,2.0,
Luis Gómez,luis-gomez,L. Gómez,F,16,173.0,73,958592,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,939600000,"{'value': 490000, 'currency': 'EUR'}",,,,16,False,8.0,7.0,,,0.0,,3.0,1.0,,,,,84.0,22.0,7.4,4.0,"{'original': 7.4, 'alternative': None}",1.0,1.0,1.0,2.0,,1.0,2.0,1.0,,,1.0,,1.0,,1.0,,2.0,2.0,,,,América de Cali,away,,,,,1.0,,
Franco Leys,franco-leys,F. Leys,M,32,180.0,54,333807,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,750902400,"{'value': 360000, 'currency': 'EUR'}",,,,32,True,4.0,3.0,,,0.0,,,,,,,,19.0,5.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,1.0,,,,,,,,América de Cali,away,,,,,,,
Joider Micolta,joider-micolta,J. Micolta,M,30,173.0,72,1173952,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026518400,"{'value': 335000, 'currency': 'EUR'}",,Joider Micolta,,30,True,2.0,1.0,,,0.0,,,,,,,,19.0,3.0,7.3,1.0,"{'original': 7.3, 'alternative': None}",,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,América de Cali,away,,,,,1.0,,
Joel Romero,joel-romero,J. Romero,M,33,174.0,27,2037820,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1149120000,,,Joel Romero,,33,True,3.0,3.0,,,1.0,1.0,1.0,1.0,,,,,14.0,5.0,7.2,,"{'original': 7.2, 'alternative': None}",,,,,,,,,,,,,1.0,,,,,,,,,América de Cali,away,,,,,,,1.0
Dominic Hernandez,dominic-hernandez,D. Hernández,F,28,,8,2041313,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1213228800,,,Dominic Hernández,,28,True,1.0,1.0,,,0.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,,,,,,,
Jorge Soto,jorge-soto,J. Soto,G,12,187.0,146,819127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,744249600,"{'value': 410000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,,,,,,,
Yerson Candelo,yerson-candelo,Y. Candelo,D,92,172.0,144,158593,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,698889600,"{'value': 525000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. كانديلو', 'hi': 'वाई. कैंडेलो', 'bn': 'ওয়াই. ক্যান্ডেলো'}}",,,92,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,,,,,,,
Andrés Mosquera,andres-mosquera,A. Mosquera,D,4,178.0,86,47724,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,635472000,"{'value': 470000, 'currency': 'EUR'}",,,,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,,,,,,,
