name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,totalContest,interceptionWon,fouls,keyPass,aerialWon,duelWon,wonContest,blockedScoringAttempt,totalTackle,wasFouled,accurateCross,outfielderBlock,dispossessed,shotOffTarget,onTargetScoringAttempt,bigChanceCreated,goals,totalOffside,challengeLost,captain,team,teamType,penaltyConceded,bigChanceMissed
Jerson Malagón,,,jerson-malagon,J. Malagón,D,3,185,30,339393,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,741052800,"{'value': 380000, 'currency': 'EUR'}",,3,False,33.0,29.0,5.0,2.0,0.0,1.0,,,,86.0,39.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,1.0,,1.0,1.0,,1.0,3.0,,,2.0,,,,,,,,,,,,Once Caldas,away,,
Juan Patiño,,,juan-patino,J. Patiño,D,33,184,31,973722,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,905385600,"{'value': 605000, 'currency': 'EUR'}",,33,False,21.0,15.0,4.0,2.0,0.0,3.0,,,,90.0,41.0,6.4,9.0,"{'original': 6.4, 'alternative': None}",2.0,1.0,4.0,,1.0,1.0,,,3.0,,,3.0,,,,,,,,,,2.0,,Once Caldas,away,,
Iván Rojas,,,ivan-rojas,I. Rojas,M,5,177,27,834989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869702400,"{'value': 670000, 'currency': 'EUR'}",,5,False,26.0,23.0,2.0,1.0,0.0,2.0,,,,86.0,34.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,2.0,,,,,1.0,3.0,,,1.0,1.0,,,,,,,,,2.0,,Once Caldas,away,,
Jefry Zapata,Jefry Zapata,,jefry-zapata,J. Zapata,M,14,176,54,1478221,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949536000,"{'value': 570000, 'currency': 'EUR'}",,14,False,20.0,17.0,,,0.0,1.0,,,,45.0,35.0,6.4,12.0,"{'original': 6.4, 'alternative': None}",2.0,,7.0,1.0,,,,,2.0,,,2.0,,,,2.0,,1.0,,,,4.0,,Once Caldas,away,,
Mateo García,,,mateo-garcia,M. García,M,19,178,78,950544,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904262400,"{'value': 955000, 'currency': 'EUR'}",,19,False,47.0,41.0,6.0,3.0,0.0,,,,,90.0,61.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",,,3.0,,3.0,2.0,1.0,1.0,4.0,,1.0,,3.0,,,,1.0,,,,,2.0,,Once Caldas,away,1.0,
Alejandro García,,,alejandro-garcia,A. García,M,20,185,85,912291,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,983318400,"{'value': 835000, 'currency': 'EUR'}",,20,False,20.0,16.0,3.0,1.0,0.0,,,,,45.0,29.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",,,2.0,,1.0,,1.0,,3.0,,,2.0,1.0,,1.0,2.0,,,,,,,,Once Caldas,away,,
Michael Barrios,,,michael-barrios,M. Barrios,M,7,163,232,791545,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,672192000,"{'value': 570000, 'currency': 'EUR'}",,7,False,13.0,10.0,3.0,1.0,0.0,,,,,90.0,24.0,6.1,9.0,"{'original': 6.1, 'alternative': None}",2.0,,3.0,3.0,1.0,,1.0,1.0,2.0,,,1.0,,,,,,1.0,,,,,,Once Caldas,away,,1.0
Dayro Moreno,,,dayro-moreno,D. Moreno,F,17,178,1671,31715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,495676800,"{'value': 95000, 'currency': 'EUR'}",,17,False,28.0,26.0,2.0,2.0,0.0,1.0,,,,90.0,36.0,7.3,5.0,"{'original': 7.3, 'alternative': None}",3.0,2.0,2.0,,,,2.0,,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,,2.0,,True,Once Caldas,away,,
Mateo Zuleta,Mateo,Zuleta,mateo-zuleta,M. Zuleta,M,28,170,80,1651712,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1023408000,"{'value': 405000, 'currency': 'EUR'}",,28,True,17.0,14.0,1.0,,0.0,,,,,45.0,27.0,6.2,12.0,"{'original': 6.2, 'alternative': None}",3.0,2.0,7.0,2.0,,2.0,,,1.0,1.0,,,,,,2.0,,,,,,,,Once Caldas,away,,
Luis Palacios,,,palacios-luis,L. Palacios,M,24,181,31,1130300,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,986860800,"{'value': 370000, 'currency': 'EUR'}",,24,True,13.0,10.0,,,0.0,1.0,,,,45.0,20.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",1.0,,3.0,1.0,,,,1.0,2.0,,,1.0,,,,,,1.0,,,,2.0,,Once Caldas,away,,
Juan Castaño,,,castano-zuluaga-juan-felipe,J. Castaño,D,15,181,20,1653077,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904348800,"{'value': 235000, 'currency': 'EUR'}",,15,True,9.0,5.0,4.0,1.0,0.0,1.0,,,,10.0,13.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",,,,,1.0,,,3.0,3.0,,,,,,,,,,,,,,,Once Caldas,away,,
Juan García,,,juan-garcia,J. García,M,2,185,20,976091,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,856742400,"{'value': 155000, 'currency': 'EUR'}",,2,True,5.0,5.0,1.0,1.0,0.0,,,,,10.0,9.0,7.0,,"{'original': 7, 'alternative': None}",,,,,1.0,,,,2.0,,,2.0,,,,,,,,,,,,Once Caldas,away,,
Felipe Parra,,,felipe-parra,F. Parra,G,35,186,47,1017365,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960595200,"{'value': 410000, 'currency': 'EUR'}",,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,away,,
Jaider Riquett,,,jaider-riquett,J. Riquett,D,18,184,11,924615,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,642297600,"{'value': 215000, 'currency': 'EUR'}",,18,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,away,,
Gilbert Álvarez,,,gilbert-alvarez,G. Álvarez,F,9,187,185,805363,"{'alpha2': 'BO', 'alpha3': 'BOL', 'name': 'Bolivia', 'slug': 'bolivia'}",EUR,702604800,"{'value': 235000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. ألفاريز', 'hi': 'जी. अल्वारेज़', 'bn': 'জি. আলভারেজ'}}",9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,away,,
