name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,duelLost,outfielderBlock,totalTackle,wasFouled,totalClearance,interceptionWon,fouls,shotOffTarget,totalContest,keyPass,totalCross,accurateCross,challengeLost,dispossessed,onTargetScoringAttempt,goals,blockedScoringAttempt,wonContest,penaltyWon,totalOffside,captain,team,teamType,penaltyConceded
John García,john-garcia,J. García,D,6,186.0,17,819028,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,612921600.0,"{'value': 93000, 'currency': 'EUR'}",,,,18,False,49.0,44.0,8.0,5.0,0.0,2.0,4.0,,,,90.0,60.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",3.0,3.0,1.0,,1.0,5.0,,,,1.0,,,,,,,,,1.0,,,,Alianza Valledupar FC,away,
Kalazan Suárez,kalazan-suarez,K. Suárez,D,22,175.0,20,1179173,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1015286400.0,"{'value': 245000, 'currency': 'EUR'}",Kalazan Suárez,,,22,False,25.0,22.0,6.0,4.0,0.0,,3.0,,,,90.0,44.0,6.6,10.0,"{'original': 6.6, 'alternative': None}",,2.0,,1.0,2.0,,3.0,,,2.0,1.0,4.0,,,,,,,,,,,Alianza Valledupar FC,away,
Wiston Fernández,wiston-fernandez,W. Fernández,M,33,182.0,27,931581,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883872000.0,"{'value': 365000, 'currency': 'EUR'}",,,,33,False,42.0,37.0,3.0,2.0,0.0,,2.0,,,,89.0,49.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",1.0,3.0,,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,1.0,,,,,,,,Alianza Valledupar FC,away,
Jair Castillo,jair-castillo,J. Castillo,M,7,175.0,10,1014497,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,861580800.0,"{'value': 360000, 'currency': 'EUR'}",,,,7,False,21.0,19.0,2.0,2.0,0.0,,2.0,,,,45.0,25.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,,,1.0,,,,,Alianza Valledupar FC,away,
Luis Pérez,luis-perez,L. Pérez,M,19,176.0,11,1098312,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833241600.0,"{'value': 340000, 'currency': 'EUR'}",Luis Pérez,,,19,False,45.0,39.0,3.0,,0.0,,2.0,,,,90.0,62.0,7.1,13.0,"{'original': 7.1, 'alternative': None}",1.0,3.0,,1.0,1.0,2.0,,,1.0,2.0,,1.0,,,,1.0,1.0,,,,,,Alianza Valledupar FC,away,
Jesús Muñoz,jesus-munoz,J. Muñoz,M,24,,21,1189991,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1011312000.0,"{'value': 375000, 'currency': 'EUR'}",Jesús Muñoz,,,24,False,14.0,11.0,1.0,,0.0,,5.0,,,,61.0,35.0,6.8,13.0,"{'original': 6.8, 'alternative': None}",,3.0,,2.0,2.0,1.0,1.0,,,2.0,1.0,6.0,2.0,,2.0,,,,1.0,,,,Alianza Valledupar FC,away,
Felipe Pardo,felipe-pardo,F. Pardo,F,11,178.0,155,107603,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,650851200.0,"{'value': 210000, 'currency': 'EUR'}",,,,17,False,28.0,24.0,2.0,1.0,0.0,2.0,5.0,,,,90.0,42.0,7.1,11.0,"{'original': 7.1, 'alternative': None}",1.0,3.0,,,2.0,,,1.0,,1.0,2.0,6.0,2.0,,1.0,,,1.0,1.0,,,,Alianza Valledupar FC,away,
Cristian Andres Vergara Rivas,cristian-vergara,C. Vergara,F,15,184.0,18,1478278,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,945043200.0,"{'value': 160000, 'currency': 'EUR'}",Cristian Vergara,,,15,False,14.0,9.0,1.0,1.0,0.0,1.0,2.0,,,,90.0,21.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",2.0,2.0,,,1.0,,,,1.0,,1.0,,,,,1.0,,1.0,,,1.0,,Alianza Valledupar FC,away,
José Muñoz,jose-munoz,J. Muñoz,M,10,168.0,7,925321,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758592000.0,"{'value': 140000, 'currency': 'EUR'}",,,,10,True,20.0,15.0,3.0,1.0,0.0,,2.0,,,,45.0,27.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",1.0,4.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,Alianza Valledupar FC,away,
Jesús Figueroa,jesus-figueroa,J. Figueroa,D,6,180.0,11,947323,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,824169600.0,"{'value': 230000, 'currency': 'EUR'}",,,,6,True,21.0,11.0,4.0,,0.0,2.0,3.0,,,,29.0,25.0,6.4,10.0,"{'original': 6.4, 'alternative': None}",,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,Alianza Valledupar FC,away,
Mayer Gil,gil-mayer,M. Gil,M,14,175.0,83,1093944,"{'alpha2': 'SV', 'alpha3': 'SLV', 'name': 'El Salvador', 'slug': 'el-salvador'}",EUR,1062892800.0,"{'value': 430000, 'currency': 'EUR'}",Mayer Gil,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. ماير', 'hi': 'एम. गिल', 'bn': 'এম. গিল'}}",99,True,4.0,3.0,1.0,,0.0,,,,,,29.0,7.0,6.4,2.0,"{'original': 6.4, 'alternative': None}",1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,Alianza Valledupar FC,away,
Sergio Aponzá,sergio-aponza,S. Aponzá,M,77,178.0,56,1938902,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1122508800.0,,,,,11,True,5.0,4.0,2.0,1.0,0.0,,1.0,,,,16.0,7.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,Alianza Valledupar FC,away,
Johan Wallens,johan-wallens,J. Wallens,G,1,188.0,10,72857,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,712800000.0,"{'value': 97000, 'currency': 'EUR'}",,,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,away,
Royscer Colpa,royscer-colpa,R. Colpa,M,8,181.0,8,927547,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,801187200.0,"{'value': 225000, 'currency': 'EUR'}",,,,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,away,
Edwin Torres,edwin-torres,E. Torres,M,22,183.0,43,855966,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,879033600.0,"{'value': 580000, 'currency': 'EUR'}",,,,29,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,away,
