name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keyPass,ratingVersions,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalClearance,totalTackle,fouls,totalCross,totalContest,outfielderBlock,onTargetScoringAttempt,goals,interceptionWon,accurateCross,bigChanceCreated,wasFouled,wonContest,dispossessed,bigChanceMissed,shotOffTarget,blockedScoringAttempt,hitWoodwork,captain,team,teamType
Facundo Boné,facundo-bone,F. Boné,M,77,176.0,84,924738,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,816480000.0,"{'value': 280000, 'currency': 'EUR'}",,,,77,False,24.0,16.0,4.0,4.0,0.0,,,,90.0,40.0,7.2,12.0,2.0,"{'original': 7.2, 'alternative': None}",2.0,,4.0,9.0,,,1.0,,1.0,2.0,,,,,,,6.0,2.0,2.0,,1.0,,,,Deportivo Pasto,away
Johan Caicedo,johan-caicedo,J. Caicedo,M,6,,53,1170681,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1079049600.0,"{'value': 455000, 'currency': 'EUR'}",,Johan Caicedo,,6,False,16.0,16.0,1.0,1.0,0.0,,,,45.0,22.0,6.8,1.0,,"{'original': 6.8, 'alternative': None}",,1.0,2.0,3.0,1.0,,1.0,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,Deportivo Pasto,away
Felipe Jaramillo,felipe-jaramillo,F. Jaramillo,M,17,185.0,31,924429,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,829785600.0,"{'value': 310000, 'currency': 'EUR'}",,,,17,False,51.0,43.0,8.0,4.0,0.0,,,,84.0,64.0,7.1,12.0,,"{'original': 7.1, 'alternative': None}",,,4.0,7.0,2.0,1.0,3.0,1.0,2.0,3.0,,1.0,,,,,2.0,2.0,,,,,,,Deportivo Pasto,away
Gustavo Torres,gustavo-torres,G. Torres,M,9,181.0,94,886720,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,834796800.0,"{'value': 320000, 'currency': 'EUR'}",,,,9,False,5.0,3.0,,,0.0,,,,45.0,10.0,6.2,5.0,,"{'original': 6.2, 'alternative': None}",2.0,,4.0,1.0,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,Deportivo Pasto,away
Diego Castillo,castillo-diego,D. Castillo,F,19,,18,1175044,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,938649600.0,"{'value': 325000, 'currency': 'EUR'}",,Diego Castillo,,19,False,10.0,9.0,,,0.0,,,,45.0,21.0,6.5,8.0,,"{'original': 6.5, 'alternative': None}",1.0,2.0,3.0,3.0,,1.0,,,1.0,2.0,,,,,,,,1.0,1.0,,,1.0,,,Deportivo Pasto,away
Edwin Velasco,edwin-velasco,E. Velasco,D,21,178.0,47,358144,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,689299200.0,"{'value': 265000, 'currency': 'EUR'}",,,,21,True,27.0,22.0,,,0.0,,,,64.0,41.0,6.7,11.0,1.0,"{'original': 6.7, 'alternative': None}",2.0,,5.0,2.0,,,,2.0,2.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,Deportivo Pasto,away
Gustavo Charrupi,charrupi-gustavo,G. Charrupi,M,8,,18,1514218,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1090454400.0,,,,,8,True,28.0,26.0,2.0,2.0,0.0,,,,45.0,34.0,6.9,5.0,1.0,"{'original': 6.9, 'alternative': None}",2.0,,2.0,2.0,,,,,1.0,,,,,1.0,,,2.0,,,,,,,,Deportivo Pasto,away
Déinner Quiñones,deinner-quinones,D. Quiñones,M,70,172.0,95,846799,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,808531200.0,"{'value': 515000, 'currency': 'EUR'}",,,,70,True,19.0,13.0,1.0,,0.0,,,,45.0,30.0,6.8,11.0,,"{'original': 6.8, 'alternative': None}",,,2.0,4.0,1.0,,,,2.0,2.0,,,,,,,3.0,1.0,,,2.0,,,,Deportivo Pasto,away
Nicolás Morínigo,nicolas-morinigo,N. Morínigo,F,27,193.0,57,922879,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,952560000.0,"{'value': 135000, 'currency': 'EUR'}",,,,27,True,9.0,7.0,,,0.0,,,,45.0,17.0,6.7,6.0,,"{'original': 6.7, 'alternative': None}",,1.0,1.0,3.0,,,,,,,,,,,,,2.0,,1.0,,1.0,1.0,,,Deportivo Pasto,away
Juan Castilla,juan-castilla,J. Castilla,M,13,172.0,177,1025325,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1090886400.0,"{'value': 440000, 'currency': 'EUR'}",,,,13,True,9.0,6.0,1.0,,0.0,,,,12.0,11.0,6.5,5.0,,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,away
Kevin Lopez,kevin-lopez,K. Lopez,G,33,,3,1210706,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1044576000.0,,,Kevin Lopez,,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,away
Gonzalo Ritacco,ritacco-gonzalo-gabriel,G. Ritacco,M,10,175.0,37,976096,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,737942400.0,"{'value': 285000, 'currency': 'EUR'}",,,,10,True,,,,,0.0,,,,45.0,,6.1,,,"{'original': 6.1, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,away
