name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,challengeLost,totalTackle,fouls,keyPass,aerialLost,shotOffTarget,outfielderBlock,interceptionWon,dispossessed,totalContest,onTargetScoringAttempt,goals,blockedScoringAttempt,captain,team,teamType,wonContest
Joyce Ossa,joyce-ossa,J. Ossa,D,23,184.0,17,1417831,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895104000.0,"{'value': 280000, 'currency': 'EUR'}",Joyce Ossa,,,23,False,50.0,43.0,11.0,8.0,0.0,,3.0,8.0,1.0,,,,,90.0,69.0,7.6,8.0,"{'original': 7.6, 'alternative': None}",2.0,1.0,1.0,,2.0,1.0,1.0,,2.0,1.0,2.0,,,,,,,Deportivo Pasto,away,
Mauricio Castaño,mauricio-castano,M. Castaño,D,20,177.0,13,1098313,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729129600.0,"{'value': 105000, 'currency': 'EUR'}",Mauricio Castaño,,,20,False,27.0,20.0,3.0,,0.0,3.0,6.0,4.0,1.0,,,,,90.0,54.0,6.9,14.0,"{'original': 6.9, 'alternative': None}",6.0,1.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,Deportivo Pasto,away,
Johan Caicedo,johan-caicedo,J. Caicedo,M,6,,53,1170681,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1079049600.0,"{'value': 455000, 'currency': 'EUR'}",Johan Caicedo,,,6,False,12.0,10.0,3.0,2.0,0.0,,3.0,,1.0,,,,,45.0,22.0,6.9,4.0,"{'original': 6.9, 'alternative': None}",,,3.0,,2.0,1.0,,1.0,,,1.0,,1.0,2.0,,1.0,,Deportivo Pasto,away,
Felipe Jaramillo,felipe-jaramillo,F. Jaramillo,M,17,185.0,31,924429,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,829785600.0,"{'value': 310000, 'currency': 'EUR'}",,,,17,False,30.0,25.0,,,0.0,,1.0,,1.0,,,,,72.0,34.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",1.0,,2.0,,,1.0,1.0,1.0,,,1.0,,,,,,,Deportivo Pasto,away,
Gustavo Charrupi,charrupi-gustavo,G. Charrupi,M,8,,18,1514218,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1090454400.0,,,,,8,False,19.0,16.0,,,0.0,,1.0,,,,,,,45.0,27.0,6.9,8.0,"{'original': 6.9, 'alternative': None}",4.0,,,,1.0,1.0,1.0,,,,1.0,,,1.0,,,,Deportivo Pasto,away,
Facundo Boné,facundo-bone,F. Boné,M,77,176.0,84,924738,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,816480000.0,"{'value': 280000, 'currency': 'EUR'}",,,,77,False,10.0,9.0,2.0,2.0,0.0,,3.0,,2.0,,,,,57.0,17.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,4.0,,,,1.0,2.0,,,,,3.0,,,,,Deportivo Pasto,away,1.0
Gustavo Torres,gustavo-torres,G. Torres,M,9,181.0,94,886720,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,834796800.0,"{'value': 320000, 'currency': 'EUR'}",,,,9,False,22.0,18.0,,,0.0,1.0,3.0,1.0,,,,,,90.0,32.0,7.2,6.0,"{'original': 7.2, 'alternative': None}",,,6.0,,2.0,1.0,1.0,5.0,2.0,,,,,1.0,,2.0,True,Deportivo Pasto,away,
Juan Castilla,juan-castilla,J. Castilla,M,13,172.0,177,1025325,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1090886400.0,"{'value': 440000, 'currency': 'EUR'}",,,,13,True,39.0,32.0,3.0,,0.0,,3.0,1.0,1.0,,,,,45.0,48.0,7.0,10.0,"{'original': 7, 'alternative': None}",2.0,,2.0,,2.0,1.0,2.0,,,,,1.0,,,,,,Deportivo Pasto,away,
Déinner Quiñones,deinner-quinones,D. Quiñones,M,70,172.0,95,846799,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,808531200.0,"{'value': 515000, 'currency': 'EUR'}",,,,70,True,24.0,18.0,1.0,1.0,0.0,,5.0,,2.0,,,,,45.0,34.0,7.4,8.0,"{'original': 7.4, 'alternative': None}",1.0,,1.0,,,,1.0,,,,,,4.0,1.0,,1.0,,Deportivo Pasto,away,3.0
Nicolás Morínigo,nicolas-morinigo,N. Morínigo,F,27,193.0,57,922879,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,952560000.0,"{'value': 135000, 'currency': 'EUR'}",,,,27,True,6.0,4.0,,,0.0,1.0,3.0,3.0,,,,,,45.0,15.0,6.9,2.0,"{'original': 6.9, 'alternative': None}",,,2.0,,2.0,,,2.0,,1.0,,,,,,,,Deportivo Pasto,away,
Diego Castillo,castillo-diego,D. Castillo,F,19,,18,1175044,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,938649600.0,"{'value': 325000, 'currency': 'EUR'}",Diego Castillo,,,19,True,11.0,9.0,,,0.0,,1.0,,1.0,,,,,33.0,20.0,6.3,9.0,"{'original': 6.3, 'alternative': None}",3.0,1.0,4.0,,,,,,,,,,4.0,,,,,Deportivo Pasto,away,
Kevin Rendón,kevin-rendon,K. Rendón,M,7,182.0,7,877623,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,726451200.0,"{'value': 49000, 'currency': 'EUR'}",,,,7,True,14.0,13.0,2.0,1.0,0.0,,,,,,,,,18.0,19.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",1.0,,1.0,,,,1.0,1.0,,,1.0,,,,,2.0,,Deportivo Pasto,away,
Jeronimo Osorno,jeronimo-osorno,J. Osorno,G,34,,1,1594793,{},EUR,,,Jeronimo Osorno,,,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,away,
Brayan Sánchez,brayan-sanchez,B. Sánchez,M,16,,7,1174916,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1052611200.0,"{'value': 95000, 'currency': 'EUR'}",Brayan Sánchez,,,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,away,
