name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,bigChanceCreated,outfielderBlock,interceptionWon,fouls,keyPass,aerialWon,totalTackle,totalContest,wonContest,shotOffTarget,blockedScoringAttempt,onTargetScoringAttempt,goals,challengeLost,dispossessed,bigChanceMissed,totalOffside,captain,team,teamType
Jan Ángulo,Jan Ángulo,,jan-angulo,J. Ángulo,D,20,,14,1478219,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,988675200.0,"{'value': 260000, 'currency': 'EUR'}",,20,False,48.0,44.0,8.0,6.0,0.0,3.0,5.0,1.0,,,,90.0,60.0,7.0,4.0,"{'original': 7, 'alternative': None}",,,,,,,1.0,,,,2.0,,,,1.0,,,,,,,,Llaneros FC,away
Juan José Vásquez,Juan José Vásquez,,juan-jose-vasquez,J. J. Vásquez,F,99,180.0,4,1133380,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,928368000.0,,,99,False,27.0,21.0,2.0,1.0,0.0,1.0,4.0,,,,,90.0,41.0,6.5,8.0,"{'original': 6.5, 'alternative': None}",,,3.0,5.0,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,Llaneros FC,away
Marlon Sierra,,,marlon-sierra,M. Sierra,M,6,174.0,6,890057,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,780105600.0,"{'value': 97000, 'currency': 'EUR'}",,6,False,22.0,19.0,3.0,2.0,0.0,2.0,,,,,,41.0,24.0,5.6,3.0,"{'original': 5.6, 'alternative': None}",,,,1.0,,,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,Llaneros FC,away
Carlos Sierra,,,carlos-sierra,C. Sierra,M,14,183.0,60,895805,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,656812800.0,"{'value': 280000, 'currency': 'EUR'}",,14,False,25.0,22.0,1.0,,0.0,3.0,,,,,,89.0,29.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,2.0,1.0,,,,1.0,,,,,,,,Llaneros FC,away
Freddy Espinal,Freddy Espinal,,freddy-espinal,F. Espinal,M,11,181.0,9,1175063,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878169600.0,"{'value': 240000, 'currency': 'EUR'}",,11,False,20.0,16.0,3.0,2.0,0.0,2.0,,2.0,,,,90.0,38.0,6.5,17.0,"{'original': 6.5, 'alternative': None}",5.0,1.0,4.0,8.0,,,,2.0,1.0,,,1.0,,,,,,,1.0,,,,Llaneros FC,away
Duván Mosquera,Duván Mosquera,,duvan-mosquera,D. Mosquera,M,27,175.0,3,1174806,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890870400.0,"{'value': 330000, 'currency': 'EUR'}",,27,False,32.0,26.0,2.0,,0.0,7.0,1.0,1.0,,,,79.0,50.0,6.9,13.0,"{'original': 6.9, 'alternative': None}",1.0,,,5.0,,,,2.0,,,5.0,2.0,1.0,,,,,1.0,1.0,,2.0,,Llaneros FC,away
Bryan Urueña,,,bryan-uruena,B. Urueña,M,10,175.0,20,830014,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,720489600.0,"{'value': 240000, 'currency': 'EUR'}",,10,False,33.0,28.0,4.0,4.0,0.0,,,,,,,79.0,42.0,6.9,11.0,"{'original': 6.9, 'alternative': None}",4.0,,,,,,,,2.0,,,,,,1.0,,,,,,,True,Llaneros FC,away
Michael Rangel,,,michael-rangel,M. Rangel,F,9,186.0,141,1103938,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,668390400.0,"{'value': 190000, 'currency': 'EUR'}",,9,False,17.0,10.0,1.0,1.0,0.0,2.0,,,,,,68.0,24.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",,,,3.0,,,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,1.0,,,,Llaneros FC,away
Kener Valencia,Kener Valencia,,kener-valencia,K. Valencia,F,70,184.0,54,1174010,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1002153600.0,"{'value': 285000, 'currency': 'EUR'}",,70,True,3.0,2.0,,,0.0,1.0,,,,,,22.0,6.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",1.0,,1.0,2.0,,,,1.0,,1.0,,,,,,,,,,,1.0,,Llaneros FC,away
Brandon Churi,Brandon Churi,,brandon-churi,B. Churi,M,19,175.0,8,2022043,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1109808000.0,,,19,True,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,,,,11.0,3.0,6.7,,"{'original': 6.7, 'alternative': None}",,,,,,,1.0,,,,,,,,,,,,,,,,Llaneros FC,away
Dannovi Quiñonez,,,dannovi-quinonez,D. Quiñonez,M,45,176.0,70,1099610,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,978652800.0,"{'value': 210000, 'currency': 'EUR'}",,45,True,1.0,1.0,,,0.0,2.0,2.0,,,,,11.0,6.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,,2.0,,,,2.0,,,2.0,,,,,,,,,,,,Llaneros FC,away
Eyder Restrepo,,,eyder-restrepo,E. Restrepo,M,5,169.0,6,1014821,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922665600.0,"{'value': 265000, 'currency': 'EUR'}",,5,True,,,,,0.0,2.0,,1.0,,,,9.0,4.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,,2.0,,,,,,,1.0,1.0,,,,,,,1.0,,,,Llaneros FC,away
Roameth Romaña,Roameth Romaña,,roameth-romana,R. Romaña,G,22,180.0,4,1175030,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,852681600.0,"{'value': 27000, 'currency': 'EUR'}",,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,away
Óscar Vega,Oscar Vega,,oscar-vega,Ó. Vega,D,30,,8,2030749,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,away
Maicol Medina,,,maicol-medina,M. Medina,M,18,178.0,11,1100059,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,865382400.0,"{'value': 240000, 'currency': 'EUR'}",,18,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,away
