name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,hitWoodwork,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,interceptionWon,fouls,accurateCross,outfielderBlock,totalTackle,blockedScoringAttempt,wonContest,wasFouled,onTargetScoringAttempt,challengeLost,shotOffTarget,keyPass,dispossessed,totalOffside,captain,team,teamType,fieldTranslations,totalKeeperSweeper,accurateKeeperSweeper
Edwin Cardona,,,edwin-cardona,E. Cardona,M,10,183.0,2260,153793,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,723772800.0,"{'value': 960000, 'currency': 'EUR'}",10,False,48.0,43.0,8.0,7.0,0.0,,,,,,90.0,90.0,8.4,24.0,"{'original': 8.4, 'alternative': None}",22.0,1.0,,1.0,4.0,1.0,1.0,,6.0,,1.0,4.0,1.0,2.0,2.0,,1.0,4.0,,,,Atlético Nacional,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. كاردونا', 'hi': 'ई. कार्डोना', 'bn': 'ই. কার্ডোনা'}}",,
Kevin Parra,Kevin Parra,,kevin-parra,K. Parra,M,30,165.0,152,1185972,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045872000.0,"{'value': 620000, 'currency': 'EUR'}",30,False,14.0,12.0,2.0,1.0,0.0,,,,,,45.0,22.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",,,1.0,1.0,6.0,1.0,,,,,2.0,,,3.0,,,,1.0,,,,Atlético Nacional,away,,,
Kevin Viveros,,,kevin-viveros,K. Viveros,F,19,180.0,692,925124,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,954806400.0,"{'value': 1400000, 'currency': 'EUR'}",19,False,12.0,8.0,,,0.0,,,,,,65.0,19.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",,1.0,,3.0,2.0,2.0,,,,1.0,,,,2.0,,,,,,,,Atlético Nacional,away,,,
Jorman Campuzano,,,jorman-campuzano,J. Campuzano,M,21,175.0,706,924420,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830822400.0,"{'value': 1500000, 'currency': 'EUR'}",21,True,25.0,23.0,3.0,3.0,0.0,,,,,,45.0,31.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",,,1.0,,4.0,,,,,,2.0,,,1.0,,,,,,,,Atlético Nacional,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. كامبوزانو', 'hi': 'जे. कैम्पुज़ानो', 'bn': 'জে. ক্যাম্পুজানো'}}",,
Dairon Asprilla,,,dairon-asprilla,D. Asprilla,F,27,178.0,283,790161,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706752000.0,"{'value': 720000, 'currency': 'EUR'}",27,True,12.0,8.0,,,0.0,,,,,,45.0,22.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",1.0,3.0,1.0,4.0,3.0,1.0,,,,,,,,2.0,1.0,,1.0,2.0,,,,Atlético Nacional,away,,,
Alfredo Morelos,,,alfredo-morelos,A. Morelos,F,9,177.0,2269,831085,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835315200.0,"{'value': 2100000, 'currency': 'EUR'}",9,True,12.0,11.0,,,0.0,,,,,,25.0,16.0,6.9,4.0,"{'original': 6.9, 'alternative': None}",1.0,,1.0,,1.0,,,,,,,,,,,,1.0,2.0,,,,Atlético Nacional,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موريلوس', 'hi': 'ए. मोरेलोस', 'bn': 'এ. মোরেলোস'}}",,
Juan Felipe Aguirre,,,juan-felipe-aguirre,J. F. Aguirre,D,3,186.0,135,925173,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,841276800.0,"{'value': 825000, 'currency': 'EUR'}",3,True,9.0,6.0,,,0.0,,,,,,14.0,10.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,2.0,,2.0,,,,,,,,,,,,,,,,,,Atlético Nacional,away,,,
Joan Castro,,,joan-castro,J. Castro,D,20,176.0,119,819186,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853113600.0,"{'value': 680000, 'currency': 'EUR'}",20,True,5.0,5.0,,,0.0,,,,,,8.0,9.0,6.8,1.0,"{'original': 6.8, 'alternative': None}",1.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,,1.0,,,1.0,,,,Atlético Nacional,away,,,
Harlen Castillo,,,harlen-castillo,H. Castillo,G,15,188.0,130,924907,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745545600.0,"{'value': 330000, 'currency': 'EUR'}",15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,away,,,
Billy Arce,,,billy-arce,B. Arce,M,11,177.0,503,868746,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,900201600.0,"{'value': 680000, 'currency': 'EUR'}",11,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ب. ارس'}}",,
