name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,duelWon,challengeLost,dispossessed,shotOffTarget,interceptionWon,totalTackle,wasFouled,fouls,keyPass,aerialWon,onTargetScoringAttempt,goals,aerialLost,outfielderBlock,totalContest,totalOffside,wonContest,blockedScoringAttempt,captain,team,teamType,punches,bigChanceCreated,hitWoodwork,bigChanceMissed
Sergio Mosquera,sergio-mosquera,S. Mosquera,D,6,185.0,73,351426,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,760752000,"{'value': 405000, 'currency': 'EUR'}",,,,6,False,32.0,30.0,4.0,3.0,0.0,4.0,,,90.0,40.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,1.0,,,,,1.0,,,1.0,,,1.0,,,,,,,,,Millonarios,away,,,,
Jhoan Hernandez,hernandez-jhoan,J. Hernández,D,37,178.0,175,1482359,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1140393600,"{'value': 245000, 'currency': 'EUR'}",,Jhoan Hernández,,37,False,19.0,17.0,2.0,2.0,0.0,,,,45.0,24.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",1.0,1.0,1.0,3.0,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,Millonarios,away,,,,
Daniel Ruiz,daniel-ruiz,D. Ruiz,M,18,171.0,1027,1098305,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,996451200,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. رويز', 'hi': 'डी. रुइज़', 'bn': 'ডি. রুইজ'}}",Daniel Ruiz,,18,False,41.0,32.0,8.0,6.0,1.0,,,,81.0,62.0,8.6,15.0,"{'original': 8.6, 'alternative': None}",4.0,3.0,1.0,4.0,,,1.0,,1.0,3.0,1.0,4.0,,3.0,,,,,,,2.0,,Millonarios,away,,1.0,1.0,
Nicolas Arevalo,arevalo-nicolas,N. Arévalo,M,5,176.0,99,1466638,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1047513600,"{'value': 340000, 'currency': 'EUR'}",,,,5,False,51.0,47.0,3.0,3.0,0.0,,,,90.0,68.0,7.2,11.0,"{'original': 7.2, 'alternative': None}",2.0,1.0,4.0,3.0,,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,,,,1.0,2.0,,,1.0,,Millonarios,away,,,1.0,
Stiven Vega,stiven-vega,S. Vega,M,28,175.0,125,590354,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895795200,"{'value': 630000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. فيغا', 'hi': 'एस. वेगा', 'bn': 'এস. ভেগা'}}",,,28,False,46.0,42.0,1.0,1.0,0.0,,,,67.0,51.0,6.8,5.0,"{'original': 6.8, 'alternative': None}",,,4.0,4.0,,1.0,,,4.0,,2.0,2.0,,,,1.0,,,,,,,Millonarios,away,,,,
Kevin Palacios,kevin-palacios,K. Palacios,M,77,173.0,96,1131653,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949276800,"{'value': 375000, 'currency': 'EUR'}",,Kevin Palacios,,77,False,26.0,21.0,,,0.0,,,,67.0,34.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",1.0,1.0,4.0,2.0,,,,,2.0,,1.0,1.0,,1.0,1.0,,,3.0,,,,,Millonarios,away,,,,
Luis Marimón,luis-marimon,L. Marimón,F,43,,116,1835656,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1079568000,,,Luis Marimón,,43,False,11.0,9.0,,,0.0,,,,90.0,16.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",1.0,,4.0,,,,,,,,2.0,1.0,,1.0,,1.0,,1.0,,,1.0,,Millonarios,away,,,,
Daniel Cataño,daniel-catano,D. Cataño,M,10,174.0,259,829884,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,695606400,"{'value': 415000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. كاتانيو', 'hi': 'डी. कैटानो', 'bn': 'ডি. কাটানো'}}",,,10,False,39.0,35.0,2.0,2.0,0.0,,,,67.0,53.0,7.4,10.0,"{'original': 7.4, 'alternative': None}",4.0,2.0,2.0,1.0,,1.0,2.0,,1.0,,,3.0,,2.0,,,,1.0,,,,,Millonarios,away,,,,
Danovis Banguero,danovis-banguero,D. Banguero,D,20,185.0,94,34090,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,625449600,"{'value': 320000, 'currency': 'EUR'}",,,,20,True,22.0,16.0,4.0,2.0,0.0,1.0,,,45.0,33.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",,,2.0,3.0,1.0,1.0,,,1.0,,,,,,,,,2.0,,2.0,,,Millonarios,away,,,,
Juan Pereira,juan-pereira,J. Pereira,M,21,182.0,102,974041,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729129600,"{'value': 470000, 'currency': 'EUR'}",,,,21,True,15.0,13.0,1.0,1.0,0.0,1.0,,,23.0,17.0,6.3,3.0,"{'original': 6.3, 'alternative': None}",,,4.0,,1.0,1.0,,,,,2.0,,,,,,,,,,,,Millonarios,away,,,,
Santiago Giordana,santiago-giordana,S. Giordana,F,32,181.0,249,789880,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,799459200,"{'value': 550000, 'currency': 'EUR'}",,,,32,True,4.0,3.0,,,0.0,,,,23.0,9.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",2.0,,,3.0,,,,,,2.0,,,1.0,1.0,,,,,,,,,Millonarios,away,,,,1.0
Néyser Villarreal,neyser-villareal,N. Villarreal,F,88,186.0,1053,1539599,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1114300800,"{'value': 1200000, 'currency': 'EUR'}",,Néyser Villarreal,,88,True,6.0,5.0,1.0,1.0,0.0,,,,23.0,9.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",1.0,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,Millonarios,away,,,,
Jhon Córdoba,jhon-cordoba,J. Córdoba,M,15,181.0,246,961647,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200,"{'value': 1200000, 'currency': 'EUR'}",,,,15,True,1.0,,,,0.0,,,,9.0,3.0,6.9,2.0,"{'original': 6.9, 'alternative': None}",2.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,Millonarios,away,,1.0,,
Iván Arboleda,ivan-arboleda,I. Arboleda,G,1,183.0,251,796095,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830044800,"{'value': 635000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. أربوليدا', 'hi': 'आई. अर्बोलेडा', 'bn': 'আই. আরবোলেদা'}}",,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away,,,,
Delvin Alfonzo,alfonzo-delvin,D. Alfonzo,D,22,178.0,318,1015685,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,968025600,"{'value': 745000, 'currency': 'EUR'}",,,,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away,,,,
