name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,goalAssist,duelWon,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,accurateLongBalls,totalCross,duelLost,dispossessed,totalContest,wonContest,totalClearance,outfielderBlock,totalTackle,fouls,aerialLost,shotOffTarget,interceptionWon,aerialWon,challengeLost,hitWoodwork,totalOffside,accurateCross,keyPass,bigChanceCreated,onTargetScoringAttempt,blockedScoringAttempt,bigChanceMissed,captain,team,teamType
Juan Arias,arias-juan,J. Arias,D,23,184.0,72,1187272,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073520000,,,,,23,False,29.0,29.0,5.0,0.0,2.0,,,,,90.0,32.0,6.8,1.0,"{'original': 6.8, 'alternative': None}",5.0,,3.0,,1.0,,2.0,,,2.0,,,,2.0,,,,,,,,,,,Atlético Nacional,away
William Tesillo,william-tesillo,W. Tesillo,D,16,184.0,315,794087,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,633916800,"{'value': 520000, 'currency': 'EUR'}",,,,16,False,51.0,41.0,13.0,0.0,2.0,,,,,90.0,65.0,7.5,11.0,"{'original': 7.5, 'alternative': None}",7.0,,2.0,,1.0,1.0,7.0,2.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,True,Atlético Nacional,away
Camilo Cándido,camilo-candido,C. Cándido,D,13,174.0,282,924073,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,802051200,"{'value': 1100000, 'currency': 'EUR'}",,,,13,False,30.0,18.0,4.0,0.0,1.0,1.0,,,,90.0,43.0,6.9,15.0,"{'original': 6.9, 'alternative': None}",1.0,2.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,Atlético Nacional,away
Jorman Campuzano,jorman-campuzano,J. Campuzano,M,21,175.0,703,924420,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830822400,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. كامبوزانو', 'hi': 'जे. कैम्पुज़ानो', 'bn': 'জে. ক্যাম্পুজানো'}}",,,21,False,48.0,43.0,10.0,0.0,6.0,4.0,,,,90.0,68.0,7.4,8.0,"{'original': 7.4, 'alternative': None}",7.0,,5.0,3.0,1.0,1.0,4.0,,1.0,2.0,1.0,,4.0,,,,,,,,,,,,Atlético Nacional,away
Juan Zapata,juan-zapata,J. Zapata,M,80,178.0,218,983231,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,958694400,"{'value': 1500000, 'currency': 'EUR'}",,,,80,False,46.0,43.0,5.0,0.0,1.0,,,,,90.0,54.0,7.0,6.0,"{'original': 7, 'alternative': None}",3.0,,1.0,,1.0,,,,1.0,,,2.0,,,,,,,2.0,,,1.0,,,Atlético Nacional,away
Dairon Asprilla,dairon-asprilla,D. Asprilla,F,27,178.0,283,790161,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706752000,"{'value': 720000, 'currency': 'EUR'}",,,,27,False,27.0,20.0,1.0,0.0,7.0,1.0,,,,85.0,40.0,6.9,12.0,"{'original': 6.9, 'alternative': None}",1.0,1.0,7.0,1.0,1.0,,,,,2.0,1.0,,3.0,6.0,2.0,,,,2.0,,,,,,Atlético Nacional,away
Billy Arce,billy-arce,B. Arce,M,11,177.0,507,868746,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,900201600,"{'value': 680000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ب. ارس'}}",,,11,False,55.0,44.0,3.0,0.0,5.0,3.0,,,,90.0,68.0,7.4,15.0,"{'original': 7.4, 'alternative': None}",3.0,3.0,4.0,,,,,,2.0,3.0,,1.0,,,1.0,,,,2.0,,,,,,Atlético Nacional,away
Andrés Sarmiento,andres-sarmiento,A. Sarmiento,M,29,170.0,200,842663,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,884822400,"{'value': 720000, 'currency': 'EUR'}",,,,29,False,14.0,12.0,,0.0,6.0,2.0,,,,69.0,24.0,7.0,3.0,"{'original': 7, 'alternative': None}",,,3.0,,1.0,1.0,,,3.0,1.0,,,,,2.0,,,,,,1.0,1.0,,,Atlético Nacional,away
Kevin Viveros,kevin-viveros,K. Viveros,F,19,180.0,699,925124,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,954806400,"{'value': 1400000, 'currency': 'EUR'}",,,,19,False,6.0,4.0,1.0,0.0,1.0,1.0,,,,78.0,17.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",1.0,,4.0,1.0,1.0,,,,,2.0,,1.0,1.0,,,,,,,,1.0,,,,Atlético Nacional,away
Kevin Parra,kevin-parra,K. Parra,M,30,165.0,152,1185972,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045872000,"{'value': 620000, 'currency': 'EUR'}",,Kevin Parra,,30,True,5.0,5.0,,0.0,2.0,1.0,,,,21.0,10.0,6.9,1.0,"{'original': 6.9, 'alternative': None}",,,,,1.0,1.0,,,,,,,2.0,,,,,,,,,,,,Atlético Nacional,away
Alfredo Morelos,alfredo-morelos,A. Morelos,F,9,177.0,2275,831085,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835315200,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موريلوس', 'hi': 'ए. मोरेलोस', 'bn': 'এ. মোরেলোস'}}",,,9,True,6.0,5.0,,0.0,,,,,,12.0,9.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,away
Faber Andrés Gil,faber-andres-gil,F. A. Gil,M,7,178.0,148,831377,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796003200,"{'value': 665000, 'currency': 'EUR'}",,,,7,True,3.0,2.0,,0.0,,,,,,10.0,3.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,away
Luis Marquinez,luis-marquinez,L. Marquinez,G,25,193.0,237,1106564,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1049932800,"{'value': 655000, 'currency': 'EUR'}",,Luis Marquines,,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,away
Andrés Salazar,andres-salazar,A. Salazar,D,17,182.0,250,1174790,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1042588800,"{'value': 580000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. سالازار', 'hi': 'ए. सालाज़ार', 'bn': 'এ. সালাজার'}}",Andrés Salazar,,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,away
Juan Felipe Aguirre,juan-felipe-aguirre,J. F. Aguirre,D,3,186.0,134,925173,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,841276800,"{'value': 825000, 'currency': 'EUR'}",,,,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,away
Kilian Toscano,kilian-toscano,K. Toscano,M,5,180.0,110,1185985,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1078185600,"{'value': 330000, 'currency': 'EUR'}",,Kilian Toscano,,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,away
