name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,duelWon,totalContest,wonContest,onTargetScoringAttempt,totalOffside,keyPass,aerialWon,blockedScoringAttempt,interceptionWon,totalTackle,fouls,wasFouled,penaltyWon,dispossessed,bigChanceCreated,shotOffTarget,bigChanceMissed,challengeLost,goals,penaltyMiss,captain,team,teamType,savedShotsFromInsideTheBox,penaltySave,outfielderBlock,penaltyConceded
Kevin Moreno,kevin-moreno,K. Moreno,D,3,187.0,13,940994,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,964310400,"{'value': 260000, 'currency': 'EUR'}",,,,3,False,18.0,14.0,2.0,,0.0,4.0,,,90.0,25.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,Alianza Valledupar FC,away,,,1.0,
Jesús Figueroa,jesus-figueroa,J. Figueroa,D,6,180.0,11,947323,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,824169600,"{'value': 230000, 'currency': 'EUR'}",,,,6,False,31.0,16.0,8.0,1.0,0.0,2.0,,,90.0,44.0,6.4,17.0,"{'original': 6.4, 'alternative': None}",,,1.0,1.0,2.0,,,,,,,,4.0,2.0,,,,,,,,,,,,Alianza Valledupar FC,away,,,,
John García,john-garcia,J. García,D,6,186.0,17,819028,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,612921600,"{'value': 93000, 'currency': 'EUR'}",,,,18,False,17.0,12.0,2.0,,0.0,2.0,,,90.0,23.0,6.0,6.0,"{'original': 6, 'alternative': None}",,,2.0,3.0,,,,,,,,,,,1.0,,,,,,,,,,,Alianza Valledupar FC,away,,,2.0,1.0
Kalazan Suárez,kalazan-suarez,K. Suárez,D,22,175.0,20,1179173,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1015286400,"{'value': 245000, 'currency': 'EUR'}",,Kalazan Suárez,,22,False,14.0,10.0,3.0,1.0,0.0,4.0,,,90.0,29.0,6.4,9.0,"{'original': 6.4, 'alternative': None}",1.0,,,2.0,3.0,1.0,,,,,1.0,,,2.0,,,,,,,,1.0,,,,Alianza Valledupar FC,away,,,,
Edwin Torres,edwin-torres,E. Torres,M,22,183.0,43,855966,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,879033600,"{'value': 580000, 'currency': 'EUR'}",,,,29,False,3.0,1.0,,,0.0,,,,31.0,11.0,6.3,7.0,"{'original': 6.3, 'alternative': None}",1.0,,,4.0,2.0,4.0,,,,,1.0,,,,,1.0,,,,,,,,,,Alianza Valledupar FC,away,,,1.0,
Jair Castillo,jair-castillo,J. Castillo,M,7,175.0,10,1014497,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,861580800,"{'value': 360000, 'currency': 'EUR'}",,,,7,False,2.0,2.0,,,0.0,,,,11.0,4.0,3.0,,"{'original': 3, 'alternative': None}",,,,1.0,2.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,Alianza Valledupar FC,away,,,,
Wiston Fernández,wiston-fernandez,W. Fernández,M,33,182.0,27,931581,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883872000,"{'value': 365000, 'currency': 'EUR'}",,,,33,False,4.0,3.0,1.0,,0.0,1.0,,,71.0,15.0,6.0,8.0,"{'original': 6, 'alternative': None}",3.0,,4.0,8.0,1.0,2.0,,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,Alianza Valledupar FC,away,,,,1.0
Diego Mendoza,diego-mendoza,D. Mendoza,M,23,177.0,15,1174860,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1002672000,"{'value': 325000, 'currency': 'EUR'}",,Diego Mendoza,,23,False,25.0,16.0,1.0,,0.0,2.0,,,61.0,32.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",,,1.0,3.0,4.0,,,,,,2.0,,1.0,2.0,,,,,,,,2.0,,,,Alianza Valledupar FC,away,,,1.0,
Felipe Pardo,felipe-pardo,F. Pardo,F,11,178.0,155,107603,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,650851200,"{'value': 210000, 'currency': 'EUR'}",,,,17,False,3.0,1.0,,,0.0,,,,30.0,3.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,away,,,,
Ruben Manjarres,ruben-manjarres,R. Manjarres,M,8,184.0,22,1098315,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,950832000,"{'value': 315000, 'currency': 'EUR'}",,Ruben Manjarres,,21,True,10.0,9.0,,,0.0,,,,60.0,21.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,,2.0,5.0,5.0,1.0,,,,,,,1.0,3.0,,2.0,,1.0,,,,1.0,,,,Alianza Valledupar FC,away,,,,
Luis Pérez,luis-perez,L. Pérez,M,19,176.0,11,1098312,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833241600,"{'value': 340000, 'currency': 'EUR'}",,Luis Pérez,,19,True,16.0,14.0,,,0.0,,,,59.0,23.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",,,,2.0,,1.0,,,1.0,,,,2.0,,,,,1.0,,1.0,,,,,,Alianza Valledupar FC,away,,,,
Johan Wallens,johan-wallens,J. Wallens,G,1,188.0,10,72857,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,712800000,"{'value': 97000, 'currency': 'EUR'}",,,,1,True,22.0,7.0,18.0,4.0,0.0,1.0,4.0,,45.0,27.0,6.8,15.0,"{'original': 6.8, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,away,1.0,,,
Royscer Colpa,royscer-colpa,R. Colpa,M,8,181.0,8,927547,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,801187200,"{'value': 225000, 'currency': 'EUR'}",,,,8,True,3.0,2.0,,,0.0,,,,29.0,6.0,6.3,3.0,"{'original': 6.3, 'alternative': None}",,,2.0,3.0,2.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,Alianza Valledupar FC,away,,,,
Sergio Aponzá,sergio-aponza,S. Aponzá,M,77,178.0,56,1938902,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1122508800,,,,,11,True,1.0,,,,0.0,,,,19.0,4.0,6.2,3.0,"{'original': 6.2, 'alternative': None}",,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,away,,,,
Mayer Gil,gil-mayer,M. Gil,M,14,175.0,83,1093944,"{'alpha2': 'SV', 'alpha3': 'SLV', 'name': 'El Salvador', 'slug': 'el-salvador'}",EUR,1062892800,"{'value': 430000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. ماير', 'hi': 'एम. गिल', 'bn': 'এম. গিল'}}",Mayer Gil,,99,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,away,,,,
Cristian Andres Vergara Rivas,cristian-vergara,C. Vergara,F,15,184.0,18,1478278,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,945043200,"{'value': 160000, 'currency': 'EUR'}",,Cristian Vergara,,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,away,,,,
