name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelLost,totalClearance,penaltyConceded,fouls,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelWon,challengeLost,blockedScoringAttempt,interceptionWon,totalTackle,keyPass,aerialWon,dispossessed,totalContest,outfielderBlock,wonContest,wasFouled,accurateCross,shotOffTarget,onTargetScoringAttempt,goals,totalOffside,captain,team,teamType,goodHighClaim,bigChanceCreated,penaltyWon,bigChanceMissed
Sebastián Navarro,sebastian-navarro,S. Navarro,M,21,186.0,122,1018517,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200.0,"{'value': 840000, 'currency': 'EUR'}",,,,21,False,36.0,30.0,5.0,2.0,0.0,3.0,2.0,,,,,,,,90.0,44.0,7.1,8.0,"{'original': 7.1, 'alternative': None}",,1.0,3.0,2.0,1.0,,1.0,1.0,,,,,,2.0,,,,,,,América de Cali,away,,,1.0,
Duván Vergara,duvan-vergara,D. Vergara,M,11,173.0,943,819149,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,842227200.0,"{'value': 2900000, 'currency': 'EUR'}",,,,11,False,24.0,19.0,1.0,,0.0,7.0,,,,,,,,,90.0,57.0,7.6,21.0,"{'original': 7.6, 'alternative': None}",9.0,1.0,8.0,,,1.0,1.0,3.0,,3.0,6.0,,3.0,4.0,1.0,1.0,3.0,1.0,1.0,True,América de Cali,away,,,,1.0
Jan Lucumí,jan-franc-lucumi,J. Lucumí,F,17,178.0,329,1175135,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1076457600.0,"{'value': 430000, 'currency': 'EUR'}",,Jan Franc Lucumi,,17,False,6.0,6.0,,,0.0,6.0,,,2.0,,,,,,61.0,14.0,6.4,4.0,"{'original': 6.4, 'alternative': None}",,1.0,2.0,1.0,,,1.0,,,2.0,,,,1.0,,,,,,,América de Cali,away,,,,
Mateo Castillo Márquez,mateo-castillo-marquez,M. C. Márquez,D,13,181.0,68,1904862,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1047686400.0,"{'value': 410000, 'currency': 'EUR'}",,Mateo,Castillo Márquez,13,True,14.0,11.0,2.0,1.0,0.0,5.0,1.0,,1.0,,,,,,45.0,25.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",1.0,2.0,2.0,,,,,1.0,1.0,,2.0,,,1.0,1.0,,,,,,América de Cali,away,,,,
Kevin Angulo,kevin-angulo,K. Angulo,F,35,187.0,53,2039311,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1215129600.0,,,Kevin Angulo,,35,True,8.0,5.0,2.0,1.0,0.0,3.0,1.0,,1.0,,,,,,45.0,14.0,7.1,3.0,"{'original': 7.1, 'alternative': None}",,2.0,2.0,,,,2.0,1.0,,,,,,,,,1.0,,,,América de Cali,away,,,,
Joider Micolta,joider-micolta,J. Micolta,M,30,173.0,72,1173952,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026518400.0,"{'value': 335000, 'currency': 'EUR'}",,Joider Micolta,,30,True,7.0,5.0,,,0.0,5.0,,,2.0,,,,,,29.0,11.0,6.4,5.0,"{'original': 6.4, 'alternative': None}",,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,América de Cali,away,,,,
Luis Alejandro Paz,luis-alejandro-paz,L. A. Paz,M,19,175.0,44,827787,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,589680000.0,"{'value': 47000, 'currency': 'EUR'}",,,,19,True,1.0,,1.0,,0.0,,,,,,,,,,1.0,2.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,América de Cali,away,,,,
Santiago Silva,silva-santiago,S. Silva,G,27,190.0,101,1002740,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,926380800.0,"{'value': 570000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'S. I. S. Azambuja'}}",,,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,,,,
Andrés Mosquera,andres-mosquera,A. Mosquera,D,4,178.0,86,47724,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,635472000.0,"{'value': 470000, 'currency': 'EUR'}",,,,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,,,,
Cristian Tovar,cristian-tovar,C. Tovar,D,6,182.0,68,873180,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,894412800.0,"{'value': 470000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. توفار', 'hi': 'सी. तोवर', 'bn': 'সি. টোভার'}}",,,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,,,,
