name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelLost,duelWon,totalContest,wonContest,totalClearance,penaltyConceded,fouls,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,outfielderBlock,wasFouled,keyPass,blockedScoringAttempt,totalTackle,aerialLost,onTargetScoringAttempt,interceptionWon,aerialWon,challengeLost,shotOffTarget,dispossessed,bigChanceCreated,goals,totalOffside,bigChanceMissed,captain,team,teamType,savedShotsFromInsideTheBox,penaltyWon
Juan Felipe Aguirre,juan-felipe-aguirre,J. F. Aguirre,D,3,186.0,135,925173,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,841276800,"{'value': 825000, 'currency': 'EUR'}",,,,3,False,43.0,39.0,5.0,5.0,0.0,2.0,4.0,,,5.0,,,,,90.0,53.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,,,1.0,,,1.0,1.0,,,2.0,,,1.0,,,1.0,,,Atlético Nacional,away,,
William Tesillo,william-tesillo,W. Tesillo,D,16,184.0,317,794087,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,633916800,"{'value': 520000, 'currency': 'EUR'}",,,,16,False,55.0,52.0,12.0,10.0,0.0,,2.0,,,3.0,,,,,90.0,62.0,7.0,3.0,"{'original': 7, 'alternative': None}",,,,,,,1.0,,,3.0,1.0,,,,,,,,,Atlético Nacional,away,,
Camilo Cándido,camilo-candido,C. Cándido,D,13,174.0,281,924073,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,802051200,"{'value': 1100000, 'currency': 'EUR'}",,,,13,False,22.0,21.0,2.0,2.0,0.0,,,,,5.0,,,,,90.0,38.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",2.0,1.0,,,1.0,,,,,,,,,,1.0,,,,,Atlético Nacional,away,,
Marino Hinestroza,marino-hinestroza,M. Hinestroza,M,18,170.0,3082,972587,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026086400,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'م. هينستروزا', 'hi': 'एम. हिनेस्ट्रोज़ा', 'bn': 'এম. হিনেস্ট্রোজা'}}",,,18,False,22.0,20.0,,,1.0,4.0,4.0,4.0,2.0,,,,,,90.0,44.0,7.5,14.0,"{'original': 7.5, 'alternative': None}",3.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,1.0,2.0,,,,,,Atlético Nacional,away,,1.0
Jorman Campuzano,jorman-campuzano,J. Campuzano,M,21,175.0,706,924420,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830822400,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. كامبوزانو', 'hi': 'जे. कैम्पुज़ानो', 'bn': 'জে. ক্যাম্পুজানো'}}",,,21,False,51.0,50.0,9.0,9.0,0.0,2.0,5.0,,,1.0,,,,,90.0,59.0,7.1,2.0,"{'original': 7.1, 'alternative': None}",,,,,,1.0,4.0,1.0,,,1.0,1.0,,,,,,,,Atlético Nacional,away,,
Sebastián Guzmán,sebastian-guzman,S. Guzmán,M,32,177.0,110,924567,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,864604800,"{'value': 720000, 'currency': 'EUR'}",,,,32,False,44.0,40.0,1.0,1.0,0.0,,2.0,,,1.0,1.0,1.0,,,61.0,48.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,,,,1.0,,,,1.0,1.0,2.0,,,,,,,,,Atlético Nacional,away,,
Edwin Cardona,edwin-cardona,E. Cardona,M,10,183.0,2260,153793,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,723772800,"{'value': 960000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. كاردونا', 'hi': 'ई. कार्डोना', 'bn': 'ই. কার্ডোনা'}}",,,10,False,49.0,39.0,7.0,4.0,0.0,1.0,4.0,2.0,1.0,,,,,,90.0,73.0,8.1,20.0,"{'original': 8.1, 'alternative': None}",7.0,2.0,,2.0,5.0,2.0,1.0,,1.0,2.0,,,1.0,,1.0,1.0,,,True,Atlético Nacional,away,,
Alfredo Morelos,alfredo-morelos,A. Morelos,F,9,177.0,2269,831085,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835315200,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موريلوس', 'hi': 'ए. मोरेलोस', 'bn': 'এ. মোরেলোস'}}",,,9,False,25.0,20.0,1.0,1.0,0.0,2.0,2.0,,,,,2.0,,,81.0,32.0,7.1,6.0,"{'original': 7.1, 'alternative': None}",,,,2.0,2.0,1.0,,,1.0,,,,1.0,,,,,,,Atlético Nacional,away,,
Kevin Viveros,kevin-viveros,K. Viveros,F,19,180.0,692,925124,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,954806400,"{'value': 1400000, 'currency': 'EUR'}",,,,19,False,10.0,8.0,2.0,1.0,0.0,7.0,3.0,1.0,,1.0,,2.0,,,90.0,25.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",,,,3.0,1.0,1.0,,,1.0,,,2.0,1.0,2.0,,1.0,2.0,1.0,,Atlético Nacional,away,,
Cristian Uribe,cristian-uribe,C. Uribe,D,,173.0,43,2036740,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1191715200,,,Cristian Uribe,,36,True,12.0,10.0,2.0,2.0,0.0,,1.0,,,2.0,,,,,29.0,19.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,Atlético Nacional,away,,
Matheus Uribe,mateus-uribe,M. Uribe,M,8,182.0,1809,247773,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,669513600,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'م. أوريبي', 'hi': 'एम. उरीबे', 'bn': 'এম. উরিবে'}}",,,8,True,16.0,15.0,1.0,,0.0,2.0,1.0,,,2.0,,1.0,,,29.0,20.0,6.4,2.0,"{'original': 6.4, 'alternative': None}",,,,,1.0,,,,,,1.0,,1.0,1.0,,,,1.0,,Atlético Nacional,away,,
Faber Andrés Gil,faber-andres-gil,F. A. Gil,M,7,178.0,148,831377,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796003200,"{'value': 665000, 'currency': 'EUR'}",,,,7,True,,,,,0.0,,1.0,,,,,,,,9.0,1.0,6.6,,"{'original': 6.6, 'alternative': None}",,,,1.0,,,,,,,,,,,,,,,,Atlético Nacional,away,,
Luis Marquinez,luis-marquinez,L. Marquinez,G,25,193.0,237,1106564,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1049932800,"{'value': 655000, 'currency': 'EUR'}",,Luis Marquines,,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,away,,
Juan Arias,arias-juan,J. Arias,D,23,184.0,73,1187272,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073520000,,,,,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,away,,
Elkin Rivero,elkin-rivero,E. Rivero,M,26,,70,1940903,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1140998400,,,,,26,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,away,,
Kilian Toscano,kilian-toscano,K. Toscano,M,5,180.0,110,1185985,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1078185600,"{'value': 330000, 'currency': 'EUR'}",,Kilian Toscano,,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,away,,
