name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,totalClearance,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelWon,outfielderBlock,duelLost,totalContest,wasFouled,keyPass,dispossessed,fouls,aerialLost,challengeLost,onTargetScoringAttempt,blockedScoringAttempt,goals,interceptionWon,goalAssist,captain,team,teamType,saves,wonContest,shotOffTarget,totalTackle,bigChanceMissed,accurateCross,bigChanceCreated,totalOffside
Junior Hernández,,,junior-hernandez,J. Hernández,D,20,172,78,973723,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,923270400,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. هيرنانديز', 'hi': 'जे. हर्नांडेज़', 'bn': 'জে হার্নান্দেজ'}}",20,False,10.0,9.0,1.0,1.0,1.0,,40.0,20.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",1.0,,3.0,,2.0,2.0,1.0,,,1.0,1.0,,,,,,,,Deportes Tolima,away,,2.0,,,,,,
Jersson González,,,jersson-gonzalez,J. González,M,7,172,87,1014824,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1000512000,"{'value': 955000, 'currency': 'EUR'}",,7,False,5.0,4.0,,,1.0,,40.0,10.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,Deportes Tolima,away,,,1.0,,,,,
Brayan Rovira,,,brayan-rovira,B. Rovira,M,80,177,90,818941,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,849484800,"{'value': 640000, 'currency': 'EUR'}",,80,False,11.0,9.0,4.0,2.0,,,40.0,15.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",2.0,,,,1.0,,,1.0,,1.0,,,,,,,,,Deportes Tolima,away,,,1.0,,,,,
Juan Pablo Nieto,,,juan-pablo-nieto,J. P. Nieto,M,15,178,40,338861,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730598400,"{'value': 470000, 'currency': 'EUR'}",,15,False,8.0,8.0,1.0,1.0,1.0,,40.0,13.0,6.3,1.0,"{'original': 6.3, 'alternative': None}",,,1.0,,2.0,,1.0,,,,2.0,,,,,,,True,Deportes Tolima,away,,,1.0,,1.0,,,
Alex Castro,,,alex-castro,A. Castro,M,23,170,75,818930,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,763084800,"{'value': 535000, 'currency': 'EUR'}",,23,False,14.0,11.0,2.0,,,,40.0,21.0,6.9,7.0,"{'original': 6.9, 'alternative': None}",5.0,,2.0,,,,1.0,1.0,,,,,,,,,,,Deportes Tolima,away,,,,1.0,,1.0,1.0,
Adrián Parra,,,adrian-parra,A. Parra,F,24,178,85,830255,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853372800,"{'value': 535000, 'currency': 'EUR'}",,24,False,5.0,4.0,1.0,1.0,,,40.0,7.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",1.0,,1.0,,,,,,,,,,,,,,,,Deportes Tolima,away,,,,1.0,,,,1.0
Gustavo Ramírez,,,gustavo-ramirez,G. Ramírez,F,27,181,86,827792,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,642556800,"{'value': 145000, 'currency': 'EUR'}",,27,False,4.0,2.0,,,,,40.0,7.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,,1.0,,3.0,,,,,1.0,2.0,,,1.0,,,,,Deportes Tolima,away,,,,1.0,,,,
William Cuesta,,,william-cuesta,W. Cuesta,G,1,195,23,339369,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730080000,"{'value': 270000, 'currency': 'EUR'}",,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,,,,,,,,
Julián Quiñones,,,julian-quinones,J. Quiñones,D,3,198,32,125910,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,626227200,"{'value': 160000, 'currency': 'EUR'}",,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,,,,,,,,
Cristian Trujillo,,,cristian-trujillo,C. Trujillo,M,6,174,23,931707,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,902620800,"{'value': 580000, 'currency': 'EUR'}",,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,,,,,,,,
Kevin Pérez,,,kevin-perez,K. Pérez,M,18,170,39,991859,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869184000,"{'value': 605000, 'currency': 'EUR'}",,18,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,,,,,,,,
Cristian Arrieta,,,cristian-arrieta,C. Arrieta,M,71,170,27,819133,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,820627200,"{'value': 605000, 'currency': 'EUR'}",,71,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,,,,,,,,
Fabián Mosquera,,,fabian-mosquera,F. Mosquera,M,19,177,13,870084,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,794188800,"{'value': 235000, 'currency': 'EUR'}",,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,,,,,,,,
Gonzalo Lencina,,,gonzalo-lencina,G. Lencina,F,11,178,504,974691,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,877132800,"{'value': 825000, 'currency': 'EUR'}",,11,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,,,,,,,,
