name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelLost,challengeLost,totalClearance,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialWon,duelWon,bigChanceCreated,wasFouled,fouls,keyPass,totalContest,wonContest,totalTackle,interceptionWon,aerialLost,onTargetScoringAttempt,totalOffside,dispossessed,blockedScoringAttempt,shotOffTarget,bigChanceMissed,captain,team,teamType,goodHighClaim,punches,outfielderBlock,hitWoodwork
Andrés Alarcón,andres-alarcon,A. Alarcón,D,24,192.0,43,1179168,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,990230400.0,,Andrés Alarcón,,24,False,23.0,18.0,7.0,4.0,0.0,,,10.0,,,,,90.0,36.0,7.2,5.0,"{'original': 7.2, 'alternative': None}",,,2.0,3.0,,,,,,,1.0,,,,,,,,,,Deportivo Pasto,away,,,,
Joyce Ossa,joyce-ossa,J. Ossa,D,23,184.0,17,1417831,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895104000.0,"{'value': 280000, 'currency': 'EUR'}",Joyce Ossa,,23,False,28.0,23.0,8.0,5.0,0.0,,,9.0,,,,,90.0,41.0,7.5,5.0,"{'original': 7.5, 'alternative': None}",,,,2.0,,,,,,,2.0,,,1.0,,,,,,,Deportivo Pasto,away,,,1.0,
Mauricio Castaño,mauricio-castano,M. Castaño,D,20,177.0,13,1098313,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729129600.0,"{'value': 105000, 'currency': 'EUR'}",Mauricio Castaño,,20,False,22.0,21.0,5.0,4.0,0.0,5.0,1.0,6.0,,,,,90.0,37.0,7.2,3.0,"{'original': 7.2, 'alternative': None}",1.0,1.0,,4.0,,2.0,3.0,1.0,,,2.0,,1.0,,,,,,,True,Deportivo Pasto,away,,,,
Déinner Quiñones,deinner-quinones,D. Quiñones,M,70,172.0,95,846799,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,808531200.0,"{'value': 515000, 'currency': 'EUR'}",,,70,False,25.0,19.0,3.0,,0.0,1.0,,,,,,,66.0,33.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",1.0,,,3.0,,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,,Deportivo Pasto,away,,,,
Felipe Jaramillo,felipe-jaramillo,F. Jaramillo,M,17,185.0,31,924429,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,829785600.0,"{'value': 310000, 'currency': 'EUR'}",,,17,False,32.0,30.0,5.0,4.0,0.0,4.0,,,,,,,90.0,43.0,7.1,5.0,"{'original': 7.1, 'alternative': None}",1.0,,,5.0,,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,2.0,,2.0,,,Deportivo Pasto,away,,,,
Juan Castilla,juan-castilla,J. Castilla,M,13,172.0,177,1025325,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1090886400.0,"{'value': 440000, 'currency': 'EUR'}",,,13,False,42.0,37.0,6.0,3.0,0.0,5.0,1.0,1.0,,,,,84.0,48.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,,,2.0,,1.0,4.0,,1.0,1.0,,2.0,1.0,,,,,,,,Deportivo Pasto,away,,,,
Facundo Boné,facundo-bone,F. Boné,M,77,176.0,84,924738,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,816480000.0,"{'value': 280000, 'currency': 'EUR'}",,,77,False,23.0,18.0,1.0,1.0,0.0,3.0,,2.0,,,,,76.0,40.0,7.0,13.0,"{'original': 7, 'alternative': None}",3.0,,2.0,5.0,,2.0,,1.0,2.0,,1.0,2.0,1.0,,,,,1.0,,,Deportivo Pasto,away,,,,
Diego Castillo,castillo-diego,D. Castillo,F,19,,18,1175044,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,938649600.0,"{'value': 325000, 'currency': 'EUR'}",Diego Castillo,,19,False,10.0,7.0,,,0.0,3.0,,,,,,,66.0,19.0,6.3,5.0,"{'original': 6.3, 'alternative': None}",1.0,,,4.0,,3.0,2.0,,2.0,1.0,,,1.0,2.0,1.0,,,1.0,2.0,,Deportivo Pasto,away,,,,1.0
Gustavo Torres,gustavo-torres,G. Torres,M,9,181.0,94,886720,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,834796800.0,"{'value': 320000, 'currency': 'EUR'}",,,9,True,5.0,4.0,,,0.0,1.0,,,,,,,24.0,8.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",,,,1.0,,,1.0,,1.0,1.0,,,,1.0,,,,,,,Deportivo Pasto,away,,,,
Yair Arboleda,yair-arboleda,Y. Arboleda,F,31,178.0,21,818654,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,828835200.0,"{'value': 160000, 'currency': 'EUR'}",,,31,True,5.0,3.0,,,0.0,3.0,,,,,,,24.0,8.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,,,,,,1.0,,,,,,1.0,,,1.0,,1.0,,,Deportivo Pasto,away,,,,
Nicolás Morínigo,nicolas-morinigo,N. Morínigo,F,27,193.0,57,922879,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,952560000.0,"{'value': 135000, 'currency': 'EUR'}",,,27,True,2.0,1.0,,,0.0,,,1.0,,,,,14.0,5.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,1.0,,1.0,,,,,,,,,,,,,,,Deportivo Pasto,away,,,,
Gustavo Charrupi,charrupi-gustavo,G. Charrupi,M,8,,18,1514218,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1090454400.0,,,,8,True,,,,,0.0,1.0,,,,,,,13.0,,6.3,,"{'original': 6.3, 'alternative': None}",,,,,,,1.0,,,,,,,,,,,,,,Deportivo Pasto,away,,,,
Kevin Lopez,kevin-lopez,K. Lopez,G,33,,3,1210706,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1044576000.0,,Kevin Lopez,,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,away,,,,
Brayan Carabalí,brayan-carabali,B. Carabalí,D,2,188.0,19,974303,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919900800.0,"{'value': 385000, 'currency': 'EUR'}",,,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,away,,,,
Edwin Velasco,edwin-velasco,E. Velasco,D,21,178.0,47,358144,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,689299200.0,"{'value': 265000, 'currency': 'EUR'}",,,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,away,,,,
