name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,goodHighClaim,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,duelLost,shotOffTarget,onTargetScoringAttempt,goals,totalTackle,fouls,aerialLost,challengeLost,wasFouled,totalCross,accurateCross,totalContest,wonContest,bigChanceCreated,interceptionWon,keyPass,dispossessed,blockedScoringAttempt,totalOffside,captain,team,teamType,totalKeeperSweeper,accurateKeeperSweeper,errorLeadToAGoal,outfielderBlock,ownGoals
David Ramírez,David Ramírez,,david-ramirez,D. Ramírez,D,4,190.0,35,1117012,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010016000.0,"{'value': 315000, 'currency': 'EUR'}",,4,False,34.0,26.0,6.0,3.0,0.0,1.0,2.0,3.0,,,90.0,41.0,5.8,9.0,"{'original': 5.8, 'alternative': None}",5.0,1.0,,,1.0,3.0,2.0,,,,,,,,,,,,,,Independiente Santa Fe,away,,,,1.0,
Jeison Angulo,,,jeison-angulo,J. Angulo,D,24,182.0,43,589390,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835833600.0,"{'value': 310000, 'currency': 'EUR'}",,24,False,11.0,8.0,3.0,2.0,0.0,,1.0,,,,68.0,21.0,6.3,4.0,"{'original': 6.3, 'alternative': None}",,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,Independiente Santa Fe,away,,,,,
Tomas Molina,Tomas Molina,,tomas-molina,T. Molina,M,31,,12,1602380,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1083110400.0,,,31,False,31.0,26.0,3.0,2.0,0.0,1.0,3.0,1.0,,,90.0,38.0,6.1,7.0,"{'original': 6.1, 'alternative': None}",4.0,,,,,2.0,,1.0,2.0,,,,,,1.0,,1.0,1.0,,,Independiente Santa Fe,away,,,,,
Omar Fernández,,,omar-fernandez,O. Fernández,M,8,166.0,128,805265,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729388800.0,"{'value': 945000, 'currency': 'EUR'}",,8,False,24.0,19.0,2.0,1.0,1.0,1.0,1.0,,,,79.0,30.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,,,,,,1.0,,3.0,,,,1.0,,1.0,,,,,Independiente Santa Fe,away,,,,,
Leandro Angulo,Leandro Angulo,,leandro-angulo,L. Angulo,M,25,181.0,12,1175146,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,999734400.0,"{'value': 54000, 'currency': 'EUR'}",,25,False,15.0,13.0,3.0,1.0,0.0,,3.0,,,,45.0,20.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",1.0,,,,1.0,2.0,,,2.0,,,,,,,,,,,,Independiente Santa Fe,away,,,,,
Edwar López,,,edwar-lopez,E. López,F,28,179.0,64,924950,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,794707200.0,"{'value': 390000, 'currency': 'EUR'}",,28,False,14.0,8.0,2.0,1.0,0.0,,7.0,,,,90.0,33.0,6.7,16.0,"{'original': 6.7, 'alternative': None}",6.0,,,,6.0,1.0,1.0,1.0,1.0,1.0,,,,,,,3.0,,,,Independiente Santa Fe,away,,,,,
Ángelo Rodríguez,,,angelo-rodriguez,Á. Rodríguez,F,9,182.0,122,819171,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,607651200.0,"{'value': 265000, 'currency': 'EUR'}",,9,False,20.0,14.0,,,0.0,3.0,5.0,1.0,,,90.0,30.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",5.0,,1.0,1.0,,2.0,1.0,,,,,3.0,2.0,,,1.0,1.0,,1.0,,Independiente Santa Fe,away,,,,1.0,1.0
Omar Albornoz,,,omar-albornoz,O. Albornoz,M,80,173.0,46,805030,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812246400.0,"{'value': 515000, 'currency': 'EUR'}",,80,False,12.0,4.0,3.0,,0.0,,3.0,,,,45.0,18.0,6.6,10.0,"{'original': 6.6, 'alternative': None}",1.0,,,,2.0,,,,1.0,2.0,1.0,1.0,,,,1.0,,,,,Independiente Santa Fe,away,,,,,
Jordy Monroy,,,jordy-ararat,J. Monroy,D,17,185.0,45,823379,"{'alpha2': 'AM', 'alpha3': 'ARM', 'name': 'Armenia', 'slug': 'armenia'}",EUR,820627200.0,"{'value': 480000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. أرات', 'hi': 'जे. अरार्ट', 'bn': 'জে. আরারাত'}}",17,True,16.0,13.0,1.0,1.0,0.0,,,,,,45.0,20.0,6.3,3.0,"{'original': 6.3, 'alternative': None}",,,,,,,,,,,,,,,3.0,1.0,,,,,Independiente Santa Fe,away,,,,,
Marlon Balanta,Marlon Balanta,,marlon-balanta,M. Balanta,F,34,,16,2050159,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1214956800.0,,,34,True,9.0,5.0,,,0.0,2.0,2.0,,,,45.0,18.0,6.4,9.0,"{'original': 6.4, 'alternative': None}",3.0,1.0,1.0,,,,,1.0,,2.0,,,,,1.0,,2.0,,,,Independiente Santa Fe,away,,,,,
Juan Campos,Juan Campos,,juan-campos,J. Campos,,38,,1,2162657,{},EUR,,,,38,True,2.0,2.0,1.0,1.0,0.0,,1.0,,,,22.0,4.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",1.0,,,,,,,,1.0,,,,,,,,1.0,,,,Independiente Santa Fe,away,,,,,
Joseph Zea,Joseph Zea,,joseph-zea,J. Zea,,36,,3,2108939,{},EUR,,,,36,True,3.0,2.0,,,0.0,1.0,1.0,,,,11.0,3.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",1.0,,,,,,1.0,,,,,,,,,,,,,,Independiente Santa Fe,away,,,,,
Joel Piñeres,Joel Piñeres,,joel-pineres,J. Piñeres,M,39,,4,1493771,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1137456000.0,,,39,True,3.0,2.0,,,0.0,,,,,,1.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away,,,,,
Jhon Rentería,Jhon Rentería,,jhon-renteria,J. Rentería,,37,,1,2162654,{},EUR,,,,37,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away,,,,,
Carlos Nemocón,Carlos Nemocón,,carlos-nemocon,C. Nemocón,,12,,1,2162646,{},EUR,,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away,,,,,
