name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,totalContest,totalTackle,keyPass,aerialWon,dispossessed,totalClearance,interceptionWon,aerialLost,shotOffTarget,fouls,wonContest,accurateCross,blockedScoringAttempt,wasFouled,totalOffside,challengeLost,onTargetScoringAttempt,captain,team,teamType,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,outfielderBlock
Santiago Aguilar,santiago-aguilar,S. Aguilar,D,15,188.0,12,1478346,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,901756800.0,"{'value': 215000, 'currency': 'EUR'}",,Santiago Aguilar,,15,False,32.0,19.0,10.0,4.0,0.0,90.0,50.0,7.2,17.0,"{'original': 7.2, 'alternative': None}",,,2.0,,2.0,,,,8.0,2.0,,,,,,,,,,,,Deportivo Pereira,away,,,,,1.0
Julián Bazán,julian-bazan,J. Bazán,D,34,183.0,66,1485232,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1132876800.0,"{'value': 240000, 'currency': 'EUR'}",,,,34,False,29.0,23.0,6.0,3.0,0.0,90.0,35.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",,,3.0,,,,2.0,,4.0,,,,,,,,1.0,,,,,Deportivo Pereira,away,,,,,
José Moya,jose-moya,J. Moya,D,3,184.0,24,285501,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,713145600.0,"{'value': 410000, 'currency': 'EUR'}",,,,3,False,37.0,33.0,7.0,3.0,0.0,90.0,53.0,7.3,5.0,"{'original': 7.3, 'alternative': None}",,2.0,4.0,,3.0,,1.0,,6.0,,,1.0,2.0,,,,,,,,,Deportivo Pereira,away,,,,,1.0
Jeison Suárez,jeison-suarez,J. Suárez,D,26,174.0,33,819096,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,868320000.0,"{'value': 500000, 'currency': 'EUR'}",,,,26,False,26.0,24.0,3.0,1.0,0.0,80.0,41.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",2.0,3.0,3.0,1.0,2.0,,,,1.0,1.0,,1.0,3.0,,,,1.0,,,,,Deportivo Pereira,away,,,,,
Darwin Quintero,darwin-quintero,D. Quintero,F,7,166.0,706,787564,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,559008000.0,"{'value': 90000, 'currency': 'EUR'}",,,,7,False,26.0,18.0,3.0,1.0,0.0,80.0,34.0,6.2,14.0,"{'original': 6.2, 'alternative': None}",1.0,6.0,1.0,3.0,,,,,,1.0,1.0,,,,,,1.0,,2.0,,,Deportivo Pereira,away,,,,,
Juan David Ríos,juan-david-rios,J. D. Ríos,M,14,173.0,30,829864,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686793600.0,"{'value': 470000, 'currency': 'EUR'}",,,,14,False,27.0,25.0,3.0,2.0,0.0,62.0,35.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",,2.0,4.0,,3.0,,1.0,,3.0,,1.0,,1.0,,,,,,,,,Deportivo Pereira,away,,,,,
Kelvin Osorio,kelvin-osorio,K. Osorio,M,33,181.0,29,818997,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,751852800.0,"{'value': 465000, 'currency': 'EUR'}",,,,33,False,44.0,36.0,6.0,3.0,0.0,90.0,54.0,7.1,12.0,"{'original': 7.1, 'alternative': None}",1.0,2.0,4.0,1.0,,1.0,2.0,,1.0,,1.0,,1.0,1.0,,,1.0,,,,,Deportivo Pereira,away,,,,,1.0
Yuber Quiñones,yuber-quinones,Y. Quiñones,M,13,173.0,96,1111115,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1034035200.0,"{'value': 385000, 'currency': 'EUR'}",,Yuber Quiñones,,13,False,15.0,14.0,2.0,2.0,0.0,73.0,25.0,6.4,8.0,"{'original': 6.4, 'alternative': None}",1.0,5.0,1.0,,,,,4.0,,1.0,,,,,,,1.0,,1.0,,,Deportivo Pereira,away,,,,,
Samy Jr Merheg,merheg-samy-jr,S. J. Merheg,F,38,186.0,98,1653094,"{'alpha2': 'LB', 'alpha3': 'LBN', 'name': 'Lebanon', 'slug': 'lebanon'}",EUR,1170288000.0,,,,,38,False,9.0,5.0,1.0,,0.0,80.0,20.0,6.2,12.0,"{'original': 6.2, 'alternative': None}",,7.0,2.0,3.0,,,1.0,2.0,1.0,1.0,,,1.0,1.0,,,,1.0,2.0,,,Deportivo Pereira,away,,,,,
Jorge Bermúdez,jorge-bermudez,J. Bermúdez,M,5,166.0,12,1016202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981331200.0,"{'value': 360000, 'currency': 'EUR'}",,,,5,True,8.0,7.0,,,0.0,28.0,14.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",1.0,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,Deportivo Pereira,away,,,,,
Jhon Largacha,jhon-largacha,J. Largacha,M,11,167.0,59,1478310,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1074729600.0,"{'value': 185000, 'currency': 'EUR'}",,Jhon Largacha,,11,True,3.0,2.0,,,0.0,17.0,6.0,6.2,4.0,"{'original': 6.2, 'alternative': None}",,3.0,,2.0,,,,,,,,,1.0,,,,,1.0,,,,Deportivo Pereira,away,,,,,
Eber Moreno,eber-moreno,E. Moreno,D,16,179.0,34,1173350,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010707200.0,"{'value': 290000, 'currency': 'EUR'}",,Eber Moreno,,16,True,3.0,3.0,,,0.0,10.0,6.0,6.2,2.0,"{'original': 6.2, 'alternative': None}",,3.0,,,,,,2.0,1.0,,,,1.0,,,,,,,,,Deportivo Pereira,away,,,,,
Sebastián Acosta,sebastian-acosta,S. Acosta,M,8,180.0,23,1100065,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,783648000.0,"{'value': 210000, 'currency': 'EUR'}",,,,8,True,5.0,3.0,1.0,,0.0,10.0,6.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,1.0,1.0,,,,1.0,,,,,,,,,,,,1.0,,,Deportivo Pereira,away,,,,,
Gianfranco Peña,gianfranco-pena,G. Peña,F,9,190.0,35,1174786,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963273600.0,"{'value': 195000, 'currency': 'EUR'}",,Gianfranco Peña,,9,True,3.0,2.0,,,0.0,10.0,7.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,3.0,1.0,,,,1.0,,1.0,,3.0,1.0,,,,,,,,,,Deportivo Pereira,away,,,,,
Franklin Mosquera,franklin-mosquera,F. Mosquera,G,12,,3,1184666,{},EUR,,,,Franklin Mosquera,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,,,,,
Carlos Cruz,cruz-carlos,C. Cruz,M,2,,17,1886007,"{'alpha2': 'MX', 'alpha3': 'MEX', 'name': 'Mexico', 'slug': 'mexico'}",EUR,1073692800.0,,,,,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away,,,,,
